0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,New Hampshire,W 3 - 1,4,,37,20,117,0.145,35,6,6,58,5,7,16,4,58.0,2,
08/27/2016,Delaware,L 0 - 3,3,,39,24,126,0.119,39,6,4,55,3,3,4,1,50.0,1,
08/27/2016,Coppin St.,W 3 - 1,4,,56,24,152,0.211,56,6,11,66,8,8,8,4,74.0,2,
09/02/2016,@ UMES,W 3 - 0,3,,30,10,75,0.267,28,6,8,42,3,1,12,1,43.0,3,
09/03/2016,"Norfolk St. @ Princess Anne, Md.",W 3 - 0,3,,46,13,99,0.333,43,6,7,49,7,,8,3,56.0,,
09/03/2016,"Rider @ Princess Anne, Md.",W 3 - 0,3,,45,19,111,0.234,42,6,7,50,3,1,10,,57.0,,
09/09/2016,"South Carolina St. @ Buies Creek, N.C.",W 3 - 0,3,,40,10,82,0.366,37,11,4,50,,2,4,,55.0,,
09/09/2016,@ Campbell,W 3 - 1,4,,58,25,198,0.167,55,5,7,97,3,,16,,71.0,,
09/10/2016,"East Carolina @ Buies Creek, N.C.",L 1 - 3,4,,44,31,139,0.094,40,3,4,54,6,1,12,2,54.0,2,
09/16/2016,"Iona @ Loretto, PA",W 3 - 0,3,,39,13,92,0.283,35,7,4,41,2,3,6,,52.0,1,
09/17/2016,"Eastern Ky. @ Loretto, Pa.",W 3 - 0,3,,48,10,109,0.349,47,2,3,50,3,,6,1,53.0,1,
09/17/2016,@ Saint Francis (PA),W 3 - 0,3,,36,14,112,0.196,30,6,4,61,2,3,8,1,49.0,2,
09/23/2016,Lehigh,L 1 - 3,4,,45,26,156,0.122,43,6,8,58,2,5,4,2,58.0,1,
09/24/2016,Bucknell,W 3 - 0,3,,42,14,111,0.252,40,5,6,46,,8,4,,57.0,,
09/30/2016,@ Colgate,L 1 - 3,4,,53,34,169,0.112,50,,5,68,5,4,4,,59.0,1,
10/04/2016,@ American,L 1 - 3,4,,57,23,151,0.225,56,2,13,62,4,,8,4,63.0,4,
10/07/2016,Army West Point,W 3 - 0,3,,51,11,106,0.377,49,2,5,54,2,5,6,1,61.0,,
10/08/2016,Holy Cross,W 3 - 2,5,,70,27,194,0.222,68,6,9,84,6,3,8,4,83.0,1,
10/11/2016,Lafayette,W 3 - 0,3,,44,23,117,0.179,42,7,7,53,4,1,6,,55.0,1,
10/15/2016,Loyola Maryland,W 3 - 0,3,,37,14,73,0.315,35,6,5,35,1,1,6,,47.0,,
10/21/2016,@ Bucknell,W 3 - 1,4,,60,31,168,0.173,54,8,5,78,6,1,8,2,73.0,,
10/22/2016,@ Lehigh,W 3 - 2,5,,58,22,188,0.191,55,4,7,98,4,2,14,,71.0,,
10/25/2016,American,L 0 - 3,3,,39,22,94,0.181,38,3,5,32,5,4,6,4,49.0,,
10/28/2016,Colgate,L 2 - 3,5,,67,24,212,0.203,63,4,10,98,6,4,6,3,78.0,1,
11/04/2016,@ Holy Cross,W 3 - 1,4,,46,17,140,0.207,44,6,6,88,9,3,14,3,62.0,,
11/05/2016,@ Army West Point,L 2 - 3,5,,57,27,192,0.156,54,5,9,86,4,1,14,,70.0,,
11/12/2016,@ Lafayette,W 3 - 1,4,,51,20,126,0.246,42,14,8,70,3,3,12,2,74.0,,
11/13/2016,@ Loyola Maryland,W 3 - 0,3,,44,10,102,0.333,38,7,7,42,2,1,8,,56.0,2,
11/19/2016,@ American,L 0 - 3,3,,41,24,130,0.131,40,3,10,54,3,2,10,2,51.0,,
