0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,North Dakota,W 3 - 0,,3,,44,17,97,0.278,38,10/,6,49,3,1,10,1,60.0,1,
08/24/2018,Northwestern St.,W 3 - 0,,3,,41,11,103,0.291,36,5,6,52,4,,16,1,54.0,,
08/25/2018,Rice,W 3 - 2,,5,,61,18,173,0.249,53,3,7,76,4,2,26,2,79.0,,
08/28/2018,@ Abilene Christian,W 3 - 0,,3,,41,16,95,0.263,35,4,2,39,1,,14,1,52.0,,
08/31/2018,"Georgia @ Irvine, CA",L 0 - 3,,3,,18,17,84,0.012,18,1,4,36,11,1,6,1,23.0,,
08/31/2018,"CSU Bakersfield @ Irvine, CA",W 3 - 0,,3,,38,15,109,0.211,32,7,8,54,1,5,14,2,57.0,,
09/01/2018,@ UC Irvine,W 3 - 1,,4,,59,18,141,0.291,55,5,8,60,4,4,20,2,78.0,1,
09/03/2018,@ Long Beach St.,L 2 - 3,,5,,52,25,156,0.173,46,2,8,54,12/,2,20,4,66.0,3,
09/07/2018,@ UC Santa Barbara,L 1 - 3,,4,,54,14,144,0.278,50,,7,60,7,2,22,1,67.0,,
09/08/2018,"Sacred Heart @ Santa Barbara, Calif",W 3 - 0,,3,,42,8,95,0.358,38,4,6,41,3,1,20,,57.0,,
09/08/2018,"Seton Hall @ Santa Barbara, Calif",W 3 - 0,,3,,45,10,89,0.393,44,7,9,32,2,,18,,61.0,,
09/14/2018,"Houston Baptist @ Edinburg, TX",W 3 - 0,,3,,42,13,109,0.266,42,6,2,57,5,,12,1,54.0,1,
09/14/2018,@ UTRGV,W 3 - 1,,4,,57,12,160,0.281,51,6,7,76,5,5,12,1,74.0,2,
09/15/2018,"Texas Southern @ Edinburg, TX",W 3 - 0,,3,,38,17,108,0.194,37,8,8,53,7,1,4,,49.0,,
09/19/2018,@ Baylor,W 3 - 1,,4,,56,19,147,0.252,53,4,7,74,3,1,18,2,70.0,,
09/22/2018,West Virginia,W 3 - 1,,4,,61,14,140,0.336,59,3,9,61,2,2,16,,74.0,2,
09/28/2018,Iowa St.,W 3 - 1,,4,,62,19,140,0.307,58,2,7,58,3,2,14,1,73.0,2,
10/03/2018,Kansas St.,W 3 - 2,,5,,72,30,204/,0.206,66,5,9,93,5,1,10,1,83.0,1,
10/06/2018,@ TCU,L 1 - 3,,4,,50,18,130,0.246,48,4,12,44,4,,20,7,64.0,1,
10/10/2018,@ Oklahoma,L 1 - 3,,4,,50,26,133,0.180,49,3,11,52,3,,12,,59.0,,
10/13/2018,Kansas,L 0 - 3,,3,,42,29,135,0.096,38,2,6,41,1,2,8,1,50.0,,
10/20/2018,@ Texas,L 0 - 3,,3,,36,15,100,0.210,36,1,7,35,3,2,4,3,41.0,,
10/24/2018,@ West Virginia,L 1 - 3,,4,,50,21,152,0.191,48,3,11,64,5,4,10,1,62.0,4,
10/27/2018,TCU,W 3 - 0,,3,,45,16,103,0.282,44,4,2,43,3,,20,,59.0,1,
11/03/2018,@ Kansas,L 1 - 3,,4,,50,27,140,0.164,49,6,9,43,6,,4,1,58.0,,
11/07/2018,Oklahoma,L 2 - 3,,5,,61,34,188,0.144,56,4,10,62,4,2,30,1,82.0,2,
11/12/2018,Baylor,L 1 - 3,,4,,39,26,135,0.096,37,7,13,46,4,,24,,58.0,2,
11/17/2018,@ Kansas St.,W 3 - 1,,4,,59,26,146,0.226,55,3,11,71,4,,14,,69.0,4,
11/21/2018,Texas,L 0 - 3,,3,,37,14,97,0.237,34,2,7,30,5,,10,,44.0,,
11/23/2018,@ Iowa St.,L 0 - 3,,3,,31,19,103,0.117,31,2,4,30,3,,4,2,35.0,1,
