Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Hampton,L 0 - 3,3,20.0,20.0,91.0,0.0,19.0,1.0,7.0,36.0,11.0,0.0,8.0,0.0,25.0
8312019,Hampton,L 0 - 3,3,19.5,20.0,81.5,-0.006999999999999999,19.0,1.5,7.0,26.5,10.0,0.0,5.0,0.5,23.5
9062019,"Fordham @ Radford, Va.",L 0 - 3,3,20.0,18.666666666666668,86.0,0.013,18.666666666666668,1.3333333333333333,6.666666666666667,27.0,7.333333333333333,0.0,4.666666666666667,0.3333333333333333,23.666666666666668
9072019,"Rider @ Radford, Va.",L 0 - 3,3,21.0,17.5,82.25,0.045,19.25,1.75,6.5,27.75,8.5,0.0,6.5,0.5,26.0
9072019,"Toledo @ Radford, Va.",L 0 - 3,3,21.8,17.8,84.8,0.0486,20.2,2.4,6.0,30.0,8.0,0.0,6.8,0.6,27.6
9112019,American,L 0 - 3,3,21.5,18.166666666666668,84.66666666666667,0.0405,20.166666666666668,3.0,5.666666666666667,30.666666666666668,8.833333333333334,0.3333333333333333,6.333333333333333,1.1666666666666667,28.0
9132019,"USC Upstate @ Greenville, N.C.",L 2 - 3,5,25.571428571428573,20.0,96.28571428571429,0.051,24.0,4.142857142857143,7.0,35.857142857142854,8.857142857142858,0.42857142857142855,7.857142857142857,1.1428571428571428,34.07142857142857
9132019,"George Washington @ Greenville, N.C.",L 0 - 3,3,25.375,19.25,96.25,0.057624999999999996,23.75,4.25,7.0,36.875,8.75,0.375,8.375,1.0,34.1875
9142019,@ East Carolina,L 0 - 3,3,26.333333333333332,18.555555555555557,98.22222222222223,0.07166666666666667,24.555555555555557,4.333333333333333,7.444444444444445,37.888888888888886,8.333333333333334,0.3333333333333333,7.888888888888889,1.2222222222222223,34.94444444444444
9272019,@ Florida A&M,L 2 - 3,5,28.0,19.3,103.4,0.0758,25.6,4.1,8.1,41.4,8.4,0.7,7.7,1.3,36.65
9292019,@ Bethune-Cookman,L 0 - 3,3,28.6,19.8,105.9,0.0767,25.8,4.2,8.1,42.5,7.9,0.7,7.3,1.3,37.15
10042019,@ UMES,L 0 - 3,3,28.8,19.1,105.5,0.08990000000000001,25.8,4.7,8.1,43.1,7.8,0.8,7.5,1.2,38.05
10062019,@ Delaware St.,L 1 - 3,4,30.7,18.9,107.6,0.10700000000000001,27.9,5.2,8.0,44.8,8.9,1.0,8.1,1.2,40.95
10112019,Coppin St.,L 0 - 3,3,31.5,19.5,111.0,0.10430000000000002,28.7,5.4,8.0,45.4,8.3,1.0,8.5,1.6,42.15
10142019,Morgan St.,W 3 - 0,3,32.9,18.7,113.1,0.12210000000000003,30.1,5.4,8.6,47.5,8.4,1.3,8.7,1.6,43.95
10182019,@ Howard,L 0 - 3,3,33.1,18.1,112.6,0.13220000000000004,30.0,5.0,9.1,47.0,8.2,1.1,9.5,1.2,43.95
10212019,George Washington,L 0 - 3,3,30.2,17.1,105.7,0.12080000000000002,27.4,4.3,8.8,43.9,8.0,1.1,8.8,1.2,40.0
10252019,N.C. A&T,L 0 - 3,3,30.5,17.8,106.9,0.11600000000000002,27.8,4.1,9.1,43.6,7.9,1.2,8.6,1.2,40.1
10272019,N.C. Central,L 1 - 3,4,31.2,19.5,110.8,0.10480000000000003,28.6,3.9,9.4,45.2,7.9,1.5,9.5,1.1,41.35
11012019,@ Coppin St.,L 0 - 3,3,29.5,18.1,103.8,0.11100000000000003,27.5,4.4,8.9,40.9,8.0,1.2,9.5,0.9,39.85
11032019,@ Morgan St.,L 0 - 3,3,29.2,16.6,102.0,0.12340000000000004,27.6,4.4,8.8,39.6,8.4,1.2,9.9,0.9,39.75
11082019,UMES,L 1 - 3,4,31.4,17.4,109.4,0.12710000000000005,30.0,4.3,9.1,42.7,8.4,1.4,11.3,1.2,42.75
11102019,Delaware St.,L 2 - 3,5,33.0,18.2,112.6,0.12770000000000004,31.0,4.1,9.3,44.4,8.3,1.3,11.3,1.3,44.05
11122019,Howard,L 2 - 3,5,35.8,18.5,118.1,0.13940000000000002,33.6,4.4,9.4,48.2,9.1,1.3,10.9,0.9,46.95
11172019,South Carolina St.,W 3 - 0,3,34.9,18.0,114.5,0.14530000000000004,32.3,4.6,9.2,45.5,8.4,1.0,11.5,1.2,46.25
