Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,Florida,L 0 - 3,3,32,21,103,0.107,29,5,10,37,2,1,4,0,0.0
8312019,Texas A&M,W 3 - 2,5,57,18,132,0.295,50,5,21,42,7,1,8,2,0.0
9012019,Dayton,W 3 - 0,3,40,14,90,0.289,39,6,3,44,6,1,10,1,0.0
9062019,Tennessee Tech,W 3 - 0,3,34,15,97,0.196,30,9,8,41,3,2,16,1,53.0
9062019,Western Ky.,W 3 - 1,4,56,27,138,0.21,52,4,13,57,4,3,12,0,69.0
9072019,Arizona St.,W 3 - 1,4,52,23,138,0.21,50,4,6,59,5,4,18,2,69.0
9132019,"Purdue @ Nashville, Tenn.",L 1 - 3,4,52,29,163,0.141,51,3,6,57,5,1,10,3,61.0
9142019,"Xavier @ Nashville, TN",W 3 - 0,3,34,12,91,0.242,30,9,3,35,2,1,14,3,51.0
9202019,@ Kentucky,L 0 - 3,3,28,21,100,0.07,25,2,1,30,6,1,12,0,37.0
9222019,@ Cincinnati,W 3 - 2,5,64,16,134,0.358,61,6,11,46,6,2,24,3,84.0
9272019,NC State,W 3 - 2,5,69,23,181,0.254,61,5,12,67,4,5,20,2,89.0
9292019,North Carolina,W 3 - 1,4,56,32,163,0.147,51,4,6,65,5,1,24,2,73.0
10042019,Georgia Tech,W 3 - 0,3,39,12,97,0.278,34,4,7,39,2,3,16,2,54.0
10062019,Clemson,W 3 - 0,3,40,16,95,0.253,36,3,4,45,1,5,14,2,55.0
10112019,@ Duke,W 3 - 0,3,47,7,93,0.43,36,3,7,37,3,0,8,2,54.0
10132019,@ Wake Forest,W 3 - 0,3,40,11,86,0.337,39,9,4,28,3,1,18,3,59.0
10162019,@ Notre Dame,W 3 - 2,5,62,23,178,0.219,54,4,9,72,1,3,22,1,80.0
10202019,@ Virginia Tech,L 1 - 3,4,61,34,149,0.181,58,2,6,67,5,2,6,3,68.0
10252019,Virginia,W 3 - 0,3,33,12,84,0.25,33,3,5,43,1,4,16,0,48.0
10272019,Pittsburgh,L 0 - 3,3,32,20,82,0.146,32,0,3,23,4,5,16,5,45.0
11012019,@ Boston College,L 2 - 3,5,63,23,150,0.267,60,11,11,60,7,3,24,4,89.0
11032019,@ Syracuse,L 2 - 3,5,57,30,185,0.146,55,8,5,69,3,4,6,4,72.0
11082019,@ Miami (FL),W 3 - 2,5,65,29,152,0.237,63,6,7,55,9,3,22,0,85.0
11102019,@ Florida St.,L 1 - 3,4,47,25,144,0.153,44,5,7,50,9,1,16,4,61.0
11152019,Syracuse,W 3 - 0,3,41,15,89,0.292,37,2,7,41,2,0,10,2,48.0
11222019,Notre Dame,W 3 - 0,3,39,17,93,0.237,38,6,2,42,0,5,14,0,57.0
11242019,Miami (FL),W 3 - 0,3,43,13,98,0.306,42,3,4,37,1,2,16,1,56.0
11272019,@ Pittsburgh,L 1 - 3,4,43,26,147,0.116,43,1,3,57,5,1,30,7,60.0
12052019,"Samford @ Bowling Green, Ky.",W 3 - 0,3,48,13,102,0.343,42,9,2,46,4,1,8,1,62.0
12062019,@ Western Ky.,W 3 - 2,5,58,30,156,0.179,56,6,4,64,6,3,26,2,80.0
12132019,@ Texas,W 3 - 2,5,60,25,149,0.235,55,5,7,52,8,0,14,3,72.0
12142019,"Minnesota @ Austin, Texas",L 0 - 3,3,34,26,119,0.067,34,5,3,51,9,0,8,0,43.0
8242018,Southern Ill.,W 3 - 0,3,46,7,88,0.443,42,7,8,41,0,2,6,1,58.0
8242018,UT Martin,W 3 - 0,3,38,6,67,0.478,31,10,10,27,2,1,18,2,58.0
8252018,"IUPUI @ Louisville, KY",W 3 - 0,3,48,16,106,0.302,43,7,5,52,2,2,14,2,64.0
8312018,"UCF @ Gainesville, Fla.",W 3 - 0,3,47,13,94,0.362,46,3,7,47,3,1,18,0,60.0
9012018,@ Florida,L 1 - 3,4,50,24,128,0.203,49,3,16,38,3,1,14,3,61.0
9022018,"Southern California @ Gainesville, Fla.",L 0 - 3,3,35,22,107,0.121,33,2,5,41,6,1,11,1,43.5
9072018,"Lipscomb @ West Lafayette, Ind.",W 3 - 1,4,59,16,156,0.276,57,7,8,67,6,5,16,2,79.0
9072018,"Xavier @ West Lafayette, Ind.",W 3 - 0,3,40,14,81,0.321,35,9,10,32,3,2,12,0,57.0
9082018,@ Purdue,L 2 - 3,5,63,30,166,0.199,59,8,13,77,5,1,14,1,79.0
9142018,Kentucky,L 0 - 3,3,28,21,87,0.08,25,2,8,29,7,1,4,1,33.0
9152018,Chattanooga,W 3 - 0,3,49,9,101,0.396,42,2,8,45,1,3,6,3,57.0
9212018,@ NC State,W 3 - 1,4,60,23,163,0.227,59,3,11,70,1,1,24,0,76.0
9232018,@ North Carolina,W 3 - 2,5,62,25,170,0.218,58,4,15,71,3,4,26,3,83.0
9282018,@ Georgia Tech,W 3 - 0,3,47,11,101,0.35600000000000004,44,7,9,38,0,0,18,2,63.0
9302018,@ Clemson,W 3 - 2,5,64,25,152,0.257,60,7,20,38,4,1,16,1,80.0
10052018,Duke,W 3 - 0,3,47,11,99,0.364,45,5,5,37,4,1,10,1,58.0
10072018,Wake Forest,W 3 - 0,3,53,14,93,0.419,46,6,8,44,3,1,4,1,62.0
10102018,Notre Dame,W 3 - 2,5,76,30,186,0.247,72,3,11,87,5,2,14,1,88.0
10122018,Virginia Tech,W 3 - 0,3,50,18,105,0.305,49,7,12,38,0,2,4,0,61.0
10192018,@ Virginia,W 3 - 2,5,53,22,152,0.204,49,4,15,62,7,5,14,1,69.0
10212018,@ Pittsburgh,L 1 - 3,4,55,27,145,0.193,52,6,12,52,8,5,22,0,77.0
10262018,Boston College,W 3 - 1,4,64,22,148,0.284,63,4,5,60,3,1,14,3,76.0
10282018,Syracuse,L 2 - 3,5,67,26,164,0.25,64,7,16,59,1,2,14,3,83.0
11022018,Miami (FL),W 3 - 1,4,55,32,143,0.161,54,8,9,57,1,5,16,1,76.0
11042018,Florida St.,L 1 - 3,4,61,25,161,0.224,58,2,7,63,6,2,16,4,73.0
11092018,@ Boston College,W 3 - 1,4,55,19,149,0.242,49,5,7,63,4,6,8,3,70.0
11112018,@ Wake Forest,W 3 - 0,3,47,18,108,0.269,46,3,9,46,2,2,6,3,55.0
11162018,@ Notre Dame,L 2 - 3,5,62,32,178,0.16899999999999998,62,4,11,91,3,0,26,4,79.0
11232018,Georgia Tech,W 3 - 0,3,44,15,110,0.264,40,10,7,48,2,0,14,2,61.0
11302018,"Dayton @ Champaign, IL",W 3 - 0,3,50,21,125,0.232,49,3,7,56,4,1,6,3,57.0
12012018,@ Illinois,L 1 - 3,4,54,41,174,0.075,50,5,5,62,3,2,6,0,64.0
8252017,@ Wisconsin,L 0 - 3,3,39,21,105,0.171,37,1,9,39,1,1,10,6,46.0
8262017,"Minnesota @ Madison, Wis.",L 1 - 3,4,54,30,168,0.14300000000000002,51,5,12,65,2,3,6,3,65.0
9012017,Western Ky.,W 3 - 1,4,44,16,109,0.257,42,8,8,39,4,2,22,1,65.0
9022017,Kent St.,W 3 - 0,3,38,12,90,0.289,36,5,12,46,3,2,10,2,50.0
