Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"USC Upstate @ Oxford, OH",W 3 - 0,3,41,11,86,0.349,41,6,7,42,1,2,20,0,0.0
8312019,"Virginia Tech @ Oxford, OH",W 3 - 0,3,47,15,109,0.294,44,4,11,52,4,0,12,1,0.0
8312019,@ Miami (OH),W 3 - 1,4,65,22,146,0.295,59,2,9,76,5,1,24,0,0.0
9062019,Austin Peay,W 3 - 1,4,56,14,133,0.316,50,3,8,64,5,2,20,6,71.0
9062019,Texas Tech,W 3 - 2,5,66,25,163,0.252,59,11,10,56,4,5,16,0,90.0
9072019,SFA,L 1 - 3,4,52,39,157,0.083,46,1,10,54,6,2,6,2,58.0
9132019,"Georgia @ Durham, NC",L 0 - 3,3,28,14,84,0.16699999999999998,27,5,4,29,7,2,6,2,38.0
9132019,@ Duke,W 3 - 0,3,39,8,78,0.397,32,4,6,36,2,4,10,1,52.0
9142019,"American @ Durham, NC",W 3 - 1,4,63,21,164,0.256,54,7,8,75,9,1,12,0,77.0
9202019,"Loyola Chicago @ Chicago, IL",L 2 - 3,5,55,25,166,0.181,54,8,11,70,7,8,4,0,73.0
9212019,"UIC @ Chicago, IL",W 3 - 0,3,44,12,104,0.308,40,3,6,46,4,7,8,0,58.0
9212019,@ DePaul,W 3 - 0,3,36,6,74,0.405,36,7,10,32,2,11,10,0,59.0
9272019,Iowa,L 1 - 3,4,52,17,141,0.248,46,9,14,47,6,11,0,1,72.0
9282019,Nebraska,L 0 - 3,3,40,20,105,0.19,31,3,4,34,7,1,2,1,45.0
10042019,@ Purdue,L 0 - 3,3,39,17,103,0.214,37,1,13,41,7,1,4,0,43.0
10052019,@ Indiana,L 1 - 3,4,61,30,159,0.195,58,3,11,81,6,2,10,1,71.0
10092019,Wisconsin,L 0 - 3,3,33,15,87,0.207,30,4,6,25,5,2,8,0,43.0
10122019,Purdue,L 0 - 3,3,36,22,114,0.123,30,3,8,52,8,1,6,1,43.0
10182019,@ Minnesota,L 0 - 3,3,33,22,112,0.098,32,3,9,42,3,0,5,1,38.5
10192019,@ Wisconsin,L 0 - 3,3,36,19,109,0.156,36,0,5,44,8,0,8,0,40.0
10232019,Maryland,L 2 - 3,5,62,28,150,0.227,52,6,16,54,4,3,4,0,73.0
10272019,@ Rutgers,L 2 - 3,5,62,21,162,0.253,58,5,14,58,7,2,10,3,74.0
11012019,Michigan St.,W 3 - 0,3,42,16,98,0.265,37,5,3,44,0,1,16,0,56.0
11022019,Michigan,L 2 - 3,5,53,21,158,0.203,48,3,11,60,7,4,20,5,70.0
11062019,@ Nebraska,L 0 - 3,3,19,24,93,-0.054000000000000006,18,2,4,33,1,2,14,2,30.0
11092019,@ Michigan St.,L 2 - 3,5,40,30,127,0.079,36,2,7,46,10,2,12,0,50.0
11152019,Rutgers,W 3 - 0,3,42,10,90,0.35600000000000004,39,5,5,38,3,2,16,0,57.0
11172019,Penn St.,L 0 - 3,3,27,14,94,0.138,25,0,0,22,2,1,2,1,29.0
11222019,@ Ohio St.,W 3 - 0,3,36,18,115,0.157,36,3,4,51,4,3,19,1,51.5
11242019,@ Maryland,W 3 - 2,5,66,24,173,0.243,61,6,6,77,10,2,10,2,79.0
11272019,@ Illinois,L 1 - 3,4,46,26,143,0.14,45,6,4,54,5,2,12,3,60.0
11302019,Illinois,W 3 - 1,4,65,12,141,0.376,59,2,8,61,4,4,7,1,74.5
