Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Southeastern La. @ Jacksonville, AL",W 3 - 0,3,48,11,94,0.394,45,1,8,37,4,2,8,2,0.0
8302019,@ Jacksonville St.,W 3 - 1,4,63,31,141,0.227,55,8,14,43,4,4,12,3,0.0
8312019,"ETSU @ Jacksonville, AL",L 1 - 3,4,44,36,138,0.058,39,4,7,49,10,1,10,6,0.0
9062019,Chattanooga,W 3 - 0,3,45,14,94,0.33,40,8,9,40,3,1,4,0,56.0
9072019,Murray St.,W 3 - 0,3,40,9,104,0.298,39,5,6,49,4,3,8,0,52.0
9072019,Jacksonville,W 3 - 0,3,43,15,96,0.292,39,4,4,41,4,3,10,1,55.0
9132019,@ Saint Louis,L 1 - 3,4,40,32,138,0.058,38,10,8,58,5,2,2,0,53.0
9142019,"UT Martin @ St. Louis, Mo.",W 3 - 0,3,39,14,104,0.24,35,8,7,53,3,2,12,0,55.0
9142019,"Marshall @ St. Louis, Mo.",W 3 - 1,4,63,24,154,0.253,59,1,7,73,7,3,12,1,73.0
9202019,The Citadel,W 3 - 0,3,44,19,99,0.253,43,6,11,42,1,2,10,0,57.0
9212019,Southern U.,W 3 - 1,4,56,25,129,0.24,51,8,15,44,4,2,8,0,70.0
9212019,Florida A&M,W 3 - 0,3,45,20,117,0.214,41,7,10,48,3,1,6,0,56.0
9262019,Arkansas St.,W 3 - 1,4,59,19,134,0.299,57,4,10,53,3,2,12,1,71.0
9272019,Little Rock,W 3 - 0,3,42,13,110,0.264,39,3,12,47,0,2,8,0,51.0
10042019,@ Ga. Southern,L 1 - 3,4,53,36,175,0.097,50,8,11,70,5,3,8,1,68.0
10052019,@ Georgia St.,W 3 - 1,4,50,30,142,0.141,48,6,10,66,2,2,10,3,63.0
10112019,ULM,W 3 - 1,4,60,26,146,0.233,54,8,12,62,3,1,10,0,74.0
10122019,Louisiana,W 3 - 1,4,53,21,144,0.222,49,8,5,61,4,2,4,0,65.0
10182019,@ Texas St.,L 0 - 3,3,42,29,132,0.098,40,4,10,45,7,0,4,1,48.0
10192019,@ UT Arlington,W 3 - 1,4,63,19,168,0.262,58,6,7,69,4,1,4,0,72.0
10252019,Georgia St.,W 3 - 0,3,42,22,119,0.168,40,2,3,47,1,4,2,0,49.0
10262019,Ga. Southern,W 3 - 0,3,42,16,101,0.257,40,5,4,48,2,6,4,0,55.0
10292019,@ South Alabama,L 0 - 3,3,38,20,113,0.159,36,5,8,34,3,2,2,0,46.0
11012019,App State,W 3 - 1,4,54,23,134,0.231,50,8,9,59,4,4,8,0,70.0
11022019,Coastal Carolina,W 3 - 2,5,60,26,142,0.239,59,3,13,43,8,4,12,0,73.0
11062019,@ Alabama St.,W 3 - 0,3,44,22,94,0.234,40,7,14,25,1,2,12,0,59.0
11082019,South Alabama,L 1 - 3,4,55,30,143,0.175,51,1,8,45,5,5,10,0,66.0
11152019,@ Coastal Carolina,L 1 - 3,4,59,30,154,0.188,58,5,10,57,9,0,4,0,66.0
11172019,@ App State,L 2 - 3,5,64,26,152,0.25,62,4,15,60,5,3,12,1,77.0
11222019,"Arkansas St. @ San Marcos, TX",W 3 - 2,5,67,44,193,0.119,65,4,10,79,10,0,22,0,82.0
11232019,@ Texas St.,L 0 - 3,3,27,26,90,0.011,26,2,5,23,4,0,8,1,33.0
12062019,"N.C. A&T @ Atlanta, GA",W 3 - 0,3,38,26,117,0.103,32,8,6,41,1,2,4,0,50.0
12072019,@ Georgia Tech,L 1 - 3,4,45,30,124,0.121,44,8,8,47,6,2,16,2,63.0
8242018,Southern U.,W 3 - 0,3,36,6,77,0.39,32,13,9,39,2,1,8,0,54.0
8252018,Southeast Mo. St.,L 0 - 3,3,31,20,94,0.117,30,3,8,31,6,2,8,0,40.0
8252018,Southeastern La.,W 3 - 0,3,37,7,76,0.395,36,5,14,37,2,2,10,0,49.0
8312018,"Stetson @ Murfreesboro, Tenn.",W 3 - 2,5,75,38,202,0.183,71,6,13,72,6,4,16,1,93.0
9012018,@ Middle Tenn.,W 3 - 1,4,57,17,125,0.32,54,11,11,50,7,2,10,3,75.0
9012018,"Austin Peay @ Murfreesboro, Tenn.",L 1 - 3,4,52,21,160,0.194,52,4,4,60,5,3,16,1,67.0
9072018,"North Dakota @ Clemson, S.C.",L 2 - 3,5,71,27,179,0.246,68,7,14,66,3,1,17,0,87.5
9082018,"UAB @ Clemson, S.C.",L 0 - 3,3,39,26,115,0.113,38,4,7,35,5,1,10,0,49.0
9082018,@ Clemson,L 0 - 3,3,37,18,93,0.204,37,4,15,25,5,1,2,0,43.0
9142018,Kennesaw St.,L 2 - 3,5,45,28,143,0.119,43,6,9,55,10,2,12,2,59.0
9152018,Florida A&M,L 1 - 3,4,62,28,147,0.231,59,2,16,56,2,0,12,3,70.0
9152018,Jacksonville St.,W 3 - 2,5,57,31,169,0.154,53,12,8,63,1,1,10,2,75.0
9182018,@ Alabama St.,W 3 - 0,3,42,19,93,0.247,36,9,12,39,1,2,2,0,54.0
9212018,@ Arkansas St.,L 0 - 3,3,39,28,115,0.096,37,4,4,50,4,1,10,0,49.0
9222018,@ Little Rock,L 2 - 3,5,64,25,204,0.191,62,2,9,88,1,5,12,0,77.0
9282018,Georgia St.,L 2 - 3,5,51,31,155,0.129,48,8,11,58,9,1,18,0,69.0
9302018,Ga. Southern,L 1 - 3,4,44,41,186,0.016,42,3,5,80,3,2,12,3,55.0
10052018,@ Louisiana,W 3 - 1,4,59,22,162,0.228,55,3,9,82,5,3,12,3,71.0
10062018,@ ULM,W 3 - 1,4,55,22,148,0.223,50,7,4,71,6,1,12,1,69.0
10122018,@ Ga. Southern,W 3 - 2,5,62,23,167,0.234,61,11,15,67,5,2,10,2,80.0
10132018,@ Georgia St.,W 3 - 1,4,56,30,153,0.17,55,7,4,70,1,1,14,4,71.0
10192018,UT Arlington,L 0 - 3,3,25,25,104,0.0,22,3,5,38,5,2,6,0,33.0
10202018,Texas St.,L 0 - 3,3,28,19,101,0.08900000000000001,25,6,8,40,4,1,6,2,38.0
10262018,@ Coastal Carolina,L 0 - 3,3,31,23,126,0.063,27,3,5,49,3,1,0,2,35.0
10282018,@ App State,L 1 - 3,4,45,23,142,0.155,45,2,8,61,9,3,16,1,58.0
