Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,North Florida,W 3 - 1,4.0,10.0,5.0,26.0,0.192,1.0,0.0,0.0,2.0,0.0,1.0,7.0,1.0,14.5
8312019,Charleston So.,W 3 - 0,3.0,7.777777777777778,2.2222222222222223,18.777777777777775,0.342,0.4444444444444445,0.0,0.0,0.888888888888889,0.0,1.5555555555555554,3.666666666666667,0.4444444444444445,11.166666666666668
8312019,Duquesne,W 3 - 0,2.0,5.819672131147541,1.7213114754098362,13.950819672131145,0.31904918032786883,0.26229508196721313,0.0,0.0,0.5245901639344263,0.0,0.9180327868852457,4.213114754098361,0.26229508196721313,8.844262295081966
9032019,@ Campbell,W 3 - 2,5.0,8.252032520325201,1.815718157181572,18.03252032520325,0.35426287262872624,0.1734417344173442,0.0,0.0,0.3468834688346884,0.0,0.9457994579945798,3.802168021680217,0.1734417344173442,11.098915989159892
9062019,"App State @ Durham, N.C.",W 3 - 2,5.0,8.177058543550688,2.168015230842456,18.02284626368396,0.3315763921941932,0.41932413136601615,0.0,0.29747739171822934,0.8386482627320323,0.0,0.6644455021418371,3.8610185625892433,0.1218467396477868,10.772013326987148
9062019,@ Duke,L 1 - 3,4.0,8.942232630757218,1.8514181628935726,18.016653655997917,0.3924076676207824,0.30566397779512533,0.0,0.48790007806401237,1.695550351288056,0.0,0.4843438286061236,3.0855234625726427,0.08881949865556427,10.969338190649665
9072019,"Wofford @ Durham, NC",W 3 - 2,5.0,8.197632043536707,1.6359469396349264,17.50629241508884,0.37205863202734,0.22830857938808896,0.0,1.3767188740059275,1.7725984353994912,0.0,0.8679159715586076,3.3169530781814354,0.06634165303445039,10.724024554186036
9132019,"N.C. Central @ Davidson, N.C.",W 3 - 0,3.0,8.390456152007602,1.483116931055803,16.90398321690368,0.41073586925426575,0.4137605394215122,1.2015940250208401,2.0071426593948116,1.5869285026561957,0.0,0.6593394424296115,2.5198268781779762,0.05039850625521013,11.511303058547044
9142019,"Presbyterian @ Davidson, NC",W 3 - 1,4.0,8.531263804856469,1.3715145232264585,16.695158609115065,0.43135632629816656,0.549184763164104,0.9240198441023285,1.54348274758853,1.9133550288264625,0.0,0.50702876022853,3.092759173521169,0.2697611623075599,11.508691995947915
9142019,@ Davidson,L 0 - 3,3.0,7.964113772906404,1.9604478533962586,15.419112477169744,0.3754860340925008,0.4261354960835943,0.9410438096654039,1.4217110629984988,1.7087104821826749,0.0,0.39342488495820094,2.84791768406946,0.2093190023366853,10.722541309564741
9202019,Drake,W 3 - 2,5.0,8.409554046470722,1.7503073510107954,15.765001634074755,0.4090740126640737,0.33289948445148804,0.7351488011747862,1.7670316641723325,1.7724429642714212,0.0,0.3073457681339897,2.224809567614657,0.38231548672474175,10.56445339958683
9212019,Western Caro.,L 1 - 3,4.0,8.321599013322322,2.0186889219276263,16.88925973572115,0.37233448931089874,0.4761646980759335,1.0067857928713586,1.6023054307740432,1.6065546105530113,0.0,0.4560988483419511,1.9617718390209393,0.30021015386869043,10.765369574046103
9212019,N.C. A&T,W 3 - 0,3.0,7.830268002694232,2.2263684397784984,16.489426737014604,0.33586252394853067,0.3753917045535648,1.2169844263814347,1.2632019326594066,1.4781865814084525,0.0,0.5712072288126614,3.0280359612503305,0.23667525509647105,11.132477638513494
9262019,@ James Madison,L 0 - 3,3.0,7.028973078707327,1.9698112471640319,15.131833821767673,0.3283600571809042,0.2968594798752969,0.962390376371194,1.2081398919679522,1.3781495917952657,0.0,0.4517102503583444,3.231371563354436,0.18716261514315455,10.058759487114083
