Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Kansas City,W 3 - 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9032019,@ Omaha,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9062019,"Albany (NY) @ Orlando, FL",W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9072019,"South Carolina @ Orlando, FL",L 1 - 3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9082019,@ UCF,L 0 - 3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29747739171822934,0.29747739171822934,0.0,0.0,0.0,0.0
9122019,Morehead St.,W 3 - 0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48790007806401237,0.21684447913956106,0.0,0.0,0.0,0.0
9132019,Arizona,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3644255842956867,0.16196692635363857,0.0,0.0,0.0,0.0
9152019,Syracuse,L 0 - 3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24031880500416802,0.7574848733731376,0.12304322816213406,0.0,0.0,0.0,0.0
9202019,"Arizona St. @ Las Vegas, NV",L 0 - 3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1848039688204657,0.8135070707476901,0.09461963203607847,0.0,0.0,0.0,0.0
9212019,@ UNLV,L 1 - 3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674552018693482,0.6312342628795593,0.07341934179789515,0.0,0.0,0.0,0.0
9282019,Baylor,L 0 - 3,2.0,0.0,0.0,0.0,0.0,0.0,0.21879428606392445,0.7246466754437179,0.49312381299373853,0.057355609325941435,0.0,0.0,0.0,0.21879428606392445
10022019,@ Iowa St.,L 0 - 3,3.0,0.0,0.0,0.0,0.0,0.0,0.17180644929545366,0.7837810216858596,0.6019795603961936,0.04503802984410742,0.0,0.0,0.0,0.17180644929545366
10052019,@ Oklahoma,L 1 - 3,2.0,0.0,0.0,0.0,0.0,0.0,0.1354462355460695,0.617905726561169,1.109483999938172,0.03550641797098886,0.0,0.0,0.0,0.1354462355460695
10102019,West Virginia,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.10711078201126252,0.4886393875353796,0.8773791193476229,0.028078448839560417,0.0,0.0,0.0,0.10711078201126252
10162019,@ Texas Tech,L 2 - 3,2.0,0.0,0.0,0.20729349133056774,0.0,0.0,0.08490741404900055,0.38734762289154046,0.6955041384775154,0.22955146047902894,0.0,0.0,0.0,0.08490741404900055
10192019,TCU,W 3 - 0,0.0,0.0,0.0,0.16463403614908448,0.0,0.0,0.067434101206665,0.3076343697048057,0.552374571632584,0.18231148117580448,0.0,0.0,0.0,0.067434101206665
10232019,@ Kansas St.,L 2 - 3,0.0,0.0,0.0,0.13094870264211847,0.0,0.0,0.053636588602211724,0.24469011720328984,0.43935467549542334,0.14500921252465665,0.0,0.0,0.0,0.053636588602211724
10262019,Texas,L 0 - 3,1.0,0.0,0.0,0.1042785147201456,0.0,0.0,0.042712479629371636,0.19485433206919336,0.349871759487583,0.11547533498010759,0.0,0.0,0.0,0.042712479629371636
11022019,Oklahoma,L 0 - 3,2.0,0.0,0.0,0.08311785452371469,0.0,0.0,0.034045073212913536,0.15531362399731152,0.2788742252906958,0.09204256619604069,0.0,0.0,0.0,0.034045073212913536
11062019,Texas Tech,W 3 - 0,3.0,0.0,0.0,0.0663003914709066,0.0,0.20233273764314755,0.027156640346483348,0.32622133090380456,0.4247815774726649,0.07341934179789514,0.0,0.0,0.0,0.027156640346483348
11092019,@ TCU,L 1 - 3,3.0,0.0,0.0,0.052916871997459196,0.0,0.16148947753130852,0.021674750770159287,0.6640933843730464,1.5502054651937467,0.2604606247774875,0.0,0.0,0.0,0.021674750770159287
11132019,@ Baylor,L 0 - 3,3.0,0.0,0.0,0.04225482558135138,0.0,0.1289514940837139,0.21879428606392448,0.7317741030569519,2.0438065049771583,0.20798127053524595,0.0,0.0,0.0,0.21879428606392448
11162019,Kansas St.,W 3 - 1,2.0,0.0,0.0,0.033753678550324524,0.0,0.3041956542020479,0.17477558832259807,0.5845502260678471,2.638555985245883,0.36732561944384756,0.0,0.0,0.0,0.17477558832259807
11232019,@ Texas,L 1 - 3,3.0,0.0,0.0,0.026970912131462056,0.0,0.4440168101018557,0.3406035711661809,0.6680344238316468,2.912136736768053,0.29351192021586725,0.0,0.0,0.0,0.3406035711661809
11272019,Iowa St.,W 3 - 2,1.0,0.0,0.0,0.021556273779834777,0.0,0.3548766862148262,0.27222452821248455,0.9354377603081849,2.3275006969029732,0.6361038117453833,0.0,0.0,0.0,0.27222452821248455
11302019,@ West Virginia,L 2 - 3,5.0,0.0,0.0,0.017231949555850924,0.0,0.6848987795460393,0.21761457411118507,0.7477830567056549,3.666046062655839,0.5084973826290378,0.0,0.0,0.0,0.21761457411118507
8242018,@ Arkansas,W 3 - 2,5.0,0.0,0.0,0.013777206588734582,0.0,0.5475870241840439,0.3744709146490409,0.9988334479645583,2.931059762293529,0.4065514158804142,0.0,0.0,0.0,0.3744709146490409
8262018,Arkansas,L 1 - 3,3.0,0.0,0.0,0.01101642514303243,0.0,0.43785737133041575,0.29943158454539454,1.1994548165355374,2.3437117134807273,0.32508355093569047,0.0,0.0,0.0,0.29943158454539454
8312018,"Dayton @ Lexington, KY",W 3 - 2,5.0,0.0,0.0,0.008809725411986265,0.0,0.3501501767544589,0.6400723837417397,1.3598119939415518,2.274862832301242,0.2599660763372242,0.0,0.0,0.0,0.6400723837417397
8312018,"Col. of Charleston @ Lexington, Ky.",W 3 - 2,4.0,0.0,0.0,0.007045596443704714,0.0,0.6805291307388416,0.51189923632224,1.0875125047128484,2.4200700236371406,0.2079084168086975,0.0,0.0,0.0,0.51189923632224
9012018,@ Kentucky,L 2 - 3,5.0,0.0,0.0,0.005635080247383382,0.0,0.5442883782851174,0.6096161632148449,1.0699926529494947,2.9365675332676022,0.9670785791594416,0.0,0.0,0.0,0.6096161632148449
9072018,American,W 3 - 0,3.0,0.0,0.0,0.0045071705757990885,0.0,0.43534438830666433,0.6877548384084448,0.8558244408204362,3.1494226678260095,0.7735095021046069,0.0,0.0,0.0,0.6877548384084448
