Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Sacramento St.,L 0 - 3,3.0,2.0,0.0,7.0,0.28600000000000003,1.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,3.0
8302019,"Nevada @ Sacramento, Calif.",W 3 - 2,5.0,4.5,1.5,20.0,0.20350000000000001,1.0,0.5,1.5,9.0,2.5,0.0,2.0,0.0,6.0
8312019,"CSU Bakersfield @ Sacramento, CA",W 3 - 2,4.0,4.0,1.3333333333333333,21.333333333333332,0.16333333333333336,0.6666666666666666,1.3333333333333333,1.3333333333333333,6.666666666666667,2.3333333333333335,0.0,1.3333333333333333,0.0,6.0
9062019,@ St. John's (NY),L 0 - 3,3.0,4.0,2.0,20.0,0.12250000000000001,0.75,1.5,1.0,5.5,1.75,0.0,1.25,0.0,6.125
9062019,"Howard @ Queens, N.Y.",L 0 - 3,2.0,4.8,2.0,19.6,0.1646,1.0,1.2,1.0,5.0,1.6,0.0,1.2,0.0,6.6
9072019,"Columbia @ Queens, N.Y.",L 0 - 3,3.0,4.166666666666667,2.1666666666666665,18.833333333333332,0.11499999999999999,0.8333333333333334,1.0,1.0,5.5,1.3333333333333333,0.0,1.1666666666666667,0.16666666666666666,5.75
9132019,@ Loyola Maryland,L 1 - 3,4.0,5.571428571428571,2.2857142857142856,22.0,0.13685714285714284,0.8571428571428571,0.8571428571428571,1.0,5.571428571428571,1.4285714285714286,0.0,1.1428571428571428,0.14285714285714285,7.0
9132019,"UMBC @ Baltimore, Md.",L 1 - 3,4.0,6.0,2.5,22.625,0.142875,0.875,0.75,0.875,5.875,1.375,0.0,1.25,0.125,7.375
9142019,"Charlotte @ Baltimore, Md.",L 2 - 3,5.0,6.555555555555555,3.3333333333333335,24.88888888888889,0.12955555555555553,1.0,0.7777777777777778,0.7777777777777778,7.111111111111111,1.3333333333333333,0.0,1.1111111111111112,0.1111111111111111,7.888888888888889
9202019,"Cornell @ Buffalo, NY",L 0 - 3,3.0,6.1,3.4,23.8,0.10229999999999999,0.9,0.8,0.7,6.6,1.3,0.0,1.1,0.1,7.45
9202019,"Saint Francis (PA) @ Buffalo, NY",W 3 - 0,1.0,5.9,3.7,23.7,0.02369999999999999,0.8,0.8,0.7,6.0,1.1,0.0,1.0,0.1,7.2
9212019,@ Buffalo,L 2 - 3,1.0,5.2,3.5,20.5,-0.0884,0.7,0.7,0.4,4.9,0.9,0.0,0.8,0.1,6.3
9242019,@ Niagara,W 3 - 1,3.0,5.3,3.5,19.8,-0.0791,0.7,0.4,0.3,4.9,0.7,0.0,0.8,0.1,6.1
9282019,@ Iona,W 3 - 1,3.0,5.0,3.3,18.8,-0.0958,0.6,0.2,0.3,4.8,0.7,0.0,0.7,0.1,5.55
9292019,@ Manhattan,W 3 - 0,3.0,4.6,3.2,18.2,-0.1041,0.6,0.2,0.2,4.8,0.6,0.0,0.6,0.1,5.1
10052019,Saint Peter's,W 3 - 0,2.0,4.8,3.0,17.8,-0.0726,0.6,0.2,0.2,4.2,0.6,0.0,0.6,0.0,5.3
10062019,Rider,W 3 - 2,5.0,3.8,3.0,15.3,-0.09319999999999999,0.5,0.4,0.1,4.5,0.6,0.0,0.5,0.0,4.45
10122019,@ Marist,W 3 - 2,5.0,3.9,2.9,15.1,-0.0837,0.4,0.5,0.2,4.9,0.6,0.0,0.3,0.0,4.55
10132019,@ Siena,L 2 - 3,5.0,3.4,2.3,13.5,-0.07859999999999999,0.2,0.4,0.3,3.7,0.6,0.1,0.3,0.0,4.05
10192019,@ Quinnipiac,L 1 - 3,4.0,3.7,2.5,14.3,-0.0688,0.2,0.3,0.4,4.4,0.7,0.1,0.6,0.0,4.4
10202019,@ Fairfield,L 0 - 3,3.0,3.9,2.3,14.1,0.006200000000000006,0.2,0.3,0.4,4.5,1.1,0.1,0.5,0.0,4.55
10262019,Manhattan,W 3 - 0,3.0,4.5,2.4,15.7,0.1297,0.2,0.4,0.4,4.7,1.0,0.1,0.7,0.0,5.35
10272019,Iona,W 3 - 0,3.0,4.8,2.4,15.9,0.14370000000000002,0.2,0.4,0.4,4.7,1.0,0.1,0.8,0.0,5.7
11022019,@ Rider,L 1 - 3,4.0,4.9,2.3,16.8,0.16710000000000003,0.2,0.5,0.7,4.7,1.0,0.1,1.1,0.1,6.05
11032019,@ Saint Peter's,W 3 - 1,4.0,5.2,2.3,17.9,0.16820000000000004,0.2,0.5,0.7,4.7,1.1,0.1,1.1,0.1,6.35
11072019,Niagara,L 1 - 3,4.0,5.8,2.3,20.0,0.17500000000000004,0.2,0.5,0.7,4.7,1.4,0.1,1.1,0.2,6.95
11092019,Siena,L 2 - 3,5.0,6.0,2.4,21.2,0.17590000000000003,0.2,0.3,0.7,4.2,1.5,0.1,1.5,0.3,7.15
11102019,Marist,W 3 - 2,5.0,5.2,2.2,19.0,0.18120000000000006,0.4,0.2,0.8,3.9,1.5,0.1,1.5,0.3,6.25
11162019,Fairfield,W 3 - 2,2.0,4.6,1.8,16.6,0.17380000000000004,0.4,0.2,0.7,3.4,1.6,0.0,1.5,0.3,5.55
11172019,Quinnipiac,W 3 - 0,1.0,4.1,1.2,14.6,0.17830000000000004,0.5,0.2,0.6,2.5,1.5,0.0,1.2,0.3,4.9
11232019,"Quinnipiac @ Fairfield, Conn.",L 2 - 3,2.0,3.9,1.1,14.2,0.15330000000000005,0.5,0.2,0.6,2.5,1.1,0.0,1.2,0.3,4.7
8242018,"Binghamton @ Cleveland, Ohio",W 3 - 1,4.0,3.3,1.0,12.6,0.029800000000000038,0.5,0.3,0.6,2.7,1.1,0.0,1.0,0.3,4.1
8242018,"Montana St. @ Cleveland, Ohio",L 2 - 3,3.0,2.6,0.9,10.7,-0.0017999999999999627,0.5,0.3,0.6,2.5,1.2,0.0,0.9,0.3,3.35
8252018,@ Cleveland St.,L 0 - 3,3.0,2.5,0.9,9.7,-0.008499999999999962,0.5,0.4,0.5,3.0,1.5,0.0,0.6,0.2,3.2
9012018,@ Akron,L 0 - 3,2.0,2.0,0.9,8.0,-0.017899999999999965,0.3,0.4,0.5,2.8,1.5,0.0,0.7,0.2,2.75
