Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Dayton @ Louisville, KY",W 3 - 2,5.0,12.0,14.0,47.0,-0.043,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,15.0
8312019,@ Louisville,L 2 - 3,5.0,13.5,12.0,42.0,0.046000000000000006,2.0,3.0,4.0,8.5,1.0,0.0,0.0,0.0,16.5
9062019,"California Baptist @ Malibu, Calif.",W 3 - 0,2.0,11.0,9.333333333333334,32.0,0.08633333333333333,2.0,2.3333333333333335,3.0,8.0,0.6666666666666666,0.0,0.0,0.0,13.333333333333334
9072019,"Fairfield @ Malibu, Calif.",W 3 - 0,3.0,9.25,7.25,27.25,0.1225,2.0,2.0,2.75,8.0,0.75,0.25,0.5,0.0,11.75
9072019,@ Pepperdine,W 3 - 1,4.0,10.4,6.8,28.8,0.1552,2.4,1.8,2.4,8.4,0.6,0.4,1.0,0.0,13.1
9122019,Texas St.,W 3 - 1,4.0,10.666666666666666,6.333333333333333,28.5,0.17866666666666667,2.3333333333333335,1.6666666666666667,2.6666666666666665,8.166666666666666,0.5,0.3333333333333333,0.8333333333333334,0.0,13.083333333333334
9132019,Northwestern St.,W 3 - 0,3.0,10.714285714285714,5.571428571428571,27.857142857142858,0.21271428571428572,2.142857142857143,1.4285714285714286,2.857142857142857,8.0,0.5714285714285714,0.2857142857142857,1.1428571428571428,0.0,13.0
9132019,UTRGV,W 3 - 1,4.0,10.625,5.625,27.625,0.205375,2.25,1.625,3.0,7.875,0.5,0.25,1.25,0.0,13.125
9172019,Oklahoma,W 3 - 2,5.0,12.666666666666666,6.0,31.555555555555557,0.21777777777777776,2.0,1.4444444444444444,3.111111111111111,8.11111111111111,0.4444444444444444,0.2222222222222222,1.4444444444444444,0.0,15.055555555555555
9202019,@ Texas,L 0 - 3,3.0,13.2,6.2,32.4,0.221,1.9,1.5,3.1,8.2,0.5,0.3,1.4,0.0,15.7
9242019,Alabama,W 3 - 1,4.0,14.4,5.2,32.2,0.2697,2.0,1.3,3.2,7.6,0.6,0.3,1.7,0.0,16.85
9292019,@ Tennessee,L 2 - 3,5.0,15.3,5.2,34.6,0.2792,1.7,1.0,3.1,8.8,0.4,0.3,1.7,0.0,17.45
10042019,@ Arkansas,W 3 - 0,3.0,15.8,4.9,35.0,0.325,1.8,1.0,3.2,8.5,0.4,0.3,2.0,0.0,18.1
10062019,@ Missouri,L 2 - 3,5.0,17.3,5.3,38.8,0.3294,1.6,1.2,3.2,8.7,0.4,0.3,2.2,0.0,19.9
10112019,South Carolina,W 3 - 0,3.0,17.6,4.9,38.8,0.34940000000000004,1.4,1.2,3.3,8.5,0.4,0.2,1.9,0.0,19.95
10132019,Florida,L 2 - 3,5.0,19.0,5.4,41.7,0.35019999999999996,1.6,1.4,3.1,8.8,0.5,0.2,2.4,0.0,21.8
10182019,@ Mississippi St.,W 3 - 1,4.0,20.0,6.2,44.2,0.333,1.7,1.6,2.9,8.7,0.5,0.2,2.6,0.1,23.1
10202019,@ Ole Miss,W 3 - 2,5.0,22.2,6.6,48.2,0.35090000000000005,1.6,1.4,2.8,9.4,0.6,0.2,2.4,0.1,25.0
10272019,Georgia,W 3 - 0,3.0,20.6,6.1,44.9,0.3492,1.9,1.8,2.5,9.2,0.7,0.2,2.3,0.2,23.75
11012019,@ Kentucky,W 3 - 1,4.0,20.7,6.0,45.1,0.3528,2.0,2.0,2.3,8.8,0.6,0.2,2.4,0.2,24.1
11032019,Missouri,W 3 - 1,4.0,20.4,6.3,45.1,0.3395,1.8,2.1,2.2,8.9,0.8,0.2,2.2,0.2,23.8
11082019,Arkansas,W 3 - 0,3.0,19.3,5.7,41.4,0.354,2.0,2.2,2.0,8.3,0.8,0.2,2.2,0.2,22.8
11102019,@ LSU,L 1 - 3,4.0,20.2,6.6,44.9,0.31110000000000004,1.8,2.2,2.1,9.0,0.8,0.2,2.0,0.2,23.6
11132019,Auburn,W 3 - 0,3.0,19.7,6.5,42.9,0.3159,1.9,2.3,2.0,9.1,0.7,0.1,1.6,0.2,22.9
11222019,Mississippi St.,W 3 - 0,3.0,19.2,6.9,43.0,0.28950000000000004,1.9,2.5,1.9,8.9,0.7,0.1,1.8,0.2,22.7
11242019,Ole Miss,W 3 - 1,4.0,18.6,6.8,43.0,0.2805000000000001,1.6,2.2,2.0,9.0,0.6,0.1,1.5,0.3,21.65
11272019,@ South Carolina,W 3 - 1,4.0,18.5,6.4,42.1,0.29350000000000004,1.7,2.2,2.3,8.9,0.6,0.1,1.1,0.2,21.35
11302019,@ Florida,L 2 - 3,5.0,16.4,6.3,40.3,0.2644,1.7,2.4,2.1,8.5,0.5,0.1,1.5,0.2,19.65
12052019,St. John's (NY),W 3 - 0,3.0,16.6,6.2,40.3,0.27440000000000003,1.5,2.1,2.3,8.7,0.6,0.1,1.4,0.1,19.5
12062019,Rice,W 3 - 1,4.0,17.5,6.5,43.4,0.2705,1.4,2.1,2.5,9.9,0.7,0.0,1.6,0.2,20.4
12132019,@ Wisconsin,L 0 - 3,3.0,17.4,6.7,43.3,0.2644,1.6,2.1,2.4,9.6,0.4,0.0,1.5,0.2,20.25
8242018,"Ohio @ Columbus, Ohio",W 3 - 1,4.0,18.1,6.9,45.2,0.2595,1.5,2.0,2.5,9.4,0.4,0.0,1.6,0.2,20.9
8252018,@ Ohio St.,L 0 - 3,3.0,17.3,6.3,42.4,0.2747,1.6,2.2,2.5,8.7,0.6,0.0,1.6,0.2,20.3
8252018,"Albany (NY) @ Columbus, Ohio",W 3 - 1,4.0,18.4,6.5,44.8,0.2769,1.7,2.0,2.7,8.7,0.7,0.0,1.9,0.3,21.35
8312018,"Indiana @ University Park, Pa.",W 3 - 0,3.0,18.4,6.3,44.4,0.28589999999999993,1.5,1.8,2.8,8.9,0.7,0.0,1.7,0.3,21.05
9012018,"Temple @ University Park, Pa.",W 3 - 0,3.0,18.2,5.8,41.9,0.31289999999999996,1.6,2.1,2.8,8.2,0.7,0.0,1.6,0.2,21.1
9012018,@ Penn St.,L 0 - 3,3.0,17.5,6.4,41.6,0.28079999999999994,1.4,1.9,2.5,8.6,0.6,0.1,1.6,0.2,20.3
9062018,Pepperdine,W 3 - 0,3.0,17.3,6.0,39.7,0.29039999999999994,1.3,1.9,2.8,8.0,0.8,0.1,1.3,0.2,19.95
9072018,Nicholls St.,W 3 - 0,0.0,15.8,5.7,36.7,0.25039999999999996,1.2,1.8,2.5,7.0,0.6,0.1,1.2,0.2,18.3
9072018,Missouri St.,L 2 - 3,5.0,14.7,5.5,34.2,0.2445,1.2,1.6,2.4,6.5,0.8,0.1,0.8,0.2,16.8
9142018,@ Oklahoma,L 2 - 3,5.0,15.1,5.4,37.1,0.24139999999999998,1.1,1.5,2.7,7.2,0.8,0.1,1.0,0.2,17.2
9152018,@ Oklahoma,L 1 - 3,4.0,14.1,5.3,36.4,0.22269999999999998,1.0,1.6,2.7,7.7,0.8,0.1,1.0,0.3,16.3
9152018,Northwestern St. @ McCasland FieldHouse,W 3 - 1,4.0,15.0,5.9,39.6,0.20790000000000003,0.9,1.3,2.7,8.0,0.6,0.1,1.1,0.3,16.95
9192018,Arkansas,W 3 - 0,3.0,13.0,6.0,36.9,0.1663,0.7,1.2,2.7,7.6,0.6,0.1,0.9,0.2,14.75
9232018,Georgia,W 3 - 2,5.0,13.7,6.3,39.2,0.16060000000000002,1.2,1.9,2.9,8.3,0.6,0.1,1.3,0.3,16.35
9302018,@ LSU,W 3 - 2,5.0,14.0,6.8,42.3,0.1332,1.1,1.8,2.7,9.7,0.7,0.1,1.3,0.3,16.55
10052018,@ Florida,L 2 - 3,5.0,15.9,6.9,46.3,0.1538,1.3,2.0,2.7,9.9,0.9,0.0,1.2,0.4,18.5
10072018,@ South Carolina,L 1 - 3,4.0,17.0,7.0,48.6,0.1669,1.2,2.0,2.6,10.3,0.8,0.0,1.4,0.5,19.7
10122018,Auburn,W 3 - 0,3.0,18.6,7.4,51.3,0.2113,1.3,2.1,2.7,10.8,0.9,0.1,1.6,0.6,21.6
