Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Oklahoma @ Fort Collins, CO",W 3 - 0,3.0,10.0,6.0,26.0,0.154,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,13.5
8312019,@ Colorado St.,W 3 - 1,4.0,6.5,4.0,21.0,0.108,0.0,2.0,1.0,2.5,0.0,1.0,1.5,0.5,10.25
8312019,"Chicago St. @ Fort Collins, CO",W 3 - 1,4.0,4.333333333333333,3.3333333333333335,15.333333333333334,-0.09466666666666668,0.0,1.6666666666666667,0.6666666666666666,2.0,0.0,0.6666666666666666,1.0,0.3333333333333333,7.166666666666667
9062019,"North Carolina @ Irvine, CA",W 3 - 0,3.0,6.75,2.75,17.5,0.0645,0.0,1.25,1.0,2.0,0.0,0.75,1.0,0.25,9.25
9072019,"UNLV @ Irvine, CA",W 3 - 0,3.0,6.6,2.6,16.4,0.1182,0.0,1.8,1.4,2.6,0.0,0.6,1.4,0.2,9.7
9072019,@ UC Irvine,W 3 - 0,3.0,6.666666666666667,2.5,16.166666666666668,0.154,0.0,2.0,1.5,2.1666666666666665,0.0,0.5,1.1666666666666667,0.16666666666666666,9.75
9132019,"Buffalo @ Fargo, ND",W 3 - 0,3.0,6.571428571428571,2.2857142857142856,15.428571428571429,0.197,0.14285714285714285,1.7142857142857142,1.2857142857142858,2.142857142857143,0.0,0.42857142857142855,1.0,0.14285714285714285,9.214285714285714
9132019,@ North Dakota St.,W 3 - 1,4.0,7.125,2.625,16.625,0.202375,0.125,1.625,1.375,2.375,0.0,0.375,1.0,0.125,9.625
9192019,Saint Mary's (CA),W 3 - 0,3.0,7.444444444444445,2.5555555555555554,18.11111111111111,0.20955555555555558,0.1111111111111111,1.7777777777777777,1.5555555555555556,3.0,0.0,0.3333333333333333,1.0,0.1111111111111111,10.055555555555555
9212019,@ Saint Mary's (CA),W 3 - 1,4.0,8.4,2.7,19.7,0.22680000000000003,0.1,1.6,1.4,3.0,0.1,0.3,0.9,0.1,10.75
9262019,Stanford,L 1 - 3,4.0,8.4,2.6,20.5,0.22610000000000002,0.1,1.6,1.4,3.4,0.1,0.6,0.7,0.0,10.95
9282019,Washington St.,W 3 - 2,5.0,9.3,2.6,21.9,0.25320000000000004,0.1,1.4,1.4,3.7,0.1,0.6,0.9,0.0,11.75
10042019,@ Oregon St.,W 3 - 0,3.0,9.9,2.8,23.3,0.3143000000000001,0.1,1.4,1.5,4.0,0.1,0.9,1.0,0.0,12.7
10062019,@ Oregon,W 3 - 0,3.0,9.0,2.9,22.7,0.27680000000000005,0.1,1.4,1.3,4.0,0.1,0.8,1.0,0.0,11.7
10112019,"Arizona St. @ Stanford, Calif.",W 3 - 0,3.0,9.0,2.8,23.4,0.26980000000000004,0.1,1.0,1.2,3.8,0.1,0.8,0.8,0.0,11.2
10132019,Arizona,W 3 - 0,3.0,9.4,3.1,24.4,0.26050000000000006,0.1,0.9,1.1,3.9,0.1,1.0,0.9,0.0,11.75
10182019,Utah,W 3 - 2,5.0,9.9,3.3,26.6,0.23920000000000002,0.0,0.9,1.3,4.1,0.4,1.1,1.0,0.0,12.4
10202019,Colorado,W 3 - 2,5.0,10.7,2.9,28.0,0.2614000000000001,0.0,0.8,1.2,3.9,0.5,1.2,1.1,0.0,13.25
10252019,@ Southern California,L 1 - 3,4.0,11.0,3.2,28.3,0.2589000000000001,0.0,0.7,1.1,3.4,0.5,1.2,1.1,0.0,13.45
10272019,@ UCLA,L 1 - 3,4.0,10.1,3.1,27.4,0.24070000000000008,0.0,0.7,1.1,3.2,0.6,1.2,1.3,0.0,12.65
11012019,Oregon,L 1 - 3,4.0,10.3,3.4,27.7,0.23680000000000012,0.1,0.8,1.2,2.9,0.6,0.8,1.2,0.0,12.5
11022019,Oregon St.,W 3 - 1,4.0,10.4,3.6,28.1,0.23000000000000015,0.1,0.8,1.1,2.4,0.7,0.7,1.2,0.0,12.5
11072019,@ Arizona,W 3 - 0,3.0,11.7,3.6,29.4,0.26730000000000015,0.1,0.7,1.1,2.3,0.7,0.4,1.2,0.0,13.4
11102019,@ Arizona St.,W 3 - 2,5.0,12.5,4.2,32.4,0.2610000000000002,0.1,0.8,1.4,2.4,0.7,0.4,1.1,0.0,14.25
11152019,UCLA,L 0 - 3,3.0,12.7,4.4,33.0,0.2547000000000002,0.1,0.9,1.3,2.4,0.9,0.4,1.2,0.2,14.6
