Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"San Diego St. @ Fort Myers, FL",L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8302019,@ FGCU,L 1 - 3,3.0,4.0,2.0,13.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.25
8312019,"Bryant @ Fort Myers, FL",W 3 - 1,3.0,6.666666666666667,3.0,17.0,0.1446666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,6.833333333333333
9062019,"William & Mary @ Cincinnati, OH",L 0 - 3,2.0,5.25,3.25,14.75,0.014750000000000013,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,5.375
9062019,@ Xavier,W 3 - 2,5.0,6.8,4.4,18.0,0.03760000000000001,0.2,0.0,0.0,3.2,0.8,0.0,1.2,0.2,7.4
9072019,"Wright St. @ Cincinnati, Ohio",L 0 - 3,3.0,6.166666666666667,4.166666666666667,17.333333333333332,0.031333333333333345,0.3333333333333333,0.0,0.0,3.8333333333333335,1.0,0.0,1.0,0.16666666666666666,6.666666666666667
9132019,Saint Francis (PA),W 3 - 0,3.0,6.0,3.5714285714285716,16.0,0.11614285714285714,0.2857142857142857,0.0,0.0,4.142857142857143,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,6.571428571428571
9142019,Eastern Ky.,W 3 - 0,3.0,6.25,3.375,16.375,0.141125,0.25,0.0,0.0,4.0,0.75,0.125,0.75,0.125,6.75
9142019,Seton Hall,W 3 - 0,3.0,6.444444444444445,3.5555555555555554,16.88888888888889,0.14133333333333334,0.2222222222222222,0.3333333333333333,0.3333333333333333,4.111111111111111,0.6666666666666666,0.1111111111111111,0.7777777777777778,0.2222222222222222,7.277777777777778
9202019,@ North Dakota,W 3 - 0,3.0,6.8,3.4,17.0,0.1716,0.3,0.3,0.3,3.9,0.6,0.2,0.8,0.2,7.7
9202019,"Eastern Wash. @ Grand Forks, N.D.",W 3 - 0,3.0,7.9,3.8,19.4,0.2008,0.3,0.3,0.3,4.2,0.6,0.2,0.9,0.3,8.85
9262019,@ Buffalo,W 3 - 2,5.0,8.2,4.1,21.3,0.1943,0.4,0.3,0.3,5.8,0.6,0.2,1.1,0.3,9.25
9282019,Ball St.,W 3 - 2,5.0,8.7,4.5,22.8,0.18630000000000002,0.4,0.3,0.3,6.6,0.9,0.3,1.1,0.2,9.85
10042019,@ Bowling Green,W 3 - 1,4.0,10.2,4.4,25.2,0.2644,0.5,0.3,0.3,7.3,0.9,0.3,1.2,0.2,11.4
10052019,@ Miami (OH),W 3 - 0,3.0,9.6,3.8,24.4,0.26890000000000003,0.4,0.3,0.3,6.8,0.6,0.3,1.0,0.2,10.7
10112019,Ohio,L 1 - 3,4.0,10.5,4.0,25.6,0.2958,0.3,0.3,0.3,6.5,0.4,0.3,1.1,0.3,11.65
10122019,Kent St.,W 3 - 1,4.0,11.0,4.3,27.2,0.2625,0.3,0.3,0.3,6.6,0.4,0.2,1.2,0.3,12.1
10182019,Northern Ill.,W 3 - 0,3.0,11.6,4.3,28.2,0.27230000000000004,0.3,0.3,0.3,6.8,0.5,0.2,1.4,0.3,12.8
10192019,Western Mich.,W 3 - 2,5.0,11.9,4.3,29.4,0.27620000000000006,0.3,0.0,0.0,6.9,0.6,0.4,1.4,0.3,13.0
