Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Memphis @ Charleston, Ill.",L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,"South Dakota St. @ Charleston, Ill.",W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,@ Eastern Ill.,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9062019,Eastern Wash.,W 3 - 0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
9072019,Milwaukee,L 2 - 3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
9072019,Saint Louis,W 3 - 1,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
9102019,@ Western Ill.,W 3 - 1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
9132019,"Washington @ Omaha, Neb.",L 0 - 3,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
9142019,@ Creighton,L 1 - 3,1.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
9142019,"Omaha @ Omaha, Neb.",L 0 - 3,2.0,0.1,0.2,0.5,-0.025,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.25
9202019,"Western Caro. @ Wilmington, NC",L 2 - 3,2.0,0.4,0.5,1.4,-0.025,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.55
9202019,@ UNCW,L 2 - 3,0.0,0.4,0.5,1.4,-0.025,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.55
9212019,"N.C. A&T @ Wilmington, NC",W 3 - 2,0.0,0.4,0.5,1.4,-0.025,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.55
9272019,Indiana St.,W 3 - 2,0.0,0.4,0.5,1.3,-0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.55
9282019,Evansville,L 1 - 3,0.0,0.4,0.5,1.3,-0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.55
9302019,@ Loyola Chicago,L 1 - 3,0.0,0.4,0.5,1.3,-0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.55
10042019,@ Southern Ill.,L 1 - 3,1.0,0.4,0.5,1.5,-0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.55
10052019,@ Missouri St.,L 1 - 3,0.0,0.4,0.5,1.5,-0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.55
10112019,Illinois St.,L 0 - 3,0.0,0.4,0.5,1.5,-0.025,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.55
10122019,Bradley,L 1 - 3,0.0,0.3,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
10182019,@ UNI,L 0 - 3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10252019,@ Evansville,W 3 - 2,5.0,0.0,0.2,0.8,-0.033299999999999996,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.25
10262019,@ Indiana St.,L 1 - 3,2.0,0.1,0.4,1.5,-0.047599999999999996,0.0,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.4
10282019,@ Valparaiso,W 3 - 2,0.0,0.1,0.4,1.5,-0.047599999999999996,0.0,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.4
11012019,Missouri St.,L 1 - 3,0.0,0.1,0.4,1.5,-0.047599999999999996,0.0,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.4
11022019,Southern Ill.,L 1 - 3,0.0,0.1,0.4,1.5,-0.047599999999999996,0.0,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.4
11082019,@ Bradley,L 0 - 3,0.0,0.1,0.4,1.3,-0.047599999999999996,0.0,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.4
11092019,@ Illinois St.,L 0 - 3,2.0,0.1,0.4,1.5,-0.047599999999999996,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.0,0.6
11152019,UNI,L 0 - 3,3.0,0.3,0.4,1.7,0.0524,0.0,0.0,0.2,0.2,0.0,0.1,1.2,0.0,1.0
11222019,Valparaiso,L 2 - 3,0.0,0.3,0.4,1.7,0.0524,0.0,0.0,0.2,0.2,0.0,0.1,1.2,0.0,1.0
11232019,Loyola Chicago,L 2 - 3,4.0,0.4,0.4,1.9,0.1024,0.0,0.0,0.2,0.2,0.0,0.1,1.5,0.0,1.25
