Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"LIU @ Boulder, CO",W 3 - 0,3,7.0,0.0,10.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,8.5
8312019,"Wyoming @ Boulder, CO",W 3 - 2,5,9.0,2.5,17.5,0.47,0.5,0.0,0.0,1.0,0.0,0.5,3.0,0.0,11.0
8312019,@ Colorado,L 1 - 3,4,8.333333333333334,3.3333333333333335,17.0,0.355,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,0.3333333333333333,3.0,0.0,10.166666666666666
9062019,"NC State @ Richmond, VA",W 3 - 1,4,6.75,3.0,16.25,0.26625,0.25,0.0,0.0,1.75,0.0,0.25,3.0,0.25,8.5
9072019,"Navy @ Richmond, VA",W 3 - 1,4,6.2,3.0,15.0,0.233,0.2,0.0,0.0,1.6,0.0,0.4,3.4,0.2,8.3
9072019,@ VCU,W 3 - 2,5,6.666666666666667,3.3333333333333335,15.833333333333334,0.2275,0.16666666666666666,0.0,0.0,1.6666666666666667,0.0,0.3333333333333333,3.6666666666666665,0.16666666666666666,8.833333333333334
9132019,San Diego,W 3 - 1,4,6.428571428571429,3.0,15.0,0.25214285714285717,0.14285714285714285,0.0,0.0,1.5714285714285714,0.0,0.5714285714285714,3.7142857142857144,0.14285714285714285,8.857142857142858
9142019,La Salle,W 3 - 0,3,6.5,2.75,14.5,0.28875,0.125,0.0,0.0,1.625,0.0,0.5,3.5,0.125,8.75
9142019,Harvard,W 3 - 1,4,6.666666666666667,2.5555555555555554,13.88888888888889,0.34311111111111114,0.1111111111111111,0.0,0.0,1.4444444444444444,0.0,0.4444444444444444,3.5555555555555554,0.1111111111111111,8.88888888888889
9182019,UCLA,W 3 - 0,3,6.9,2.4,13.9,0.3659,0.1,0.0,0.0,1.3,0.0,0.4,3.6,0.1,9.1
9202019,Pepperdine,W 3 - 2,5,6.8,2.6,14.7,0.3181,0.1,0.0,0.0,1.3,0.0,0.4,4.0,0.1,9.2
9242019,CSUN,W 3 - 2,5,6.7,2.4,13.6,0.34409999999999996,0.0,0.0,0.0,1.2,0.0,0.4,4.0,0.1,9.1
9272019,@ UC Irvine,W 3 - 0,3,6.6,2.2,13.2,0.3566,0.0,0.0,0.0,0.9,0.0,0.4,3.7,0.1,8.85
9282019,@ Cal St. Fullerton,W 3 - 0,3,6.7,2.3,12.9,0.3566,0.0,0.0,0.0,0.7,0.0,0.5,3.6,0.0,9.0
10042019,UC Davis,W 3 - 0,3,6.6,2.0,12.3,0.42160000000000003,0.0,0.0,0.0,0.7,0.0,0.4,3.2,0.1,8.6
10052019,UC Riverside,W 3 - 0,3,5.9,1.6,10.7,0.4266,0.0,0.0,0.0,0.6,0.0,0.4,3.0,0.1,7.8
10122019,Hawaii,L 0 - 3,3,5.8,1.8,10.6,0.3977,0.0,0.0,0.0,0.5,0.0,0.3,2.9,0.1,7.55
10192019,Cal Poly,W 3 - 1,4,5.3,1.7,10.2,0.3718,0.0,0.0,0.0,0.3,0.0,0.3,3.3,0.1,7.25
10242019,@ UC Davis,W 3 - 0,3,4.7,1.7,9.7,0.319,0.0,0.0,0.0,0.3,0.0,0.4,3.4,0.2,6.8
10262019,@ UC Riverside,W 3 - 0,3,4.2,1.7,9.1,0.2994,0.0,0.0,0.0,0.3,0.0,0.4,3.2,0.2,6.2
10292019,Long Beach St.,W 3 - 1,4,3.9,1.6,8.1,0.30219999999999997,0.0,0.0,0.0,0.2,0.0,0.4,2.9,0.4,5.75
11012019,@ Hawaii,L 2 - 3,5,3.4,1.6,7.8,0.2704,0.0,0.0,0.0,0.4,0.0,0.3,3.1,0.4,5.25
11092019,@ Cal Poly,L 0 - 3,3,3.3,1.4,7.4,0.2954,0.0,0.0,0.0,0.4,0.0,0.3,3.1,0.4,5.15
11152019,@ Long Beach St.,L 0 - 3,3,3.5,1.4,7.4,0.3136,0.0,0.0,0.0,0.4,0.0,0.2,2.9,0.4,5.15
11162019,@ CSUN,W 3 - 0,3,3.7,1.5,8.0,0.27859999999999996,0.0,0.0,0.0,0.3,0.0,0.4,3.1,0.3,5.65
11222019,Cal St. Fullerton,W 3 - 0,3,4.1,1.7,9.1,0.27359999999999995,0.0,0.0,0.0,0.2,0.0,0.4,3.5,0.4,6.25
11232019,UC Irvine,W 3 - 0,3,4.2,1.5,9.3,0.29889999999999994,0.0,0.0,0.0,0.2,0.0,0.3,3.4,0.5,6.2
12052019,"Texas St. @ Austin, Texas",W 3 - 1,4,4.9,1.7,10.1,0.31699999999999995,0.0,0.0,0.0,0.3,0.0,0.4,3.2,0.5,6.9
12062019,@ Texas,L 2 - 3,5,5.3,1.9,11.2,0.31199999999999994,0.0,0.0,0.0,0.5,0.0,0.4,3.0,0.4,7.2
