Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,FIU,W 3 - 1,4.0,8.0,2.0,15.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,10.0
8302019,Marshall,W 3 - 1,4.0,8.0,2.0,19.0,0.3305,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.5,9.75
8312019,UT Martin,W 3 - 0,3.0,6.333333333333333,1.6666666666666667,15.666666666666666,0.29433333333333334,0.0,0.0,0.0,2.0,0.0,0.0,2.6666666666666665,0.6666666666666666,7.666666666666667
8312019,Santa Clara,L 0 - 3,3.0,4.75,1.75,14.0,0.16525,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5,5.75
9062019,Oregon St.,W 3 - 0,3.0,4.4,1.8,14.6,0.14400000000000002,0.0,0.0,0.0,1.8,0.0,0.2,1.6,0.4,5.4
9062019,Oklahoma,L 2 - 3,5.0,4.833333333333333,2.3333333333333335,16.0,0.1345,0.0,0.0,0.0,2.0,0.0,0.16666666666666666,2.0,0.3333333333333333,6.0
9082019,Yale,W 3 - 1,0.0,4.142857142857143,2.0,13.714285714285714,0.1152857142857143,0.0,0.0,0.0,1.7142857142857142,0.0,0.14285714285714285,1.7142857142857142,0.2857142857142857,5.142857142857143
9132019,"FGCU @ Lexington, Ky.",W 3 - 0,0.0,3.625,1.75,12.0,0.100875,0.0,0.0,0.0,1.5,0.0,0.125,1.5,0.25,4.5
9132019,"Cleveland St. @ Lexington, Ky.",W 3 - 1,2.0,3.5555555555555554,1.6666666666666667,11.666666666666666,0.11433333333333334,0.0,0.0,0.0,1.3333333333333333,0.0,0.1111111111111111,1.4444444444444444,0.2222222222222222,4.388888888888889
9142019,@ Kentucky,W 3 - 2,5.0,3.3,2.1,11.8,0.06440000000000001,0.0,0.0,0.0,1.4,0.0,0.2,1.5,0.2,4.25
9202019,"Stetson @ Tampa, FL",W 3 - 1,4.0,3.4,2.0,12.5,0.0608,0.0,0.0,0.0,1.4,0.0,0.3,1.5,0.2,4.45
9202019,@ South Fla.,W 3 - 2,0.0,2.6,1.8,10.2,0.034699999999999995,0.0,0.0,0.0,1.4,0.0,0.3,1.2,0.1,3.5
9212019,@ South Fla.,W 3 - 1,3.0,2.7,1.9,10.0,0.041100000000000005,0.0,0.0,0.0,1.5,0.0,0.3,1.2,0.0,3.6
9272019,@ Minnesota,L 0 - 3,3.0,2.8,2.0,10.4,0.0479,0.0,0.0,0.0,1.3,0.0,0.3,1.2,0.0,3.7
9292019,@ Wisconsin,L 1 - 3,1.0,2.5,1.9,9.0,0.008700000000000003,0.0,0.0,0.0,1.2,0.0,0.2,1.2,0.0,3.3
10042019,Illinois,L 0 - 3,0.0,1.8,1.4,6.7,2.7755575615628915e-18,0.0,0.0,0.0,0.9,0.0,0.2,0.8,0.0,2.4
