Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,UNLV,W 3 - 1,3.0,0,1,3,-0.333,0,0,0,0,0,0,0,0,0.0
8302019,Portland,L 1 - 3,3.0,0,1,3,-0.333,0,0,0,0,1,0,0,0,0.0
8312019,CSUN,W 3 - 0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9052019,"Sam Houston St. @ Provo, UT",W 3 - 0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9062019,"LIU @ Provo, UT",W 3 - 0,2.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
9072019,@ BYU,L 0 - 3,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9132019,"Kansas St. @ Springfield, Mo.",W 3 - 1,4.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
9142019,"SMU @ Springfield, Mo.",W 3 - 0,2.0,0,0,0,0.0,0,0,0,1,0,0,1,0,0.5
9142019,@ Missouri St.,W 3 - 2,5.0,1,0,2,0.5,0,0,0,0,0,0,1,0,1.5
9192019,@ Utah Valley,W 3 - 1,4.0,3,0,9,0.333,0,1,2,1,0,0,3,0,5.5
9212019,Utah St.,W 3 - 0,2.0,6,2,16,0.25,0,1,0,3,0,0,2,0,8.0
9262019,@ Northern Ariz.,L 1 - 3,4.0,5,2,13,0.231,0,1,1,3,0,0,6,1,9.0
9282019,@ Southern Utah,L 2 - 3,4.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
10012019,@ Idaho St.,W 3 - 2,5.0,6,0,14,0.429,0,0,3,5,0,0,3,0,7.5
10052019,Northern Colo.,L 0 - 3,3.0,5,1,13,0.308,0,2,1,5,0,0,3,0,8.5
10102019,Portland St.,W 3 - 0,3.0,8,0,12,0.667,0,1,2,4,0,2,7,1,14.5
10122019,Sacramento St.,L 2 - 3,5.0,7,2,16,0.312,0,1,2,3,0,1,5,0,11.5
10172019,@ Montana St.,W 3 - 0,3.0,8,0,14,0.5710000000000001,0,0,1,2,0,1,2,0,10.0
10192019,@ Montana,W 3 - 1,3.0,2,3,9,-0.111,0,2,2,2,0,0,3,0,5.5
10242019,Idaho,W 3 - 2,5.0,10,3,30,0.233,0,0,1,2,0,0,2,1,11.0
10262019,@ Eastern Wash.,W 3 - 1,4.0,6,1,14,0.35700000000000004,1,0,0,3,0,1,3,0,8.5
10312019,Southern Utah,W 3 - 1,4.0,11,4,22,0.318,0,1,2,2,0,0,4,1,14.0
11022019,Northern Ariz.,W 3 - 0,3.0,5,1,10,0.4,0,0,0,2,0,1,1,1,6.5
11052019,Idaho St.,W 3 - 1,4.0,10,1,18,0.5,0,1,0,4,0,0,8,1,15.0
11072019,@ Northern Colo.,L 1 - 3,4.0,9,4,21,0.238,0,2,0,3,0,0,2,0,12.0
11142019,@ Sacramento St.,W 3 - 0,3.0,2,1,10,0.1,0,0,1,2,0,0,5,0,4.5
11162019,@ Portland St.,W 3 - 0,3.0,9,1,18,0.444,0,2,1,5,0,0,1,0,11.5
11212019,Montana,W 3 - 1,3.0,6,3,17,0.17600000000000002,0,0,2,1,0,0,2,0,7.0
11232019,Montana St.,W 3 - 0,3.0,9,3,16,0.375,0,0,0,4,0,2,4,1,13.0
11282019,"Southern Utah @ Sacramento, Calif.",W 3 - 0,3.0,9,2,17,0.412,0,0,0,4,0,1,4,0,12.0
11292019,"Northern Ariz. @ Sacramento, Calif.",W 3 - 0,3.0,9,2,21,0.333,0,0,0,5,0,0,4,1,11.0
11302019,"Northern Colo. @ Sacramento, Calif.",L 2 - 3,5.0,3,5,24,-0.083,0,1,0,4,0,0,5,1,6.5
12052019,"Boise St. @ Laramie, Wyo.",W 3 - 1,4.0,6,0,13,0.462,0,1,0,0,0,0,2,0,8.0
12062019,@ Wyoming,W 3 - 2,5.0,13,0,26,0.5,0,2,0,1,0,0,3,1,16.5
12122019,@ Tulsa,L 2 - 3,5.0,9,1,19,0.421,0,1,1,3,0,0,1,0,10.5
8242018,@ Notre Dame,L 0 - 3,3.0,1,3,9,-0.222,0,0,1,3,0,1,2,0,3.0
8252018,"Northern Ky. @ Notre Dame, Ind.",L 1 - 3,4.0,6,0,19,0.316,0,0,1,5,0,1,2,0,8.0
