Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Toledo,W 3 - 0,3.0,3,0,4,0.75,1,0,0,0,1,0,1,0,3.5
8312019,"Loyola Chicago @ Toledo, OH",L 1 - 3,4.0,6,2,13,0.308,0,0,0,3,0,0,3,0,7.5
8312019,"Western Ky. @ Toledo, OH",L 0 - 3,3.0,3,0,8,0.375,0,1,1,2,0,0,3,0,5.5
9062019,"UIC @ Mount Pleasant, MI",W 3 - 2,5.0,10,1,25,0.36,0,2,3,6,0,4,2,0,17.0
9062019,@ Central Mich.,L 2 - 3,5.0,10,1,16,0.562,1,1,1,1,0,1,2,1,13.0
9072019,"Eastern Ill. @ Mount Pleasant, MI",W 3 - 2,5.0,8,3,23,0.217,3,0,2,5,0,1,3,0,10.5
9132019,California,L 1 - 3,4.0,8,3,12,0.417,0,0,0,1,0,0,2,0,9.0
9142019,Buffalo,W 3 - 2,5.0,8,3,23,0.217,0,1,1,2,0,0,3,0,10.5
9142019,Green Bay,W 3 - 0,3.0,6,1,10,0.5,0,1,0,2,0,0,2,2,8.0
9202019,"Ga. Southern @ Knoxville, TN",L 0 - 3,3.0,3,3,13,0.0,0,0,1,1,0,1,1,0,4.5
9212019,"ETSU @ Knoxville, TN",L 1 - 3,4.0,5,2,12,0.25,0,0,2,4,0,1,2,0,7.0
9212019,@ Tennessee,L 0 - 3,3.0,0,2,7,-0.28600000000000003,0,0,0,0,0,0,0,0,0.0
9272019,@ South Dakota St.,L 1 - 3,4.0,6,1,12,0.417,0,0,0,2,0,0,2,0,7.0
9292019,@ Omaha,L 1 - 3,4.0,11,4,25,0.28,0,0,0,0,0,1,2,0,13.0
10042019,Purdue Fort Wayne,W 3 - 0,3.0,3,3,11,0.0,0,0,0,0,0,0,3,1,4.5
10062019,Western Ill.,W 3 - 0,3.0,9,1,13,0.615,0,0,0,2,0,0,0,0,9.0
10112019,South Dakota,L 2 - 3,5.0,4,3,17,0.059,0,0,0,1,0,1,1,0,5.5
10132019,Denver,L 1 - 3,4.0,9,1,15,0.5329999999999999,0,0,0,2,0,0,4,0,11.0
10152019,@ North Dakota,W 3 - 1,4.0,11,3,25,0.32,1,0,0,1,0,1,1,2,12.5
10202019,@ Oral Roberts,W 3 - 2,5.0,6,1,19,0.263,0,0,0,2,1,0,2,1,7.0
10252019,South Dakota St.,W 3 - 1,4.0,11,2,22,0.409,0,0,0,3,0,0,3,0,12.5
10272019,Omaha,L 0 - 3,3.0,1,0,9,0.111,0,0,0,0,0,0,1,1,1.5
11012019,@ Purdue Fort Wayne,L 1 - 3,4.0,6,1,16,0.312,1,0,0,1,0,1,0,0,7.0
11032019,@ Western Ill.,W 3 - 1,4.0,9,0,16,0.562,0,0,0,4,0,0,3,1,10.5
11082019,@ South Dakota,L 0 - 3,3.0,11,4,22,0.318,0,0,0,1,0,0,2,0,12.0
11102019,@ Denver,L 0 - 3,3.0,7,3,16,0.25,0,0,0,1,0,0,4,1,9.0
11122019,North Dakota,W 3 - 1,4.0,13,0,28,0.464,1,0,0,1,0,1,4,1,16.0
