Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Binghamton @ Newark, DE",W 3 - 0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
8312019,"West Virginia @ Newark, Del.",L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8312019,@ Delaware,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9012019,Siena,W 3 - 2,1.0,0,0,0,0.0,1,1,2,0,0,0,0,0,1.0
9062019,@ UTEP,L 0 - 3,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,"A&M-Corpus Christi @ El Paso, Texas",L 1 - 3,4.0,1,0,2,0.5,0,0,1,3,0,0,0,0,1.0
9132019,"Brown @ Providence, R.I.",L 0 - 3,3.0,0,0,0,0.0,0,2,1,0,0,0,0,0,2.0
9142019,@ Providence,L 1 - 3,4.0,0,0,0,0.0,0,1,0,0,0,0,0,0,1.0
9142019,"Fairleigh Dickinson @ Providence, R.I.",W 3 - 0,3.0,0,0,0,0.0,0,2,0,3,0,0,0,0,2.0
9172019,@ Loyola Maryland,L 1 - 3,3.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
9202019,"Marshall @ Morehead, Ky.",L 0 - 3,2.0,0,0,0,0.0,0,1,0,0,0,0,0,0,1.0
9202019,@ Morehead St.,L 0 - 3,3.0,0,0,0,0.0,0,1,2,0,0,0,0,0,1.0
9212019,"Southeastern La. @ Morehead, Ky.",L 1 - 3,4.0,0,0,0,0.0,0,1,0,1,0,0,0,0,1.0
9272019,Delaware St.,W 3 - 0,1.0,0,0,0,0.0,0,1,0,0,0,0,0,0,1.0
9292019,UMES,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10012019,@ UMBC,W 3 - 2,2.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0.0
10042019,N.C. A&T,L 2 - 3,2.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
