Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Nevada @ Sacramento, Calif.",L 1 - 3,4.0,4,5,18,-0.056,0,0,0,0,0,0,0,0,4.0
8302019,@ Sacramento St.,L 2 - 3,5.0,8,4,16,0.25,0,0,0,2,0,1,4,0,11.0
8312019,"Canisius @ Sacramento, CA",L 2 - 3,5.0,10,1,24,0.375,1,0,0,0,0,0,5,0,12.5
9052019,@ Fresno St.,W 3 - 1,4.0,6,2,17,0.235,0,0,0,0,0,0,7,0,9.5
9062019,"Santa Clara @ Fresno, Calif.",L 0 - 3,3.0,2,1,5,0.2,1,0,0,0,0,0,1,0,2.5
9062019,"CSUN @ Fresno, Calif.",L 0 - 3,2.0,3,4,12,-0.083,0,0,0,0,0,0,2,0,4.0
9132019,"UTEP @ Missoula, MT",W 3 - 2,2.0,1,3,5,-0.4,0,0,0,1,0,0,1,0,1.5
9132019,@ Montana,W 3 - 0,3.0,9,1,15,0.5329999999999999,1,0,0,0,0,0,5,0,11.5
9142019,"Montana St. @ Missoula, MT",L 1 - 3,2.0,1,0,4,0.25,0,0,0,0,0,0,2,0,2.0
9202019,San Francisco,W 3 - 2,5.0,6,1,14,0.35700000000000004,0,0,0,1,0,0,4,0,8.0
9212019,UC Davis,W 3 - 1,2.0,2,1,6,0.16699999999999998,0,0,0,1,0,0,0,0,2.0
9212019,Fresno St.,L 0 - 3,3.0,3,2,11,0.091,0,0,0,2,0,0,0,1,3.0
9262019,@ Kansas City,L 0 - 3,3.0,5,2,12,0.25,0,0,0,0,0,0,3,0,6.5
9282019,@ Chicago St.,W 3 - 1,2.0,1,3,9,-0.222,0,0,0,0,0,0,2,0,2.0
10032019,Utah Valley,L 0 - 3,3.0,2,3,9,-0.111,0,0,0,0,0,0,1,0,2.5
10052019,Seattle U,W 3 - 2,5.0,2,1,10,0.1,0,0,0,0,0,1,5,1,5.5
10102019,@ New Mexico St.,L 1 - 3,4.0,10,2,16,0.5,0,0,0,1,0,1,0,0,11.0
10122019,@ UTRGV,L 1 - 3,4.0,9,2,19,0.368,0,0,0,2,0,0,7,0,12.5
10172019,Grand Canyon,L 2 - 3,5.0,11,7,22,0.182,1,0,0,3,1,0,7,0,14.5
10212019,@ California Baptist,L 2 - 3,5.0,11,4,29,0.241,0,2,1,4,0,1,5,0,16.5
10242019,Kansas City,L 1 - 3,4.0,9,6,28,0.107,0,0,2,1,0,1,4,0,12.0
10262019,Chicago St.,W 3 - 2,5.0,16,4,30,0.4,0,0,1,1,0,0,4,2,18.0
10312019,@ Utah Valley,L 1 - 3,4.0,7,1,15,0.4,0,0,0,0,0,0,3,0,8.5
11022019,@ Seattle U,L 1 - 3,2.0,5,2,11,0.273,1,0,0,0,0,0,1,0,5.5
