Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ North Texas,W 3 - 1,4.0,4,6,10,-0.2,0,0,0,1,0,0,1,0,4.5
8302019,"Tulsa @ Denton, Texas",W 3 - 1,4.0,7,1,15,0.4,0,0,0,1,0,1,1,0,8.5
8312019,"Pepperdine @ Denton, Texas",L 1 - 3,4.0,4,1,13,0.231,1,0,0,0,0,0,3,0,5.5
9062019,"Little Rock @ Tulsa, OK",W 3 - 0,2.0,1,1,4,0.0,0,0,0,0,0,0,2,1,2.0
9062019,@ Oral Roberts,W 3 - 0,2.0,2,1,6,0.16699999999999998,0,0,0,0,0,0,3,0,3.5
9072019,"Air Force @ Tulsa, OK",W 3 - 2,5.0,3,2,12,0.083,0,0,0,0,0,0,5,0,5.5
9132019,Illinois,W 3 - 1,4.0,4,2,15,0.133,0,0,0,0,0,0,2,0,5.0
9142019,UCF,W 3 - 2,5.0,8,3,20,0.25,0,0,0,0,0,0,7,0,11.5
9152019,Marquette,L 2 - 3,5.0,5,1,12,0.333,0,0,0,1,0,0,6,0,8.0
9202019,@ Ohio St.,L 0 - 3,3.0,4,3,12,0.083,0,0,0,0,0,0,2,0,5.0
9202019,"Miami (OH) @ Columbus, Ohio",L 1 - 3,1.0,1,0,3,0.333,0,0,0,0,0,0,1,0,1.5
9212019,"Dayton @ Columbus, Ohio",L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9272019,Missouri St.,W 3 - 0,3.0,4,1,11,0.273,0,0,0,1,0,0,3,0,5.5
9282019,Southern Ill.,W 3 - 0,3.0,9,4,22,0.227,0,0,0,2,0,1,2,0,11.0
9302019,@ Evansville,L 2 - 3,5.0,5,4,13,0.077,0,0,0,1,0,0,7,0,8.5
10042019,@ Bradley,L 2 - 3,5.0,13,4,28,0.321,0,0,0,0,0,0,2,1,14.0
10112019,@ Drake,W 3 - 0,3.0,3,2,11,0.091,0,0,0,0,0,0,3,0,4.5
10122019,@ UNI,W 3 - 2,5.0,13,2,24,0.458,0,0,0,1,0,0,5,0,15.5
10182019,Loyola Chicago,W 3 - 1,4.0,8,1,15,0.467,0,0,0,1,0,0,4,0,10.0
10192019,Valparaiso,W 3 - 1,4.0,9,4,21,0.238,0,0,0,1,1,0,6,0,12.0
10252019,@ Southern Ill.,L 1 - 3,4.0,11,2,18,0.5,0,0,0,0,0,0,4,2,13.0
10262019,@ Missouri St.,L 1 - 3,4.0,10,2,19,0.421,0,0,0,0,0,0,5,0,12.5
11012019,Bradley,L 2 - 3,5.0,6,4,19,0.105,0,0,0,0,0,1,1,0,7.5
11042019,@ Indiana St.,W 3 - 0,3.0,7,3,14,0.28600000000000003,0,0,0,1,0,0,3,0,8.5
11082019,UNI,L 1 - 3,4.0,4,5,20,-0.05,0,0,0,0,0,0,1,0,4.5
11092019,Drake,W 3 - 0,3.0,1,3,12,-0.16699999999999998,0,0,0,0,0,0,5,0,3.5
11152019,@ Valparaiso,W 3 - 2,5.0,8,8,21,0.0,1,0,0,2,0,0,6,0,11.0
11162019,@ Loyola Chicago,W 3 - 1,4.0,3,4,13,-0.077,0,0,0,2,0,0,2,0,4.0
11222019,Indiana St.,W 3 - 0,3.0,11,2,15,0.6,0,0,0,0,0,0,2,0,12.0
11232019,Evansville,W 3 - 0,3.0,4,3,10,0.1,0,0,0,1,0,0,3,0,5.5
11282019,"Evansville @ Cedar Falls, IA",W 3 - 0,3.0,8,3,22,0.227,0,0,0,1,0,0,1,0,8.5
11292019,"Loyola Chicago @ Cedar Falls, IA",W 3 - 1,4.0,6,1,11,0.455,0,0,0,0,0,0,3,0,7.5
11302019,@ UNI,W 3 - 0,3.0,4,3,13,0.077,0,0,0,1,0,0,6,0,7.0
12062019,@ Wisconsin,L 0 - 3,3.0,2,1,4,0.25,0,0,0,0,0,0,1,0,2.5
