Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8312019,"Rhode Island @ West Point, NY",W 3 - 1,4.0,6,7,20,-0.05,0,0,0,1,0,0,8,0,10.0
8312019,@ Army West Point,L 0 - 3,3.0,5,2,15,0.2,0,0,0,0,0,0,0,0,5.0
9012019,"Iona @ West Point, NY",W 3 - 1,4.0,15,0,23,0.652,0,0,0,1,0,0,2,0,16.0
9032019,Bryant,W 3 - 0,3.0,7,1,11,0.545,0,0,0,1,0,1,8,0,12.0
9052019,Seattle U,L 1 - 3,4.0,8,3,23,0.217,1,0,0,0,0,0,7,0,11.5
9062019,Holy Cross,W 3 - 0,3.0,3,2,12,0.083,0,0,0,0,1,1,2,0,5.0
9072019,Brown,W 3 - 1,4.0,7,2,14,0.35700000000000004,0,0,0,0,0,0,7,0,10.5
9102019,@ Northeastern,W 3 - 2,5.0,3,2,14,0.071,0,0,0,1,0,0,4,0,5.0
9132019,"Rutgers @ Hamilton, NY",L 0 - 3,3.0,3,2,10,0.1,0,0,0,0,0,0,4,0,5.0
9142019,@ Colgate,W 3 - 1,4.0,12,1,19,0.579,0,0,0,1,0,2,1,0,14.5
9142019,"Quinnipiac @ Hamilton, NY",W 3 - 1,4.0,7,2,18,0.278,0,0,0,1,0,2,5,0,11.5
9212019,"Loyola Maryland @ Towson, Md.",W 3 - 2,5.0,11,1,29,0.345,1,0,0,0,0,0,5,0,13.5
9222019,"NJIT @ Towson, Md.",W 3 - 0,3.0,6,0,11,0.545,0,0,0,0,0,1,2,1,8.0
9222019,@ Towson,L 0 - 3,3.0,4,3,11,0.091,0,0,0,0,0,0,6,0,7.0
10042019,@ Albany (NY),L 0 - 3,3.0,5,4,14,0.071,0,0,0,1,0,0,2,0,6.0
10062019,@ UMBC,W 3 - 2,5.0,10,3,23,0.304,0,0,0,0,0,2,6,0,15.0
10112019,Binghamton,W 3 - 0,3.0,6,2,14,0.28600000000000003,0,0,0,0,0,0,5,0,8.5
10182019,Hartford,W 3 - 0,3.0,6,1,16,0.312,0,0,0,1,0,0,3,0,7.5
10202019,Stony Brook,W 3 - 0,3.0,15,1,21,0.667,1,0,0,1,0,0,2,0,16.0
10262019,@ Dartmouth,L 1 - 3,4.0,8,4,22,0.182,0,0,0,2,0,1,4,0,11.0
11012019,UMBC,L 0 - 3,3.0,16,7,32,0.281,0,0,0,0,0,1,2,0,18.0
11032019,Albany (NY),W 3 - 2,5.0,11,4,29,0.241,0,0,0,3,0,0,7,0,14.5
11082019,@ Binghamton,W 3 - 0,3.0,7,4,17,0.17600000000000002,1,0,0,1,0,0,1,0,7.5
11152019,@ Stony Brook,W 3 - 2,5.0,10,0,23,0.435,0,0,0,2,0,0,4,1,12.0
11172019,@ Hartford,L 1 - 3,4.0,3,2,12,0.083,0,0,0,1,0,0,4,0,5.0
11222019,"Hartford @ Albany, N.Y.",L 2 - 3,5.0,12,5,26,0.269,0,0,0,2,0,0,2,1,13.0
12062019,"Tulane @ Hamilton, NY",L 1 - 3,4.0,3,6,10,-0.3,1,0,0,1,0,2,3,0,6.5
8242018,@ Milwaukee,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8242018,"Northwestern @ Milwaukee, Wis.",L 1 - 3,1.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0.5
8252018,"South Dakota @ Milwaukee, Wis.",L 1 - 3,1.0,1,0,1,1.0,0,0,0,0,0,0,1,0,1.5
8312018,@ UConn,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8312018,"Syracuse @ Storrs, Conn.",L 0 - 3,3.0,1,1,5,0.0,0,0,0,0,0,0,1,0,1.5
9012018,"Iona @ Storrs, Conn.",L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9042018,@ Bryant,W 3 - 2,2.0,2,1,3,0.333,0,0,0,1,0,0,2,1,3.0
9072018,@ Rhode Island,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9082018,"Yale @ Kingston, RI",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9082018,"Army West Point @ Kingston, RI",W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9112018,Northeastern,L 1 - 3,2.0,2,0,5,0.4,0,0,0,1,0,1,2,0,4.0
9142018,"Princeton @ Philadelphia, PA",L 1 - 3,3.0,2,2,9,0.0,0,0,0,0,0,1,1,0,3.5
9142018,"Maryland @ Philadelphia, PA",L 0 - 3,2.0,1,2,5,-0.2,0,0,0,0,0,0,0,0,1.0
9152018,@ Temple,L 1 - 3,1.0,2,0,2,1.0,0,0,0,0,0,0,0,0,2.0
9212018,UMass Lowell,W 3 - 0,2.0,5,1,8,0.5,0,0,0,0,0,0,4,0,7.0
9282018,Hartford,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9302018,Stony Brook,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10052018,@ UMBC,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10072018,@ Binghamton,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10142018,Albany (NY),L 2 - 3,5.0,8,3,20,0.25,0,0,0,0,0,0,2,0,9.0
10192018,@ UMass Lowell,W 3 - 0,1.0,3,0,6,0.5,0,0,0,0,0,0,0,0,3.0
10262018,@ Stony Brook,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10282018,@ Hartford,W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11022018,Binghamton,W 3 - 1,1.0,0,1,4,-0.25,0,0,0,0,0,0,1,0,0.5
11042018,UMBC,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11092018,@ Albany (NY),L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11162018,"Albany (NY) @ Stony Brook, N.Y.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
