Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"UTRGV @ Houston, TX",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8302019,@ Houston Baptist,L 1 - 3,1.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
8312019,"Bethune-Cookman @ Houston, TX",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9062019,Toledo,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,Fordham,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,Rider,L 0 - 3,1.0,1,0,4,0.25,0,0,0,0,0,0,0,0,1.0
9132019,@ Temple,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9142019,"Lehigh @ Philadelphia, Pa.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9142019,"Columbia @ Philadelphia, Pa.",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9202019,"Colgate @ Chapel Hill, N.C.",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9212019,"VCU @ Chapel Hill, N.C.",L 0 - 3,3.0,7,5,22,0.091,0,0,0,6,1,0,0,0,7.0
9212019,@ North Carolina,L 0 - 3,1.0,0,0,3,0.0,0,0,0,1,0,0,0,0,0.0
9282019,@ High Point,L 2 - 3,5.0,6,7,35,-0.029,0,1,1,14,0,0,2,0,8.0
10042019,Campbell,L 1 - 3,4.0,7,4,30,0.1,0,0,0,6,3,0,3,0,8.5
10052019,Hampton,W 3 - 0,2.0,8,2,19,0.316,0,0,0,2,1,0,1,0,8.5
10112019,@ Charleston So.,L 2 - 3,3.0,3,3,20,0.0,0,2,0,1,0,0,2,0,6.0
10122019,@ Presbyterian,L 0 - 3,2.0,2,0,7,0.28600000000000003,0,0,0,1,0,0,0,0,2.0
10182019,@ Gardner-Webb,W 3 - 0,3.0,12,3,21,0.429,1,0,0,1,0,1,0,0,13.0
10192019,@ Winthrop,L 1 - 3,4.0,9,3,21,0.28600000000000003,0,0,2,5,1,0,1,0,9.5
10252019,USC Upstate,W 3 - 0,2.0,2,5,13,-0.231,0,1,0,3,1,0,0,0,3.0
10262019,UNC Asheville,W 3 - 0,3.0,5,2,17,0.17600000000000002,0,4,0,3,0,0,1,0,9.5
11012019,High Point,L 1 - 3,2.0,3,5,12,-0.16699999999999998,0,0,0,1,0,0,0,0,3.0
11082019,@ Hampton,L 2 - 3,5.0,9,6,39,0.077,0,1,1,5,0,0,4,0,12.0
11092019,@ Campbell,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11152019,Presbyterian,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11162019,Charleston So.,L 2 - 3,1.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
