Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Northern Ill.,L 1 - 3,4.0,0,2,10,-0.2,1,1,2,4,0,0,0,0,1.0
8302019,"UC Riverside @ DeKalb, IL",L 1 - 3,4.0,5,3,23,0.087,3,1,2,13,1,0,1,0,6.5
8312019,"SIUE @ Dekalb, IL",L 0 - 3,3.0,4,2,20,0.1,1,2,3,8,1,0,1,0,6.5
9062019,Morgan St.,L 0 - 3,3.0,0,1,5,-0.2,1,0,1,4,0,0,0,0,0.0
9072019,Quinnipiac,L 0 - 3,3.0,1,1,6,0.0,1,1,1,9,3,0,0,0,2.0
9072019,NJIT,L 2 - 3,5.0,3,5,15,-0.133,0,0,1,8,1,0,1,0,3.5
9112019,Lafayette,L 1 - 3,4.0,3,1,21,0.095,1,1,2,9,3,0,0,0,4.0
9132019,@ Providence,L 0 - 3,3.0,0,1,2,-0.5,1,0,0,2,2,0,0,0,0.0
9142019,"Brown @ Providence, R.I.",L 0 - 3,3.0,3,4,14,-0.071,0,0,2,2,2,0,1,0,3.5
9142019,"Coppin St. @ Providence, R.I.",L 0 - 3,3.0,0,2,8,-0.25,0,1,1,11,1,0,0,0,1.0
9202019,"Delaware St. @ Lewisburg, PA",L 1 - 3,4.0,3,1,15,0.133,0,1,0,9,1,0,0,0,4.0
9212019,@ Bucknell,L 0 - 3,3.0,2,2,12,0.0,0,3,1,5,1,0,1,0,5.5
9212019,"Hampton @ Lewisburg, PA",L 0 - 3,3.0,3,4,16,-0.062,1,4,3,5,0,0,0,0,7.0
9272019,Bryant,L 0 - 3,3.0,3,2,20,0.05,0,0,1,6,0,0,5,0,5.5
9282019,@ Central Conn. St.,L 0 - 3,3.0,1,2,15,-0.067,0,0,1,7,0,0,0,0,1.0
10012019,@ Manhattan,W 3 - 0,3.0,0,0,2,0.0,1,1,3,7,1,0,0,0,1.0
10042019,@ St. Francis Brooklyn,L 0 - 3,3.0,5,1,15,0.267,0,1,1,10,1,0,0,0,6.0
10052019,LIU,L 0 - 3,3.0,4,2,15,0.133,0,2,2,6,2,0,1,0,6.5
10112019,@ Robert Morris,L 0 - 3,3.0,0,1,1,-1.0,0,0,2,6,1,0,0,0,0.0
10122019,@ Saint Francis (PA),L 1 - 3,4.0,1,2,11,-0.091,1,1,0,10,0,0,0,1,2.0
10182019,Sacred Heart,L 0 - 3,3.0,0,0,3,0.0,1,0,0,4,0,0,0,0,0.0
10192019,Merrimack,W 3 - 1,4.0,1,0,5,0.2,5,1,3,11,0,0,0,0,2.0
10252019,@ Bryant,L 0 - 3,3.0,1,0,3,0.333,1,0,2,5,1,0,1,0,1.5
10262019,Central Conn. St.,L 0 - 3,2.0,1,1,7,0.0,0,1,0,7,0,0,0,0,2.0
11012019,St. Francis Brooklyn,L 0 - 3,1.0,2,2,10,0.0,0,1,0,1,0,0,0,0,3.0
11022019,@ LIU,L 0 - 3,3.0,4,1,21,0.14300000000000002,1,1,1,3,0,0,0,0,5.0
11082019,@ Merrimack,W 3 - 0,3.0,3,2,11,0.091,0,2,0,5,0,0,0,0,5.0
11092019,@ Sacred Heart,L 0 - 3,3.0,0,3,5,-0.6,0,0,0,3,1,0,0,0,0.0
11152019,Robert Morris,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11162019,Saint Francis (PA),W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
8242018,@ Western Ill.,L 0 - 3,3.0,1,3,16,-0.125,0,0,0,5,1,0,0,0,1.0
8242018,"Tennessee Tech @ Macomb, Ill.",L 1 - 3,4.0,2,3,9,-0.111,2,3,1,6,1,0,0,0,5.0
8252018,@ Evansville,L 1 - 3,4.0,9,3,26,0.231,0,1,1,15,2,0,0,0,10.0
8312018,"Brown @ Providence, R.I.",L 1 - 3,4.0,5,5,28,0.0,1,1,0,9,1,0,3,0,7.5
9012018,@ Providence,L 0 - 3,3.0,1,0,7,0.14300000000000002,0,0,2,4,1,0,0,0,1.0
9012018,"UMass Lowell @ Providence, R.I.",L 2 - 3,5.0,12,3,55,0.16399999999999998,1,2,2,21,2,0,3,0,15.5
9072018,@ Denver,L 0 - 3,3.0,1,4,9,-0.333,0,2,0,2,2,0,1,0,3.5
9082018,"Saint Peter's @ Denver, Colo.",W 3 - 0,3.0,4,1,11,0.273,1,1,0,12,3,0,1,0,5.5
