Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Hampton,L 0 - 3,1.0,1,2,6,-0.16699999999999998,0,0,0,0,0,0,1,0,1.5
8312019,Hampton,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9062019,"Fordham @ Radford, Va.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,"Rider @ Radford, Va.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9072019,"Toledo @ Radford, Va.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9112019,American,L 0 - 3,1.0,2,3,6,-0.16699999999999998,0,0,0,2,0,1,0,0,3.0
9132019,"USC Upstate @ Greenville, N.C.",L 2 - 3,2.0,0,1,2,-0.5,0,0,0,0,0,0,1,0,0.5
9132019,"George Washington @ Greenville, N.C.",L 0 - 3,1.0,0,1,3,-0.333,0,0,0,0,0,0,0,0,0.0
9142019,@ East Carolina,L 0 - 3,1.0,0,1,2,-0.5,0,0,0,2,0,0,0,0,0.0
9272019,@ Florida A&M,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9292019,@ Bethune-Cookman,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10042019,@ UMES,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10062019,@ Delaware St.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10112019,Coppin St.,L 0 - 3,1.0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0
10142019,Morgan St.,W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10182019,@ Howard,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10212019,George Washington,L 0 - 3,2.0,1,2,6,-0.16699999999999998,0,0,0,0,0,0,1,0,1.5
10252019,N.C. A&T,L 0 - 3,1.0,0,0,2,0.0,0,0,0,0,0,0,0,0,0.0
10272019,N.C. Central,L 1 - 3,1.0,0,1,1,-1.0,0,0,0,1,0,0,0,0,0.0
11012019,@ Coppin St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11032019,@ Morgan St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11082019,UMES,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11102019,Delaware St.,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11122019,Howard,L 2 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11172019,South Carolina St.,W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0.5
8312018,"UNCW @ Washington, D.C.",L 0 - 3,2.0,2,0,3,0.667,0,0,0,3,1,0,0,0,2.0
8312018,@ Georgetown,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9012018,"George Mason @ Washington, D.C.",L 0 - 3,3.0,2,4,11,-0.182,0,0,0,0,0,0,0,0,2.0
9012018,"Penn @ Washington, D.C.",L 0 - 3,3.0,3,2,7,0.14300000000000002,0,0,0,1,0,0,0,0,3.0
9042018,Hampton,L 1 - 3,4.0,2,4,15,-0.133,0,0,0,0,0,0,5,0,4.5
9072018,"Eastern Mich. @ Williamsburg, Va.",L 0 - 3,3.0,3,2,13,0.077,0,0,0,1,0,0,0,0,3.0
9082018,"Savannah St. @ Williamsburg, Va.",L 0 - 3,3.0,4,3,13,0.077,1,0,0,1,0,0,1,0,4.5
9082018,@ William & Mary,L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
9212018,"N.C. A&T @ Baltimore, Md.",L 1 - 3,3.0,3,2,10,0.1,0,0,0,0,0,0,1,0,3.5
9222018,"South Carolina St. @ Baltimore, Md.",W 3 - 0,3.0,6,2,13,0.308,0,0,0,2,0,0,1,0,6.5
9282018,Coppin St.,L 0 - 3,3.0,5,6,16,-0.062,0,0,0,4,0,0,1,0,5.5
9302018,Morgan St.,L 1 - 3,3.0,2,2,13,0.0,0,0,0,0,0,0,2,0,3.0
10052018,@ UMES,L 0 - 3,3.0,3,1,6,0.333,1,0,0,0,0,0,0,0,3.0
10072018,@ Delaware St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10122018,Howard,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10262018,@ Coppin St.,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10282018,@ Morgan St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10302018,@ Hampton,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11022018,UMES,L 0 - 3,2.0,3,1,6,0.333,0,0,0,0,0,0,0,0,3.0
11042018,Delaware St.,W 3 - 2,5.0,4,3,12,0.083,3,0,0,6,0,0,3,0,5.5
11092018,@ Howard,L 0 - 3,2.0,3,1,5,0.4,0,0,0,1,0,0,0,0,3.0
