Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"South Dakota St. @ Green Bay, Wis.",W 3 - 0,3,45,7,91,0.418,44,8,4,41,4,0,12,0,59.0
08262016,"Eastern Ill. @ Green Bay, Wis.",W 3 - 1,4,49,35,148,0.095,49,6,8,74,2,1,26,1,69.0
08272016,@ Green Bay,L 0 - 3,3,27,17,106,0.094,26,1,5,51,5,0,8,1,32.0
09022016,@ Texas St.,L 1 - 3,4,41,20,148,0.142,38,6,2,64,7,1,6,4,51.0
09022016,"Tulsa @ San Marcos, Texas",L 1 - 3,4,31,22,168,0.054000000000000006,30,0,1,86,6,2,8,3,37.0
09032016,"Kennesaw St. @ San Marcos, Texas",W 3 - 1,4,52,21,161,0.193,46,1,4,77,2,2,12,1,61.0
09062016,ULM,W 3 - 1,4,43,19,159,0.151,40,9,4,86,6,2,16,1,62.0
09092016,@ Texas Tech,L 1 - 3,4,33,27,153,0.039,32,5,6,76,6,1,18,0,48.0
09092016,"Oral Roberts @ Lubbock, Texas",W 3 - 2,5,42,20,161,0.13699999999999998,40,2,6,81,12,0,12,2,50.0
09102016,"UTRGV @ Lubbock, TX",L 0 - 3,3,28,20,110,0.073,25,1,1,39,1,0,20,5,39.0
09152016,UIW,W 3 - 0,3,39,12,98,0.276,36,4,3,45,1,0,8,0,47.0
09162016,North Texas,W 3 - 0,3,42,8,98,0.34700000000000003,39,3,3,59,0,1,16,0,54.0
09172016,Little Rock,W 3 - 0,3,44,10,115,0.29600000000000004,43,4,0,56,3,2,20,2,60.0
09212016,Baylor,L 1 - 3,4,48,22,166,0.157,42,4,7,62,6,0,14,0,59.0
09242016,Sam Houston St.,W 3 - 0,3,44,14,130,0.231,42,5,6,61,3,2,16,0,59.0
09292016,McNeese,W 3 - 0,3,47,15,139,0.23,43,2,7,70,0,2,19,0,60.5
10012016,Nicholls St.,W 3 - 1,4,53,21,183,0.175,49,4,6,87,3,0,20,1,67.0
10062016,@ A&M-Corpus Christi,L 0 - 3,3,41,19,123,0.179,37,1,3,52,3,1,12,1,49.0
10082016,@ UIW,W 3 - 1,4,48,11,128,0.289,45,8,5,66,6,4,16,0,68.0
10132016,@ Abilene Christian,L 2 - 3,5,59,28,195,0.159,54,4,5,83,2,1,22,0,75.0
10202016,Central Ark.,W 3 - 0,3,33,8,113,0.221,33,8,1,61,3,1,20,2,52.0
10222016,Northwestern St.,W 3 - 0,3,35,10,100,0.25,29,6,3,56,6,3,16,1,52.0
10272016,@ Lamar University,W 3 - 0,3,41,13,129,0.217,39,6,3,59,3,1,16,0,56.0
10292016,@ Houston Baptist,W 3 - 0,3,35,20,138,0.109,31,3,2,63,2,2,20,4,50.0
11012016,@ Sam Houston St.,L 1 - 3,4,52,16,157,0.22899999999999998,48,5,2,63,3,2,10,0,64.0
11032016,New Orleans,W 3 - 1,4,51,13,149,0.255,46,8,1,79,3,1,30,1,75.0
11052016,Southeastern La.,W 3 - 0,3,45,13,138,0.23199999999999998,42,5,3,66,0,1,8,0,55.0
11102016,@ Northwestern St.,W 3 - 0,3,38,11,117,0.231,34,4,2,63,2,1,14,3,50.0
11122016,@ Central Ark.,L 0 - 3,3,18,17,87,0.011000000000000001,16,4,5,33,5,0,12,2,28.0
11182016,"Southeastern La. @ Conway, Ark.",W 3 - 0,3,38,9,99,0.293,34,5,4,48,2,2,22,5,56.0
11192016,"Sam Houston St. @ Conway, Ark.",L 0 - 3,3,28,11,102,0.16699999999999998,27,1,1,37,5,1,4,0,32.0
