Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,@ Purdue,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8262016,@ Kentucky,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272016,"Wyoming @ West Lafayette, Ind.",W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9022016,"Northeastern @ Long Beach, Calif.",W 3 - 0,1.0,0.3387533875338753,0.0,0.3387533875338753,0.3387533875338753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3387533875338753
9032016,@ Long Beach St.,W 3 - 0,0.0,0.2379819133745835,0.0,0.2379819133745835,0.2379819133745835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379819133745835
9032016,"UC Irvine @ Long Beach, Calif.",W 3 - 1,0.0,0.17347558331164886,0.0,0.17347558331164886,0.17347558331164886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17347558331164886
9092016,UMES,W 3 - 0,0.0,0.12957354108291086,0.0,0.12957354108291086,0.12957354108291086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12957354108291086
9092016,George Washington,W 3 - 0,0.0,0.09843458252970724,0.0,0.09843458252970724,0.09843458252970724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09843458252970724
9102016,Idaho,W 3 - 0,1.0,0.3067006666544449,0.0,0.537705627680027,0.19119818614165385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3067006666544449
9162016,"Col. of Charleston @ Waco, Texas",W 3 - 0,0.0,0.2379819133745835,0.0,0.41722835331085095,0.1483586934064498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379819133745835
9172016,@ Baylor,L 2 - 3,0.0,0.18591283054166477,0.0,0.32594117362257646,0.11589865900120896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18591283054166477
9172016,"Virginia @ Waco, Texas",W 3 - 0,1.0,0.14598655142437625,0.21475806161931707,0.6854588022121008,-0.016370543159827427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14598655142437625
9212016,@ Washington,W 3 - 1,0.0,0.11509072512627554,0.16930779443258687,0.5403919047409338,-0.01290596746476011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11509072512627554
9232016,@ UCLA,W 3 - 2,0.0,0.09101365955885633,0.13388847751407815,0.4273415150742207,-0.010206029441786738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09101365955885633
9302016,Stanford,W 3 - 2,1.0,0.0721471203101293,0.10613426756125069,0.338756400423991,-0.008090385966176198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721471203101293
10022016,California,W 3 - 0,0.0,0.057299780793641585,0.08429262650833125,0.2690428585825697,-0.006425444846656826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057299780793641585
10072016,@ Oregon St.,W 3 - 1,0.0,0.04557582461144605,0.06704573575276465,0.2139947128223909,-0.005110751617644018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04557582461144605
10092016,@ Oregon,L 0 - 3,0.0,0.03629344317076744,0.053390599536714545,0.17041062920699443,-0.004069850078988746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03629344317076744
10142016,Colorado,L 2 - 3,0.0,0.028928616194125463,0.04255634151614192,0.135830146082674,-0.0032439779920778204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028928616194125463
10162016,Utah,L 2 - 3,1.0,0.023075410083340166,0.03394580043310418,0.31067999841444544,-0.002587615044086594,0.0,0.0,0.0,0.0,0.0,0.0,0.20233273764314755,0.0,0.12424177890491395
10192016,@ Arizona St.,W 3 - 0,0.0,0.018417365185616052,0.027093438462699106,0.24796556013522472,-0.0020652742921844713,0.0,0.0,0.0,0.0,0.0,0.0,0.16148947753130852,0.0,0.09916210395127031
10212016,@ Arizona,W 3 - 0,0.0,0.014706510876599544,0.021634470697651904,0.198003795352815,-0.0016491489708252963,0.0,0.0,0.0,0.0,0.0,0.0,0.1289514940837139,0.0,0.0791822579184565
10282016,@ Stanford,L 0 - 3,0.0,0.01174774321976308,0.017281883417766153,0.15816788658175815,-0.0013173606440681303,0.0,0.0,0.0,0.0,0.0,0.0,0.1030080522165665,0.0,0.06325176932804634
10292016,@ California,L 0 - 3,0.0,0.00938704650074837,0.013809107011308568,0.1263842151205958,-0.0010526383998009066,0.0,0.0,0.0,0.0,0.0,0.0,0.08230869180744031,0.0,0.05054139240446854
11042016,Oregon St.,L 1 - 3,0.0,0.007502517651901258,0.011036812175275402,0.10101151675219272,-0.0008413123526069445,0.0,0.0,0.0,0.0,0.0,0.0,0.06578452691599965,0.0,0.04039478110990109
11062016,Oregon,L 2 - 3,4.0,1.209635237330077,0.20942905349758467,2.0868109238412673,0.09963060786415519,0.0,0.0,0.0,0.0,0.0,0.0,0.25319403200666296,0.200606295324989,1.3362322533334086
11112016,Arizona St.,W 3 - 1,4.0,1.568576055509683,0.367926466026765,3.272315112318436,0.12977737670578535,0.0,0.0,0.0,0.40096948472592536,0.0,0.0,0.6034019764578928,0.16038779389037017,1.87027704373863
11132016,Arizona,W 3 - 2,0.0,1.254252854915102,0.2941985623151351,2.6165837208790004,0.10377159887458137,0.0,0.0,0.0,0.32062016960211387,0.0,0.0,0.48248769893903015,0.12824806784084555,1.4954967043846177
11172016,@ Utah,L 2 - 3,1.0,1.0030135098762474,0.23526765869568086,2.092455928227919,0.08298511357162443,0.0,0.0,0.0,0.2563967547608265,0.0,0.0,0.38584060501716605,0.10255870190433061,1.1959338123848309
11202016,@ Colorado,W 3 - 0,0.0,0.8021621659804451,0.18815580530690978,1.6734460334567414,0.0663675192719594,0.0,0.0,0.0,0.20505384436414775,0.0,0.0,0.30857683610060493,0.0820215377456591,0.9564505840307479
11232016,Southern California,W 3 - 2,0.0,0.6415706906905727,0.15048733920360163,1.338425038042013,0.053080856944540664,0.0,0.0,0.0,0.16400242012993485,0.0,0.0,0.24680028835092546,0.06560096805197393,0.7649708348660357
11262016,Washington,L 0 - 3,0.0,0.5131548110106112,0.12036600678468098,1.070527780358922,0.042456267888949094,0.0,0.0,0.0,0.1311759282776354,0.0,0.0,0.19740109260565458,0.05247037131105416,0.6118553573134387
12012016,"Marquette @ Madison, Wis.",W 3 - 1,0.0,0.41045875745152144,0.09627753754650062,0.8562864327006613,0.03395962892641889,0.0,0.0,0.0,0.10492410355142272,0.0,0.0,0.15789583465254547,0.04196964142056908,0.4894066747777942
