Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,UT Martin,W 3 - 0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
8262016,South Carolina,L 0 - 3,3.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.5,0.0,0.0,0.5,0.0,1.25
8272016,Binghamton,W 3 - 0,2.0,0.0,0.0,1.0,0.0,7.333333333333333,1.0,1.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.1666666666666667
9022016,"Loyola Chicago @ Winston-Salem, N.C.",L 1 - 3,2.0,0.25,0.0,1.0,0.25,7.0,0.75,1.0,1.25,0.0,0.0,0.25,0.0,1.125
9032016,@ Wake Forest,L 0 - 3,3.0,0.2,0.0,0.8,0.2,8.4,0.6,0.8,1.6,0.0,0.0,0.2,0.0,0.9
9032016,"Davidson @ Winston-Salem, N.C.",W 3 - 0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,7.0,0.5,0.6666666666666666,1.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.75
9092016,VCU,W 3 - 1,0.0,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,6.0,0.42857142857142855,0.5714285714285714,1.1428571428571428,0.0,0.0,0.14285714285714285,0.0,0.6428571428571429
9102016,Charleston So.,W 3 - 1,0.0,0.125,0.0,0.5,0.125,5.25,0.375,0.5,1.0,0.0,0.0,0.125,0.0,0.5625
9102016,Eastern Mich.,W 3 - 1,0.0,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,4.666666666666667,0.3333333333333333,0.4444444444444444,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.5
9162016,"Washington St. @ Waco, Texas",L 0 - 3,2.0,0.1,0.0,0.4,0.1,5.0,0.3,0.5,0.8,0.0,0.0,0.1,0.0,0.45
9172016,@ Baylor,L 0 - 3,2.0,0.3,0.1,0.8,0.125,6.3,0.4,0.5,1.2,0.0,0.0,0.1,0.0,0.75
9172016,"Virginia @ Waco, Texas",W 3 - 2,1.0,0.3,0.1,0.6,0.125,5.0,0.3,0.3,1.1,0.0,0.0,0.0,0.0,0.6
9232016,Hofstra,W 3 - 1,1.0,0.3,0.1,0.5,0.125,4.4,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.5
9252016,Northeastern,W 3 - 0,1.0,0.2,0.1,0.4,0.025,4.1,0.2,0.1,1.0,0.0,0.0,0.0,0.0,0.4
9302016,@ Towson,W 3 - 2,1.0,0.2,0.1,0.4,0.025,2.8,0.2,0.1,0.7,0.0,0.0,0.0,0.0,0.4
10022016,@ Delaware,W 3 - 2,3.0,0.3,0.2,0.6,0.025,5.0,0.2,0.1,1.2,0.0,0.0,0.0,0.1,0.5
10072016,@ William & Mary,L 1 - 3,4.0,0.3,0.3,0.7,-0.075,7.0,0.3,0.2,1.6,0.0,0.0,0.0,0.1,0.6
10092016,@ James Madison,W 3 - 1,1.0,0.3,0.3,0.7,-0.075,7.0,0.3,0.2,1.6,0.0,0.0,0.0,0.1,0.6
10132016,UNCW,L 2 - 3,2.0,0.3,0.3,0.8,-0.075,7.6,0.3,0.2,1.6,0.0,0.0,0.0,0.1,0.6
10162016,@ Elon,W 3 - 1,0.0,0.3,0.3,0.8,-0.075,6.8,0.3,0.1,1.6,0.0,0.0,0.0,0.1,0.6
10212016,Delaware,W 3 - 0,0.0,0.1,0.2,0.4,-0.1,5.2,0.1,0.1,1.0,0.0,0.0,0.0,0.1,0.2
10232016,Towson,W 3 - 1,3.0,0.3,0.3,0.9,-0.08,8.4,0.1,0.2,1.9,0.0,0.0,0.1,0.1,0.45
10282016,@ Northeastern,L 1 - 3,3.0,0.3,0.3,0.9,-0.08,9.8,0.2,0.3,2.2,0.0,0.0,0.1,0.1,0.55
10302016,@ Hofstra,L 1 - 3,4.0,0.3,0.4,1.0,-0.18,12.0,0.2,0.5,2.6,0.0,0.0,0.2,0.1,0.6
11032016,James Madison,L 2 - 3,1.0,0.3,0.4,1.0,-0.18,11.9,0.2,0.5,2.6,0.0,0.0,0.2,0.1,0.6
11052016,Elon,W 3 - 0,0.0,0.2,0.3,0.8,-0.18,9.7,0.2,0.5,2.1,0.0,0.0,0.2,0.0,0.5
11062016,William & Mary,W 3 - 0,0.0,0.2,0.2,0.7,-0.08,7.7,0.1,0.4,1.7,0.0,0.0,0.2,0.0,0.4
11132016,@ UNCW,L 1 - 3,2.0,0.2,0.3,0.8,-0.18,8.4,0.1,0.5,1.8,0.0,0.0,0.2,0.0,0.4
11192016,"Delaware @ Wilmington, N.C.",L 2 - 3,2.0,0.2,0.3,0.7,-0.18,7.9,0.1,0.5,1.8,0.0,0.0,0.2,0.0,0.4
