Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,"Holy Cross @ Harrisonburg, Va.",W 3 - 0,3,2.0,0.0,6.0,0.333,34.0,0.0,2.0,12.0,0.0,0.0,2.0,1.0,3.0
8262016,@ James Madison,L 1 - 3,4,2.5,0.5,7.0,0.2915,36.5,0.0,1.5,13.0,0.0,0.0,1.5,0.5,3.25
8272016,"N.C. Central @ Harrisonburg, Va.",W 3 - 0,3,2.0,0.6666666666666666,7.0,0.19433333333333333,35.0,1.0,1.0,11.333333333333334,0.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,3.6666666666666665
9022016,"Mercer @ Nashville, Tenn.",L 0 - 3,3,1.5,0.75,6.25,0.08324999999999999,35.25,0.75,1.0,10.5,0.25,0.0,1.0,0.25,2.75
9022016,"William & Mary @ Nashville, Tenn.",W 3 - 0,3,1.4,0.8,6.2,0.06659999999999999,35.4,0.6,0.8,9.2,0.2,0.0,1.2,0.2,2.6
9032016,@ Belmont,L 0 - 3,3,1.3333333333333333,0.6666666666666666,6.5,0.07633333333333332,33.166666666666664,0.5,0.6666666666666666,8.833333333333334,0.16666666666666666,0.0,1.1666666666666667,0.16666666666666666,2.4166666666666665
9082016,"Georgia @ Atlanta, Ga.",L 0 - 3,3,1.4285714285714286,0.7142857142857143,6.571428571428571,0.08585714285714285,30.857142857142858,0.5714285714285714,0.5714285714285714,8.142857142857142,0.14285714285714285,0.0,1.2857142857142858,0.14285714285714285,2.642857142857143
9082016,@ Georgia Tech,L 0 - 3,3,1.625,0.625,6.625,0.12875,30.5,0.5,0.625,7.75,0.125,0.0,1.125,0.125,2.6875
9092016,"Kennesaw St. @ Atlanta, Ga.",L 1 - 3,4,1.6666666666666667,0.6666666666666666,7.0,0.12555555555555556,31.11111111111111,0.5555555555555556,0.7777777777777778,7.444444444444445,0.1111111111111111,0.0,1.0,0.2222222222222222,2.7222222222222223
9162016,South Carolina St.,W 3 - 0,3,1.7,0.6,6.6,0.17970000000000003,29.9,0.6,0.9,6.8,0.1,0.0,0.9,0.2,2.75
9172016,East Carolina,L 1 - 3,4,2.0,0.6,6.9,0.202,30.7,0.6,0.9,6.2,0.1,0.0,0.7,0.1,2.95
9232016,@ Louisiana,L 0 - 3,3,1.8,0.5,6.4,0.21030000000000001,28.9,0.7,1.1,5.2,0.1,0.0,0.6,0.1,2.8
9242016,@ ULM,L 1 - 3,4,2.0,0.5,6.4,0.23890000000000003,28.9,0.5,1.3,5.2,0.0,0.0,0.5,0.1,2.75
9302016,Troy,W 3 - 2,5,2.1,0.4,6.5,0.28390000000000004,28.9,0.6,1.3,4.9,0.0,0.1,0.5,0.2,3.05
10012016,South Alabama,W 3 - 1,4,2.4,0.6,7.2,0.2916,29.7,0.6,1.4,5.5,0.0,0.1,0.3,0.2,3.25
10072016,Coastal Carolina,L 0 - 3,3,2.5,0.6,7.1,0.30770000000000003,29.4,0.6,1.4,5.1,0.0,0.1,0.2,0.2,3.3
10082016,App State,W 3 - 2,5,2.6,0.5,7.5,0.3207000000000001,32.2,0.7,1.7,5.8,0.0,0.1,0.0,0.2,3.4
10142016,@ South Alabama,L 0 - 3,3,2.6,0.5,7.4,0.3278000000000001,32.0,0.7,1.9,5.9,0.0,0.1,0.0,0.2,3.4
10162016,@ Troy,W 3 - 1,4,2.5,0.6,7.0,0.3011000000000001,32.6,0.8,1.8,6.5,0.0,0.1,0.1,0.1,3.45
10212016,Texas St.,L 2 - 3,5,2.8,0.7,7.5,0.2844000000000001,35.5,0.8,1.7,7.4,0.0,0.1,0.2,0.1,3.8
10222016,UT Arlington,W 3 - 2,5,2.4,0.7,7.1,0.24880000000000013,36.6,0.8,1.6,7.2,0.0,0.1,0.4,0.1,3.5
10282016,Little Rock,L 0 - 3,3,2.3,0.8,7.0,0.16550000000000015,37.4,0.7,1.4,7.3,0.0,0.1,0.5,0.1,3.35
10292016,Arkansas St.,L 0 - 3,3,2.2,0.9,7.1,0.13690000000000013,36.6,0.6,1.2,7.1,0.0,0.1,0.5,0.1,3.15
11042016,@ App State,W 3 - 2,5,2.4,0.9,7.4,0.15440000000000015,36.6,0.5,1.1,7.1,0.0,0.1,0.6,0.0,3.3
11062016,@ Coastal Carolina,L 0 - 3,2,2.0,0.6,6.3,0.14670000000000014,32.8,0.5,1.0,6.4,0.0,0.1,0.6,0.0,2.9
11102016,Ga. Southern,L 1 - 3,4,2.3,0.6,6.4,0.18060000000000015,35.0,0.5,1.1,7.5,0.0,0.1,0.7,0.0,3.25
11122016,@ Ga. Southern,L 1 - 3,4,2.5,0.8,6.4,0.18060000000000015,34.0,0.4,0.8,7.0,0.0,0.1,0.9,0.0,3.45
11182016,"Arkansas St. @ Arlington, Texas",L 0 - 3,3,2.5,0.8,6.4,0.18060000000000015,33.4,0.4,0.6,7.2,0.0,0.1,0.9,0.2,3.45
