Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,"ULM @ Knoxville, Tenn.",W 3 - 0,3,1.0,0.0,4.0,0.25,34.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
8272016,@ Tennessee,L 0 - 3,3,1.0,0.0,2.5,0.625,21.0,0.5,0.0,8.5,0.0,0.0,0.0,0.0,1.5
8272016,"Cincinnati @ Knoxville, Tenn.",L 1 - 3,4,1.3333333333333333,0.3333333333333333,4.0,0.4643333333333333,25.333333333333332,0.6666666666666666,0.0,8.666666666666666,0.0,0.0,0.0,0.0,2.0
9022016,"Nevada @ Moraga, Calif.",L 0 - 3,3,1.25,0.25,3.5,0.47325,25.75,0.75,0.25,7.25,0.0,0.0,0.25,0.0,2.125
9032016,"UC Riverside @ Moraga, Calif.",L 1 - 3,4,2.0,0.4,4.8,0.4586,27.0,0.8,0.2,7.6,0.0,0.0,0.2,0.0,2.9
9032016,@ Saint Mary's (CA),L 1 - 3,4,2.1666666666666665,0.3333333333333333,4.833333333333333,0.4821666666666667,27.666666666666668,0.6666666666666666,0.5,7.166666666666667,0.0,0.0,0.5,0.0,3.0833333333333335
9092016,Illinois St.,L 0 - 3,3,1.8571428571428572,0.42857142857142855,4.571428571428571,0.3657142857142857,26.428571428571427,0.5714285714285714,0.42857142857142855,7.428571428571429,0.0,0.0,0.5714285714285714,0.14285714285714285,2.7142857142857144
9102016,Tennessee Tech,W 3 - 2,5,2.0,0.5,5.0,0.35125,28.375,0.5,0.375,8.25,0.0,0.0,0.625,0.125,2.8125
9102016,Seton Hall,L 0 - 3,3,1.8888888888888888,0.5555555555555556,4.888888888888889,0.31222222222222223,28.444444444444443,0.5555555555555556,0.3333333333333333,7.888888888888889,0.0,0.0,0.7777777777777778,0.1111111111111111,2.8333333333333335
9142016,@ Wake Forest,L 0 - 3,3,1.7,0.5,4.6,0.281,27.2,0.5,0.3,7.7,0.0,0.0,0.9,0.2,2.65
9162016,"Morgan St. @ Richmond, Va.",W 3 - 1,4,1.6,0.5,4.4,0.256,28.3,0.7,0.4,7.5,0.0,0.0,0.9,0.2,2.75
9162016,@ VCU,L 0 - 3,3,1.6,0.6,5.0,0.156,30.5,0.8,0.4,7.7,0.0,0.0,0.9,0.3,2.85
9172016,"Liberty @ Richmond, Va.",L 0 - 3,3,1.6,0.6,4.9,0.1584,30.4,0.7,0.5,7.1,0.0,0.0,0.9,0.3,2.75
9232016,@ UAB,W 3 - 1,4,1.5,0.7,5.1,0.0834,31.1,0.7,0.6,7.7,0.0,0.0,0.9,0.3,2.65
9252016,@ Marshall,L 0 - 3,3,1.1,0.6,4.3,0.09340000000000001,29.9,0.6,0.7,7.4,0.0,0.0,0.9,0.3,2.15
9302016,Rice,L 0 - 3,3,0.8,0.6,3.9,0.033400000000000006,28.9,0.6,0.6,7.3,0.0,0.0,0.7,0.3,1.75
10022016,Western Ky.,L 0 - 3,3,0.8,0.7,3.9,5.551115123125783e-18,29.1,0.7,0.7,7.0,0.0,0.0,0.6,0.2,1.8
10052016,@ Tennessee St.,L 1 - 3,4,0.7,0.6,3.6,0.015000000000000008,29.5,0.8,1.1,6.2,0.0,0.0,0.5,0.2,1.75
10072016,@ Louisiana Tech,L 1 - 3,4,0.6,0.6,4.1,0.0039000000000000076,31.2,0.8,1.2,6.8,0.0,0.0,0.3,0.2,1.55
10092016,@ Fla. Atlantic,L 0 - 3,3,0.6,0.8,4.4,-0.03609999999999999,31.5,0.9,1.2,6.6,0.0,0.0,0.1,0.1,1.55
10142016,UTSA,L 1 - 3,4,0.7,1.0,5.2,-0.046099999999999995,29.3,0.7,1.2,6.0,0.0,0.0,0.2,0.2,1.5
10162016,@ Charlotte,W 3 - 2,5,0.8,1.0,5.4,-0.034999999999999996,31.7,0.5,1.5,7.2,0.0,0.0,0.3,0.2,1.45
10192016,Austin Peay,L 2 - 3,5,1.0,0.9,5.8,-0.011699999999999993,33.1,0.6,1.4,8.0,0.0,0.0,0.4,0.2,1.8
10212016,Southern Miss.,L 0 - 3,3,1.2,0.8,5.7,0.08,32.4,0.6,1.2,7.5,0.0,0.0,0.3,0.2,1.95
10232016,UAB,L 1 - 3,4,1.2,0.9,5.8,0.030000000000000006,34.7,0.6,1.2,8.4,0.0,0.0,0.3,0.2,1.95
10302016,UTEP,L 0 - 3,3,1.2,0.9,5.9,0.030000000000000006,35.3,0.6,1.2,8.6,0.0,0.0,0.3,0.3,1.95
11052016,@ Western Ky.,L 0 - 3,3,1.3,0.9,5.9,0.06340000000000001,35.6,0.5,1.1,8.5,0.0,0.0,0.3,0.3,1.95
11102016,@ FIU,L 2 - 3,5,1.2,0.9,6.0,0.04010000000000001,36.0,0.5,0.8,8.8,0.0,0.0,0.5,0.4,1.95
11122016,North Texas,L 0 - 3,3,1.5,0.8,5.7,0.10120000000000003,34.4,0.4,0.7,8.3,0.0,0.0,0.6,0.4,2.2
