Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,"Xavier @ Champaign, Ill.",L 2 - 3,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0
8272016,@ Illinois,W 3 - 2,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.5,0.0,0.0,0.0,0.0
8272016,"Arkansas @ Champaign, Ill.",W 3 - 0,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,8.666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333
9012016,@ Hawaii,L 0 - 3,3,0.0,0.0,0.0,0.0,0.0,0.5,1.25,7.75,1.0,0.0,0.0,0.0,0.5
9022016,"UCLA @ Honolulu, Hawai'i",L 1 - 3,4,0.0,0.0,0.0,0.0,0.0,0.4,1.0,7.8,1.0,0.0,0.0,0.0,0.4
9032016,"Pacific @ Honolulu, HI",W 3 - 0,3,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.8333333333333334,7.333333333333333,1.0,0.0,0.0,0.0,0.5
9082016,McNeese,W 3 - 0,3,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.7142857142857143,7.285714285714286,0.8571428571428571,0.0,0.0,0.0,0.42857142857142855
9092016,Ohio St.,W 3 - 2,5,0.125,0.0,0.125,0.125,0.125,0.25,0.625,8.125,0.875,0.0,0.0,0.0,0.375
9102016,Western Ill.,W 3 - 0,3,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5555555555555556,7.333333333333333,0.7777777777777778,0.0,0.0,0.0,0.3333333333333333
9102016,IUPUI,W 3 - 1,4,0.1,0.0,0.1,0.1,0.1,0.2,0.5,7.8,0.7,0.0,0.0,0.0,0.3
