Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,Saint Francis (PA) @ Philadelphia,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8262016,Morgan St. @ Philadelphia,W 3 - 1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272016,Quinnipiac @ Philadelphia,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272016,@ La Salle,L 0 - 3,2.0,0.25,0.0,0.25,0.25,1.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.375
9022016,@ Quinnipiac,L 0 - 3,3.0,0.6,0.0,1.0,0.3,3.8,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.9
9032016,@ Fordham,W 3 - 2,5.0,1.5,0.16666666666666666,2.0,0.369,4.666666666666667,0.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,2.1666666666666665
9032016,@ St. Francis Brooklyn,W 3 - 0,3.0,2.0,0.2857142857142857,2.857142857142857,0.38771428571428573,5.285714285714286,0.0,0.0,0.5714285714285714,0.0,0.0,1.2857142857142858,0.0,2.642857142857143
9102016,@ LIU,L 1 - 3,4.0,2.375,0.5,4.0,0.3705,6.875,0.0,0.0,0.5,0.0,0.0,1.375,0.0,3.0625
9112016,"Denver @ Brooklyn, NY",L 0 - 3,3.0,2.5555555555555554,0.5555555555555556,4.666666666666667,0.36266666666666664,8.444444444444445,0.1111111111111111,0.1111111111111111,1.4444444444444444,0.0,0.0,1.3333333333333333,0.0,3.3333333333333335
9112016,@ LIU,L 0 - 3,3.0,2.5,0.6,5.1,0.3375,9.8,0.1,0.2,2.2,0.0,0.0,1.3,0.1,3.25
9132016,Saint Peter's,W 3 - 1,4.0,3.2,0.6,6.1,0.40750000000000003,13.8,0.3,0.3,3.5,0.0,0.0,1.5,0.1,4.25
9162016,@ Lafayette,W 3 - 1,4.0,3.6,0.7,6.8,0.4504,17.8,0.3,0.3,5.1,0.0,0.0,1.7,0.1,4.75
9172016,"Manhattan @ Easton, PA",L 1 - 3,4.0,4.1,1.1,8.2,0.4575,22.1,0.5,0.4,6.0,0.0,0.0,2.0,0.4,5.6
9172016,"St. Francis Brooklyn @ Easton, Pa.",W 3 - 2,5.0,4.7,1.3,9.6,0.39080000000000004,25.6,0.5,0.6,7.6,0.0,0.0,2.1,0.4,6.25
9202016,@ Saint Peter's,W 3 - 0,3.0,5.0,1.5,10.2,0.3708,27.9,0.5,0.7,8.5,0.0,0.0,2.0,0.4,6.5
9242016,@ USC Upstate,L 2 - 3,5.0,5.0,1.5,10.7,0.3411,32.1,0.5,0.8,9.8,0.0,0.2,1.6,0.4,6.5
9272016,@ Iona,L 0 - 3,3.0,4.8,1.4,10.7,0.3286,33.3,0.5,0.9,10.6,0.0,0.2,1.6,0.4,6.3
9302016,@ FGCU,L 0 - 3,3.0,4.6,1.3,10.2,0.3322,33.8,0.7,1.1,11.0,0.0,0.2,1.5,0.4,6.25
10012016,@ Stetson,L 0 - 3,3.0,4.3,1.4,9.8,0.28550000000000003,34.3,0.7,1.2,10.7,0.1,0.2,1.6,0.5,6.0
10072016,Jacksonville,L 1 - 3,4.0,4.5,1.6,10.0,0.28350000000000003,35.2,0.8,1.3,10.8,0.1,0.3,1.5,0.4,6.35
10092016,North Florida,L 0 - 3,1.0,3.8,1.6,9.1,0.21350000000000008,31.3,0.6,1.2,9.5,0.1,0.3,1.3,0.4,5.35
10142016,@ Lipscomb,L 0 - 3,0.0,3.4,1.5,8.4,0.17060000000000006,27.3,0.6,1.2,7.9,0.1,0.3,1.1,0.4,4.85
10152016,@ Kennesaw St.,L 0 - 3,0.0,2.9,1.1,7.0,0.16350000000000006,23.0,0.4,1.1,7.0,0.1,0.3,0.8,0.1,4.0
10192016,@ Fairleigh Dickinson,L 0 - 3,0.0,2.2,0.9,5.5,0.13020000000000007,19.0,0.4,0.9,5.3,0.1,0.3,0.6,0.1,3.2
10222016,USC Upstate,W 3 - 1,0.0,1.7,0.7,4.5,0.10020000000000007,15.3,0.4,0.8,4.3,0.1,0.3,0.5,0.1,2.65
10232016,Marist,L 1 - 3,0.0,1.1,0.6,3.3,0.058500000000000066,10.2,0.4,0.7,2.8,0.1,0.1,0.4,0.1,1.8
10282016,Kennesaw St.,L 1 - 3,0.0,0.8,0.6,2.5,0.021000000000000064,8.1,0.4,0.6,2.0,0.1,0.1,0.3,0.1,1.45
10302016,Lipscomb,L 0 - 3,0.0,0.5,0.5,1.8,-0.00759999999999994,5.8,0.2,0.4,1.6,0.1,0.1,0.2,0.1,0.9
11042016,@ North Florida,L 0 - 3,0.0,0.4,0.3,1.2,0.009100000000000058,3.2,0.1,0.2,1.0,0.0,0.1,0.0,0.0,0.6
11052016,@ Jacksonville,L 0 - 3,0.0,0.0,0.0,0.1,5.828670879282072e-17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
