Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,Montana,W 3 - 0,3,1.0,1.0,6.0,0.0,36.0,2.0,2.0,7.0,0.0,1.0,2.0,0.0,5.0
8262016,UTSA,L 1 - 3,4,1.0,0.5,5.0,0.125,41.0,1.5,2.0,8.5,0.0,0.5,2.0,0.0,4.0
8272016,Little Rock,W 3 - 0,3,0.6666666666666666,0.6666666666666666,4.666666666666667,0.0,40.666666666666664,1.0,2.3333333333333335,7.0,0.0,0.3333333333333333,2.0,0.0,3.0
9022016,@ Arizona,L 0 - 3,3,0.5,0.75,4.0,-0.125,35.75,0.75,2.0,7.5,0.0,0.25,1.5,0.0,2.25
9022016,"Pepperdine @ Tucson, Ariz.",L 1 - 3,4,0.6,0.6,3.4,0.1,32.6,0.8,1.6,7.8,0.2,0.2,1.2,0.0,2.2
9032016,"Alabama St. @ Tucson, Ariz.",W 3 - 0,3,0.8333333333333334,0.6666666666666666,3.6666666666666665,0.11666666666666665,33.333333333333336,0.8333333333333334,1.3333333333333333,7.666666666666667,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.0,2.4166666666666665
9092016,"Delaware @ Raleigh, N.C.",W 3 - 0,3,0.8571428571428571,0.5714285714285714,3.5714285714285716,0.14757142857142855,32.57142857142857,0.8571428571428571,1.1428571428571428,7.714285714285714,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.0,2.5
9102016,@ NC State,L 2 - 3,5,0.875,0.5,3.375,0.191625,33.875,0.75,1.375,8.0,0.125,0.125,1.5,0.0,2.5
9102016,"High Point @ Raleigh, N.C.",W 3 - 0,3,1.0,0.5555555555555556,3.5555555555555554,0.19255555555555554,34.111111111111114,0.7777777777777778,1.3333333333333333,9.222222222222221,0.1111111111111111,0.1111111111111111,1.5555555555555556,0.0,2.6666666666666665
9162016,@ TCU,W 3 - 1,4,1.0,0.5,3.6,0.19829999999999998,35.4,0.8,1.2,9.4,0.1,0.1,1.4,0.0,2.6
9162016,"Sam Houston St. @ Fort Worth, Texas",W 3 - 0,3,1.0,0.4,3.2,0.24829999999999997,35.6,0.6,1.1,9.4,0.1,0.0,1.3,0.1,2.25
9172016,"North Carolina @ Fort Worth, Texas",L 0 - 3,3,0.9,0.4,3.2,0.22329999999999997,34.5,0.7,0.9,8.7,0.1,0.0,1.1,0.1,2.15
9222016,East Carolina,W 3 - 1,4,1.0,0.3,3.2,0.2733,35.3,0.9,0.6,10.1,0.1,0.0,1.1,0.1,2.45
9242016,Cincinnati,W 3 - 2,5,1.2,0.2,3.6,0.3566,38.6,0.9,0.5,10.0,0.1,0.0,1.3,0.1,2.75
9302016,@ Tulane,W 3 - 2,5,1.4,0.2,3.8,0.3566,41.4,1.0,0.6,9.7,0.0,0.0,1.4,0.1,3.1
10022016,@ Houston,W 3 - 0,3,1.5,0.1,3.9,0.38659999999999994,41.4,0.9,0.7,9.6,0.0,0.0,1.3,0.2,3.05
