Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,"Savannah St. @ Athens, Ga.",W 3 - 0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
8272016,@ Georgia,L 1 - 3,4.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,11.0,0.5,0.0,0.0,0.0,0.5
8272016,"UNC Asheville @ Athens, Ga.",W 3 - 1,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,12.666666666666666,1.0,0.0,0.0,0.0,1.0
9022016,Indiana,L 1 - 3,4.0,0.25,0.0,0.25,0.25,2.75,1.0,1.25,12.25,0.75,0.0,0.0,0.0,1.25
9022016,Columbia,W 3 - 0,3.0,0.2,0.0,0.2,0.2,2.6,1.4,1.2,11.8,0.6,0.0,0.0,0.0,1.6
9032016,Campbell,L 2 - 3,5.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,2.6666666666666665,1.3333333333333333,1.3333333333333333,13.166666666666666,0.5,0.0,0.0,0.0,1.5
9032016,Princeton,L 0 - 3,3.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,2.4285714285714284,1.5714285714285714,1.2857142857142858,13.0,0.5714285714285714,0.0,0.0,0.0,1.8571428571428572
9092016,St. John's (NY),L 0 - 3,3.0,0.375,0.0,0.625,0.291625,2.125,1.5,1.125,12.125,0.75,0.0,0.125,0.0,1.9375
9102016,Brown,W 3 - 1,4.0,0.3333333333333333,0.0,0.8888888888888888,0.25922222222222224,2.4444444444444446,1.4444444444444444,1.3333333333333333,12.666666666666666,0.6666666666666666,0.0,0.1111111111111111,0.0,1.8333333333333333
9102016,UC Santa Barbara,L 0 - 3,3.0,0.3,0.0,0.8,0.2333,2.4,1.3,1.3,12.1,0.9,0.0,0.1,0.0,1.65
9162016,"UC Irvine @ Bakersfield, CA",L 0 - 3,3.0,0.3,0.0,0.8,0.2333,2.6,1.4,1.4,12.3,0.9,0.0,0.1,0.0,1.75
9172016,"Northern Ariz. @ Bakersfield, Calif.",L 0 - 3,3.0,0.4,0.0,1.1,0.26660000000000006,2.5,1.5,1.4,10.8,1.1,0.0,0.1,0.0,1.95
9172016,"UC Riverside @ Bakersfield, CA",L 2 - 3,4.0,0.4,0.0,1.1,0.26660000000000006,2.0,1.4,1.2,9.8,1.0,0.0,0.1,0.0,1.85
9222016,@ San Diego,L 0 - 3,3.0,0.3,0.1,1.1,0.06660000000000003,1.9,1.3,0.9,9.6,1.1,0.0,0.1,0.0,1.65
9242016,@ BYU,L 0 - 3,3.0,0.3,0.1,1.1,0.06660000000000003,1.7,1.0,0.8,9.4,1.5,0.0,0.1,0.0,1.35
9272016,Saint Mary's (CA),L 0 - 3,2.0,0.3,0.2,1.2,-0.033399999999999964,1.4,0.9,0.6,7.7,1.5,0.0,0.1,0.0,1.25
9292016,@ Portland,L 0 - 3,0.0,0.2,0.2,1.1,-0.13339999999999996,1.3,0.6,0.5,6.5,1.4,0.0,0.1,0.0,0.85
10012016,@ Gonzaga,L 0 - 3,3.0,0.1,0.2,0.8,-0.16669999999999996,1.4,0.5,0.6,7.3,1.2,0.0,0.0,0.0,0.6
10072016,Santa Clara,L 0 - 3,3.0,0.2,0.2,0.7,-0.11669999999999996,1.4,0.4,0.4,6.6,1.3,0.0,0.0,0.0,0.6
10132016,Pepperdine,L 0 - 3,3.0,0.3,0.2,0.8,-0.016699999999999958,1.4,0.5,0.3,7.1,1.1,0.0,0.0,0.0,0.8
10152016,LMU (CA),L 0 - 3,3.0,0.3,0.2,1.0,-0.016699999999999958,1.3,0.4,0.2,7.3,1.1,0.0,0.0,0.0,0.7
10202016,@ Saint Mary's (CA),L 0 - 3,3.0,0.2,0.2,0.7,-0.04999999999999996,1.3,0.4,0.3,8.1,1.1,0.0,0.0,0.0,0.6
10222016,@ Pacific,L 0 - 3,3.0,0.2,0.2,0.7,-0.04999999999999996,1.5,0.3,0.4,8.7,1.0,0.0,0.0,0.0,0.5
10272016,Gonzaga,L 0 - 3,3.0,0.2,0.1,0.8,0.050000000000000044,1.6,0.3,0.5,9.2,1.0,0.0,0.0,0.0,0.5
10292016,Portland,L 2 - 3,5.0,0.2,0.1,1.0,0.050000000000000044,2.1,0.3,0.6,10.7,0.8,0.0,0.0,0.0,0.5
11042016,@ Santa Clara,L 0 - 3,3.0,0.2,0.0,0.9,0.15000000000000005,2.3,0.3,0.6,11.9,1.0,0.0,0.0,0.0,0.5
11102016,@ LMU (CA),L 0 - 3,2.0,0.2,0.0,0.9,0.15000000000000005,2.3,0.3,0.6,12.2,1.1,0.0,0.0,0.0,0.5
11122016,@ Pepperdine,L 1 - 3,4.0,0.2,0.0,1.0,0.15000000000000005,2.3,0.5,0.7,12.3,1.4,0.0,0.0,0.0,0.7
11172016,BYU,L 1 - 3,4.0,0.1,0.0,0.8,0.10000000000000005,2.0,0.6,0.6,12.9,1.3,0.0,0.0,0.0,0.7
11192016,San Diego,L 0 - 3,3.0,0.0,0.0,0.8,4.4408920985006264e-17,1.9,0.5,0.6,12.5,1.2,0.0,0.0,0.0,0.5
11222016,Pacific,L 0 - 3,3.0,0.0,0.0,0.7,4.4408920985006264e-17,2.1,0.4,0.6,12.8,1.3,0.0,0.0,0.0,0.4
