Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,"FGCU @ Athens, Ohio",W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272016,"Western Ky. @ Athens, Ohio",L 0 - 3,1.0,1.0,0.5,3.5,0.07150000000000001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
8272016,@ Ohio,W 3 - 0,0.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.04766666666666667,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
9022016,@ Washington,L 0 - 3,0.0,0.5,0.25,1.75,0.035750000000000004,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
9032016,"Idaho @ Seattle, WA",W 3 - 0,2.0,0.8,0.4,2.2,0.0786,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,1.0
9042016,@ Seattle U,L 1 - 3,3.0,0.8333333333333334,0.6666666666666666,2.6666666666666665,0.03216666666666667,0.0,0.5,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333
9092016,"Sacred Heart @ Fairfield, Conn.",W 3 - 0,2.0,1.1428571428571428,0.8571428571428571,3.4285714285714284,0.04542857142857143,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,1.5714285714285714
9092016,"James Madison @ Fairfield, Conn.",W 3 - 0,0.0,1.0,0.75,3.0,0.03975,0.0,0.375,0.375,0.375,0.25,0.0,0.0,0.0,1.375
9102016,@ Fairfield,W 3 - 0,3.0,1.4444444444444444,0.6666666666666666,4.0,0.08166666666666667,0.0,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.0,0.1111111111111111,0.0,1.9444444444444444
9132016,Lehigh,W 3 - 0,1.0,1.5,0.9,4.4,0.061,0.0,0.4,0.3,0.8,0.2,0.1,0.2,0.0,2.1
9162016,"Temple @ Philadelphia, Pa.",L 0 - 3,0.0,1.5,0.9,4.4,0.061,0.0,0.4,0.3,0.8,0.2,0.1,0.2,0.0,2.1
9172016,Penn,W 3 - 0,3.0,2.0,1.1,5.6,0.0678,0.0,0.4,0.4,1.0,0.1,0.1,0.4,0.0,2.7
9172016,@ La Salle,W 3 - 1,2.0,2.2,1.2,6.6,0.0778,0.0,0.4,0.4,1.3,0.1,0.1,0.6,0.0,3.0
9202016,Seton Hall,W 3 - 0,0.0,2.2,1.2,6.6,0.0778,0.0,0.4,0.4,1.3,0.1,0.1,0.6,0.0,3.0
9242016,Georgetown,L 0 - 3,1.0,2.2,1.2,6.7,0.0728,0.0,0.3,0.3,1.3,0.1,0.1,0.6,0.0,2.9
9272016,St. John's (NY),W 3 - 1,1.0,2.1,1.1,6.3,-0.007200000000000001,0.0,0.1,0.3,1.2,0.1,0.1,0.6,0.0,2.6
9302016,@ DePaul,L 1 - 3,4.0,2.7,1.1,7.3,0.019200000000000002,0.0,0.1,0.1,1.2,0.1,0.2,0.7,0.0,3.35
10012016,@ Marquette,W 3 - 1,4.0,3.7,1.7,11.9,0.0279,0.0,0.1,0.2,1.5,0.1,0.2,0.9,0.0,4.45
10072016,Creighton,L 1 - 3,4.0,4.3,2.3,14.4,-0.0002999999999999947,0.1,0.0,0.2,1.2,0.1,0.2,0.8,0.0,4.9
10082016,Providence,W 3 - 0,3.0,5.1,2.1,16.1,0.04820000000000001,0.1,0.0,0.2,1.3,0.1,0.1,0.8,0.0,5.6
10142016,@ Butler,L 1 - 3,3.0,5.7,2.8,18.3,0.0437,0.2,0.0,0.2,1.6,0.1,0.2,0.8,0.0,6.3
10152016,@ Xavier,W 3 - 1,4.0,5.9,2.8,19.8,0.040200000000000014,0.2,0.0,0.1,1.4,0.0,0.2,0.7,0.0,6.45
10222016,@ Georgetown,W 3 - 1,4.0,6.4,2.9,20.6,0.05800000000000002,0.2,0.0,0.1,1.2,0.0,0.2,0.5,0.0,6.85
10282016,Marquette,L 0 - 3,3.0,7.4,3.3,24.0,0.07560000000000003,0.3,0.0,0.1,1.6,0.0,0.2,0.5,0.0,7.85
10292016,DePaul,W 3 - 0,3.0,8.4,3.9,26.9,0.07030000000000003,0.3,0.0,0.1,1.6,0.0,0.2,0.5,0.0,8.85
11042016,@ St. John's (NY),W 3 - 2,5.0,9.8,4.3,30.7,0.19340000000000002,0.4,0.0,0.1,1.8,0.0,0.4,0.5,0.0,10.45
11052016,@ Seton Hall,L 2 - 3,5.0,10.4,4.7,33.6,0.1736,0.4,0.0,0.1,2.2,0.0,0.3,0.6,0.0,11.0
11122016,Xavier,L 1 - 3,4.0,10.6,4.3,32.9,0.1905,0.4,0.0,0.2,2.0,0.0,0.3,0.5,0.1,11.15
11132016,Butler,L 0 - 3,3.0,10.2,3.8,30.5,0.2232,0.3,0.0,0.2,2.0,0.0,0.3,0.6,0.1,10.8
11182016,@ Providence,W 3 - 1,4.0,10.4,4.2,31.9,0.2051,0.3,0.0,0.2,2.0,0.0,0.3,0.5,0.1,10.95
11202016,@ Creighton,L 2 - 3,5.0,11.1,4.1,34.1,0.22549999999999998,0.2,0.0,0.2,2.2,0.0,0.2,0.5,0.1,11.55
