Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,App State,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272016,UMBC,W 3 - 0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272016,Siena,W 3 - 0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9012016,Alabama @ Puerto Rico,L 2 - 3,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9022016,"Temple @ San Juan, PR",W 3 - 2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9032016,"Texas A&M @ San Juan, PR",L 0 - 3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9092016,"Ole Miss @ Nashville, Tennessee",L 2 - 3,1.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9092016,"Northwestern @ Nashville, Tennessee",L 0 - 3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9102016,@ Lipscomb,L 0 - 3,3.0,0.1111111111111111,0.5555555555555556,1.3333333333333333,-0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666
9162016,Radford,W 3 - 1,0.0,0.1,0.5,1.2,-0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.15
9162016,Ohio,L 2 - 3,0.0,0.1,0.5,1.2,-0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.15
9232016,Clemson,W 3 - 0,3.0,0.7,0.5,2.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.9
9252016,Georgia Tech,L 1 - 3,4.0,1.4,0.9,4.7,0.0115,0.1,0.0,0.0,0.2,0.0,0.0,0.7,0.0,1.75
9282016,Pittsburgh,L 1 - 3,4.0,1.9,1.4,6.4,0.0115,0.1,0.1,0.2,0.2,0.0,0.0,0.9,0.0,2.45
9302016,Virginia,W 3 - 0,3.0,2.6,1.8,7.9,0.0315,0.1,0.1,0.3,0.3,0.0,0.0,1.2,0.0,3.3
10072016,@ Wake Forest,W 3 - 0,0.0,2.6,1.8,7.9,0.0315,0.1,0.1,0.3,0.3,0.0,0.0,1.2,0.0,3.3
10092016,@ Duke,L 1 - 3,0.0,2.6,1.8,7.8,0.0315,0.1,0.1,0.3,0.3,0.0,0.0,1.2,0.0,3.3
10142016,@ Florida St.,L 2 - 3,2.0,2.6,1.8,7.8,0.0315,0.1,0.1,0.3,0.4,0.0,0.0,1.2,0.0,3.3
10162016,@ Miami (FL),L 0 - 3,3.0,2.5,1.3,7.0,0.08149999999999999,0.1,0.2,0.3,0.3,0.0,0.0,1.1,0.0,3.25
10212016,Louisville,L 1 - 3,3.0,3.0,1.5,8.3,0.1046,0.2,0.2,0.5,0.8,0.0,0.0,1.3,0.0,3.85
10232016,Notre Dame,L 0 - 3,0.0,3.0,1.5,8.3,0.1046,0.2,0.2,0.5,0.8,0.0,0.0,1.3,0.0,3.85
10282016,North Carolina,L 1 - 3,4.0,2.6,1.6,8.3,0.0629,0.2,0.3,0.6,1.3,0.0,0.0,1.0,0.1,3.4
10302016,NC State,L 0 - 3,2.0,2.1,1.4,6.3,0.0514,0.1,0.4,0.8,1.3,0.0,0.0,0.7,0.1,2.85
11042016,@ Georgia Tech,L 0 - 3,0.0,1.6,0.9,4.6,0.0514,0.1,0.3,0.6,1.3,0.0,0.0,0.5,0.1,2.15
11062016,@ Clemson,W 3 - 1,3.0,1.2,0.8,3.8,0.0314,0.1,0.3,0.5,1.5,0.0,0.0,0.2,0.1,1.6
11112016,Duke,L 0 - 3,2.0,1.6,1.0,4.7,0.0536,0.1,0.3,0.6,1.5,0.0,0.0,0.2,0.1,2.0
11132016,Wake Forest,W 3 - 0,3.0,2.3,1.2,6.4,0.083,0.1,0.3,0.6,1.6,0.0,0.1,0.5,0.1,2.95
11182016,@ Boston College,W 3 - 0,3.0,2.9,1.5,7.8,0.1044,0.1,0.4,0.6,1.6,0.0,0.1,0.6,0.1,3.7
11202016,@ Syracuse,W 3 - 1,4.0,3.2,1.8,9.3,0.1044,0.2,0.3,0.7,2.0,0.0,0.2,1.0,0.2,4.2
11232016,@ Pittsburgh,L 0 - 3,2.0,3.0,2.0,8.8,0.0688,0.2,0.3,0.5,1.6,0.0,0.2,1.0,0.2,4.0
11252016,@ Virginia,W 3 - 2,5.0,3.8,2.2,10.7,0.1004,0.3,0.3,0.5,2.0,0.0,0.3,1.2,0.2,5.0
