Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262016,"Cleveland St. @ Notre Dame, Ind.",L 1 - 3,4.0,7.0,3.0,16.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8272016,"Seton Hall @ Notre Dame, Ind.",W 3 - 0,3.0,8.5,2.5,17.5,0.3355,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,9.25
8272016,@ Notre Dame,L 0 - 3,3.0,7.0,2.6666666666666665,16.666666666666668,0.246,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,7.833333333333333
8302016,Purdue Fort Wayne,W 3 - 2,4.0,8.0,3.0,17.25,0.27649999999999997,0.25,0.0,0.0,0.75,0.0,0.25,1.25,0.25,8.875
9022016,"Northern Ariz. @ Carbondale, Ill.",L 1 - 3,3.0,7.2,2.8,16.2,0.2546,0.2,0.0,0.0,0.6,0.0,0.2,1.4,0.2,8.1
9032016,"UCF @ Carbondale, Ill.",L 0 - 3,1.0,6.0,2.5,13.833333333333334,0.12883333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.16666666666666666,1.1666666666666667,0.16666666666666666,6.75
9032016,@ Southern Ill.,L 0 - 3,3.0,6.285714285714286,2.7142857142857144,14.0,0.14857142857142858,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,1.1428571428571428,0.14285714285714285,7.0
9092016,Tennessee,L 1 - 3,0.0,5.5,2.375,12.25,0.13,0.125,0.0,0.0,0.375,0.0,0.125,1.0,0.125,6.125
9092016,Xavier,W 3 - 1,0.0,4.888888888888889,2.111111111111111,10.88888888888889,0.11555555555555556,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,5.444444444444445
9102016,Milwaukee,L 2 - 3,0.0,4.4,1.9,9.8,0.10400000000000001,0.1,0.0,0.0,0.3,0.0,0.1,0.8,0.1,4.9
9132016,@ Oakland,L 0 - 3,1.0,4.0,1.7,8.8,0.1123,0.1,0.0,0.0,0.5,0.0,0.1,0.9,0.1,4.55
9172016,"Bradley @ Terre Haute, Ind.",W 3 - 1,4.0,4.4,1.6,9.0,0.1321,0.1,0.0,0.0,0.4,0.0,0.0,1.0,0.1,4.9
9172016,@ Indiana St.,W 3 - 2,5.0,5.4,1.8,10.1,0.16,0.1,0.0,0.0,0.3,0.0,0.1,1.0,0.0,6.0
9222016,@ Northern Ill.,L 1 - 3,2.0,4.4,1.6,8.6,0.09820000000000001,0.0,0.0,0.0,0.3,0.0,0.1,0.9,0.0,4.95
9242016,Miami (OH),L 0 - 3,3.0,4.9,1.7,8.8,0.1244,0.0,0.0,0.0,0.4,0.0,0.2,0.7,0.0,5.45
9302016,@ Eastern Mich.,L 1 - 3,1.0,4.9,1.7,8.7,0.0744,0.0,0.0,0.0,0.4,0.0,0.2,0.8,0.0,5.5
10022016,@ Central Mich.,L 2 - 3,5.0,4.2,1.6,8.5,0.032299999999999995,0.0,0.0,0.0,0.5,0.0,0.5,1.1,0.0,5.25
10072016,Toledo,W 3 - 0,3.0,4.8,1.7,9.8,0.0708,0.0,0.0,0.0,0.6,0.0,0.5,1.2,0.0,5.9
10082016,Ball St.,L 1 - 3,1.0,5.1,2.0,10.5,0.0708,0.0,0.0,0.0,0.6,0.0,0.5,1.2,0.0,6.2
10142016,Akron,W 3 - 0,0.0,5.1,2.0,10.5,0.0708,0.0,0.0,0.0,0.6,0.0,0.5,1.2,0.0,6.2
10152016,Buffalo,W 3 - 1,0.0,4.8,1.9,9.9,0.03749999999999999,0.0,0.0,0.0,0.4,0.0,0.5,1.1,0.0,5.85
10212016,@ Kent St.,L 2 - 3,0.0,3.4,1.8,7.8,-0.024400000000000005,0.0,0.0,0.0,0.4,0.0,0.5,0.9,0.0,4.35
10222016,@ Ohio,L 0 - 3,0.0,2.0,1.3,5.2,-0.05900000000000001,0.0,0.0,0.0,0.4,0.0,0.4,0.7,0.0,2.75
10272016,Northern Ill.,L 1 - 3,0.0,1.9,1.1,4.8,-0.03400000000000001,0.0,0.0,0.0,0.3,0.0,0.4,0.6,0.0,2.6
10292016,@ Bowling Green,L 0 - 3,0.0,1.0,0.8,3.4,-0.07690000000000001,0.0,0.0,0.0,0.2,0.0,0.3,0.6,0.0,1.6
11042016,Central Mich.,W 3 - 0,0.0,1.0,0.7,3.3,0.02309999999999999,0.0,0.0,0.0,0.2,0.0,0.3,0.5,0.0,1.55
11052016,Eastern Mich.,W 3 - 1,0.0,0.9,0.4,2.0,0.03849999999999999,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.95
11112016,@ Ball St.,L 1 - 3,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
11122016,@ Toledo,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11172016,"Ball St. @ DeKalb, Ill.",W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11182016,"Bowling Green @ DeKalb, Ill.",L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
