Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,Austin Peay,W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08272016,USC Upstate,W 3 - 0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
08272016,Troy,W 3 - 0,2.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
09022016,"Hampton @ Lynchburg, Va.",W 3 - 0,2.0,2,0,2,1.0,0,0,0,2,0,0,0,0,2.0
09032016,"USC Upstate @ Lynchburg, Va.",W 3 - 1,4.0,0,0,0,0.0,1,1,2,13,2,0,0,0,1.0
09032016,@ Liberty,W 3 - 0,3.0,0,0,0,0.0,1,0,0,6,0,0,0,0,0.0
09092016,"North Dakota @ Clemson, S.C.",L 2 - 3,5.0,0,0,0,0.0,0,0,3,10,2,0,0,0,0.0
09092016,@ Clemson,L 2 - 3,5.0,0,0,0,0.0,0,0,1,9,0,0,0,0,0.0
09102016,"Tulane @ Clemson, S.C.",L 0 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09162016,"Presbyterian @ Tuscaloosa, AL",W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09162016,@ Alabama,L 1 - 3,2.0,0,0,0,0.0,1,0,0,1,2,0,0,0,0.0
09172016,"Ga. Southern @ Tuscaloosa, AL",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09232016,@ Furman,L 2 - 3,5.0,0,0,0,0.0,0,0,1,6,0,0,0,0,0.0
09242016,@ Samford,W 3 - 2,5.0,0,0,0,0.0,0,1,1,10,0,0,0,0,1.0
09302016,@ Chattanooga,L 1 - 3,2.0,0,0,0,0.0,0,0,1,5,0,0,0,0,0.0
10072016,Western Caro.,W 3 - 2,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10082016,UNC Greensboro,W 3 - 0,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10122016,Chattanooga,W 3 - 0,2.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0.0
10142016,@ Wofford,W 3 - 0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
10152016,@ Western Caro.,W 3 - 1,1.0,0,0,0,0.0,0,0,1,2,0,0,0,0,0.0
10212016,Mercer,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10222016,The Citadel,W 3 - 0,1.0,0,0,0,0.0,0,0,0,2,0,0,0,0,0.0
10282016,Wofford,W 3 - 0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10292016,@ UNC Greensboro,L 1 - 3,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11042016,Samford,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11082016,Furman,W 3 - 1,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11112016,@ The Citadel,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11122016,@ Mercer,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11192016,"Furman @ Birmingham, Ala.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11202016,@ Samford,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
