Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,@ Green Bay,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08262016,"SFA @ Green Bay, Wis.",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08272016,"South Dakota St. @ Green Bay, Wis.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08302016,Butler,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09022016,@ Memphis,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09022016,"Louisiana Tech @ Memphis, Tenn.",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09032016,"Jackson St. @ Memphis, Tenn.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09062016,@ Western Ill.,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09092016,Drake,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09102016,Louisiana Tech,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09102016,Bowling Green,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09162016,"FIU @ Starkville, Miss.",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09172016,@ Mississippi St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09172016,"Troy @ Starkville, Miss.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09212016,@ SIUE,L 0 - 3,3.0,7,1,9,0.667,0,0,0,0,0,0,2,1,8.0
09232016,Belmont,L 1 - 3,4.0,5,1,15,0.267,0,0,0,1,0,0,4,0,7.0
09272016,@ Indiana St.,L 1 - 3,4.0,5,1,15,0.267,0,0,0,0,0,0,5,0,7.5
09302016,@ Southeast Mo. St.,L 0 - 3,3.0,2,0,15,0.133,0,0,0,1,0,0,7,1,5.5
10012016,@ UT Martin,W 3 - 1,4.0,11,1,20,0.5,1,0,0,2,0,1,5,2,14.5
10072016,Austin Peay,L 0 - 3,3.0,6,1,19,0.263,0,0,0,0,0,1,5,1,9.5
10082016,Murray St.,L 0 - 3,3.0,3,3,15,0.0,0,0,0,0,0,0,5,1,5.5
10142016,Eastern Ky.,L 2 - 3,5.0,11,4,27,0.259,0,0,0,1,0,0,6,0,14.0
10152016,Morehead St.,L 2 - 3,5.0,6,3,30,0.1,0,0,0,1,0,1,4,1,9.0
10212016,@ Jacksonville St.,W 3 - 2,5.0,15,4,27,0.40700000000000003,0,0,0,0,0,2,1,2,17.5
10222016,@ Tennessee Tech,L 2 - 3,5.0,10,5,31,0.161,0,0,0,2,0,0,4,0,12.0
10262016,SIUE,L 0 - 3,3.0,4,3,12,0.083,0,0,0,0,0,0,1,0,4.5
10292016,@ Tennessee St.,L 0 - 3,3.0,5,2,14,0.214,0,0,0,1,0,0,1,0,5.5
11042016,UT Martin,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11052016,Southeast Mo. St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11112016,@ Murray St.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11122016,@ Austin Peay,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
