Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,@ Charlotte,L 1 - 3,4.0,8,8,36,0.0,1,0,1,5,0,0,2,0,9.0
08272016,"Campbell @ Charlotte, N.C.",W 3 - 2,5.0,8,6,26,0.077,0,0,1,8,1,0,2,2,9.0
08302016,@ N.C. A&T,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09022016,Youngstown St.,W 3 - 1,2.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0
09032016,@ UNC Greensboro,W 3 - 2,5.0,0,0,0,0.0,2,0,0,8,1,0,0,0,0.0
09032016,High Point,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09062016,@ Davidson,W 3 - 1,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09092016,Wofford,W 3 - 2,4.0,0,1,1,-1.0,1,0,1,8,0,0,0,0,0.0
09092016,Norfolk St.,W 3 - 0,2.0,1,4,10,-0.3,2,0,1,10,0,0,1,0,1.5
09102016,Delaware St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09102016,Gardner-Webb,W 3 - 1,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09132016,@ N.C. Central,W 3 - 0,2.0,7,0,10,0.7,0,0,1,8,0,0,1,0,7.5
09162016,"Savannah St. @ Charleston, S.C.",W 3 - 0,3.0,11,2,22,0.409,2,0,0,17,0,0,1,1,11.5
09162016,@ The Citadel,W 3 - 0,3.0,10,4,25,0.24,0,0,0,8,0,0,2,0,11.0
09172016,"Charleston So. @ Charleston, S.C.",W 3 - 0,3.0,13,3,31,0.32299999999999995,2,1,1,12,0,0,2,0,15.0
09172016,"Austin Peay @ Charleston, S.C.",L 1 - 3,4.0,14,5,33,0.273,2,0,0,9,0,1,2,0,16.0
09232016,James Madison,L 1 - 3,4.0,12,6,39,0.154,0,0,1,5,0,0,1,1,12.5
09252016,William & Mary,W 3 - 0,3.0,12,6,30,0.2,2,0,2,8,1,0,5,0,14.5
10012016,@ Delaware,W 3 - 2,5.0,25,6,62,0.306,1,1,4,17,2,0,1,0,26.5
10032016,@ Towson,L 2 - 3,5.0,21,2,47,0.40399999999999997,1,0,1,17,2,0,3,1,22.5
10072016,@ Northeastern,L 2 - 3,5.0,18,8,55,0.182,1,0,2,22,0,0,4,0,20.0
10092016,@ Hofstra,L 0 - 3,3.0,10,4,27,0.222,1,0,0,4,1,0,1,2,10.5
10152016,UNCW,L 2 - 3,5.0,19,7,53,0.226,2,1,1,15,1,0,2,1,21.0
10162016,Col. of Charleston,L 1 - 3,4.0,15,9,44,0.136,1,0,2,14,1,0,2,0,16.0
10222016,@ James Madison,L 1 - 3,4.0,10,8,36,0.055999999999999994,1,0,2,8,0,0,1,0,10.5
10242016,@ William & Mary,W 3 - 0,3.0,18,7,39,0.282,0,0,2,10,0,0,2,1,19.0
10282016,Towson,L 1 - 3,4.0,5,7,39,-0.051,4,0,0,17,2,0,1,1,5.5
10302016,Delaware,L 1 - 3,4.0,8,4,38,0.105,1,1,3,8,0,0,0,1,9.0
11012016,N.C. Central,W 3 - 0,3.0,19,5,32,0.43799999999999994,0,1,1,10,1,0,1,0,20.5
11052016,@ Col. of Charleston,L 0 - 3,3.0,6,4,29,0.069,0,1,0,13,1,0,1,1,7.5
11072016,@ UNCW,L 0 - 3,3.0,7,6,29,0.034,2,0,0,9,1,0,1,1,7.5
11112016,Hofstra,L 2 - 3,5.0,14,11,43,0.07,1,1,2,12,2,0,1,0,15.5
11132016,Northeastern,W 3 - 2,5.0,14,10,45,0.08900000000000001,0,0,0,11,2,1,1,0,15.5
