Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"Louisiana @ Houston, Texas",W 3 - 1,4,5,5,17,0.0,0,0,0,2,0,0,4,0,7.0
08272016,@ Houston Baptist,W 3 - 0,3,5,0,12,0.41700000000000004,0,0,0,1,0,0,0,1,5.0
08272016,"Weber St. @ Houston, Texas",L 1 - 3,4,8,1,18,0.389,0,0,0,0,0,0,4,1,10.0
09022016,Idaho St.,L 1 - 3,4,5,1,15,0.267,0,0,0,1,0,0,1,0,5.5
09022016,Texas Southern,W 3 - 1,4,4,2,19,0.105,0,0,0,3,0,0,0,1,4.0
09032016,Lamar University,W 3 - 2,4,9,3,22,0.273,0,0,0,1,0,1,2,0,11.0
09092016,Houston Baptist,L 0 - 3,1,0,1,5,-0.2,0,0,0,0,0,0,0,0,0.0
09092016,San Jose St.,L 2 - 3,2,1,1,8,0.0,0,0,0,0,0,0,0,0,1.0
09102016,ULM,W 3 - 2,4,3,4,11,-0.091,0,0,1,1,0,0,3,0,4.5
09172016,Yale,L 0 - 3,3,5,3,17,0.11800000000000001,0,0,0,0,0,0,1,0,5.5
09172016,@ Rice,L 0 - 3,3,6,2,15,0.267,0,0,2,1,0,1,1,0,7.5
09232016,@ UConn,L 0 - 3,2,2,1,10,0.1,0,0,1,0,0,1,1,0,3.5
09252016,@ Temple,L 1 - 3,4,6,3,21,0.14300000000000002,0,2,2,3,0,0,4,0,10.0
09302016,Tulsa,L 2 - 3,5,9,5,29,0.138,0,0,1,3,1,2,2,1,12.0
10022016,SMU,L 0 - 3,3,1,2,7,-0.14300000000000002,0,0,1,1,0,1,0,0,2.0
10072016,"UCF @ Tampa, Fla.",L 0 - 3,2,0,1,3,-0.33299999999999996,0,0,0,1,0,0,0,0,0.0
10092016,@ South Fla.,L 1 - 3,3,5,1,16,0.25,0,0,2,1,0,0,0,0,5.0
10132016,Cincinnati,L 0 - 3,3,8,1,16,0.43799999999999994,0,0,0,0,0,0,1,0,8.5
10152016,East Carolina,L 0 - 3,3,1,3,12,-0.16699999999999998,0,0,1,1,0,1,2,0,3.0
10192016,Tulane,L 1 - 3,4,6,6,26,0.0,0,0,1,4,0,1,2,0,8.0
10212016,@ Memphis,L 0 - 3,3,3,1,11,0.182,0,1,0,2,0,1,0,0,5.0
10282016,@ SMU,L 0 - 3,3,3,2,12,0.083,0,0,0,3,0,0,1,0,3.5
10302016,@ Tulsa,L 0 - 3,2,3,1,9,0.222,0,0,0,1,0,0,1,0,3.5
11042016,Temple,L 0 - 3,2,4,1,9,0.33299999999999996,0,0,0,0,0,0,0,0,4.0
11062016,UConn,L 1 - 3,2,2,1,7,0.14300000000000002,0,0,0,0,0,0,0,0,2.0
11092016,@ Tulane,L 0 - 3,1,0,0,2,0.0,0,1,1,0,0,0,0,0,1.0
11132016,Memphis,L 2 - 3,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11172016,@ East Carolina,L 1 - 3,3,4,0,9,0.444,0,0,0,0,0,0,0,0,4.0
11192016,@ Cincinnati,L 0 - 3,2,3,3,13,0.0,0,0,0,0,0,0,1,0,3.5
11232016,South Fla.,L 0 - 3,1,1,1,8,0.0,0,0,0,0,0,0,0,0,1.0
11252016,UCF,L 0 - 3,3,8,2,21,0.28600000000000003,1,0,0,3,0,0,0,0,8.0
