Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"Fordham @ New Britain, CT",L 2 - 3,5.0,16,7,36,0.25,0,0,0,1,0,1,2,0,18.0
08272016,"Iona @ New Britain, CT",W 3 - 2,5.0,14,8,39,0.154,0,0,0,2,0,2,1,0,16.5
08272016,@ Central Conn. St.,L 2 - 3,5.0,11,5,30,0.2,0,0,0,1,0,0,3,0,12.5
09022016,Providence,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09032016,Saint Peter's,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09032016,Fairleigh Dickinson,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09092016,"Southern Miss. @ Tuscaloosa, AL",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09092016,"Northwestern St. @ Tuscaloosa, AL",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09102016,@ Alabama,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09132016,@ Villanova,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09162016,"Robert Morris @ Pittsburgh, PA",W 3 - 1,4.0,13,9,39,0.10300000000000001,0,0,0,6,0,0,1,1,13.5
09172016,@ Pittsburgh,L 0 - 3,2.0,3,1,11,0.182,0,0,0,0,0,0,0,0,3.0
09172016,"Western Ky. @ Pittsburgh, PA",L 0 - 3,3.0,4,5,20,-0.05,0,0,0,1,0,0,0,0,4.0
09212016,Lafayette,W 3 - 0,2.0,4,3,15,0.067,0,0,0,0,0,0,1,0,4.5
09232016,@ Navy,W 3 - 1,1.0,1,4,6,-0.5,0,0,0,0,0,0,0,1,1.0
09242016,@ Loyola Maryland,W 3 - 0,1.0,0,0,4,0.0,0,0,0,0,0,0,0,0,0.0
09302016,Bucknell,W 3 - 1,3.0,9,2,20,0.35,0,0,0,0,0,0,0,1,9.0
10012016,@ Colgate,L 0 - 3,2.0,1,1,3,0.0,0,0,0,0,0,0,0,0,1.0
10072016,@ American,L 0 - 3,2.0,4,2,12,0.16699999999999998,0,0,0,0,0,0,0,0,4.0
10112016,George Washington,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10142016,Holy Cross,W 3 - 0,3.0,11,1,20,0.5,1,0,0,0,0,0,0,0,11.0
10152016,Army West Point,L 1 - 3,4.0,11,4,32,0.21899999999999997,0,0,0,3,0,0,0,0,11.0
10182016,@ Lafayette,W 3 - 2,3.0,5,4,20,0.05,0,0,0,2,0,0,1,0,5.5
10212016,Loyola Maryland,W 3 - 0,3.0,9,3,20,0.3,1,0,0,0,0,0,1,0,9.5
10222016,Navy,L 2 - 3,5.0,13,4,43,0.209,1,0,0,4,0,0,0,0,13.0
10282016,@ Bucknell,L 1 - 3,3.0,5,7,24,-0.083,0,0,0,2,0,0,1,0,5.5
10292016,Colgate,L 0 - 3,1.0,4,0,7,0.5710000000000001,0,0,0,0,0,0,0,0,4.0
11052016,American,W 3 - 0,3.0,6,2,16,0.25,0,0,0,0,0,0,0,0,6.0
11112016,@ Army West Point,L 1 - 3,4.0,7,2,17,0.294,0,0,0,1,1,0,4,0,9.0
11122016,@ Holy Cross,L 0 - 3,3.0,6,9,26,-0.115,0,0,0,3,0,0,2,0,7.0
