Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,Seton Hall,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08272016,Western Mich.,W 3 - 0,3.0,6,3,24,0.125,0,2,1,9,0,1,1,0,9.5
08272016,Cleveland St.,W 3 - 0,3.0,10,5,31,0.161,0,0,1,12,0,0,1,0,10.5
09022016,Coastal Carolina,L 0 - 3,3.0,13,2,27,0.40700000000000003,0,0,1,12,0,0,1,1,13.5
09032016,Howard,W 3 - 2,2.0,2,9,20,-0.35,0,0,2,7,1,0,1,0,2.5
09032016,Purdue,L 1 - 3,4.0,13,5,32,0.25,0,0,0,5,1,1,1,0,14.5
09092016,"Stony Brook @ Kingston, RI",W 3 - 0,3.0,6,1,21,0.23800000000000002,2,3,2,5,0,0,1,0,9.5
09102016,"San Diego St. @ Kingston, RI",W 3 - 0,3.0,4,4,20,0.0,0,0,1,11,1,0,1,0,4.5
09102016,@ Rhode Island,W 3 - 1,4.0,10,3,28,0.25,1,2,1,8,0,0,0,0,12.0
09162016,@ Michigan St.,L 0 - 3,3.0,9,7,30,0.067,0,0,2,6,2,0,2,2,10.0
09162016,"UMES @ East Lansing, Mich.",W 3 - 0,3.0,8,2,20,0.3,0,0,1,9,0,0,4,0,10.0
09172016,"DePaul @ East Lansing, Mich.",W 3 - 2,5.0,14,4,44,0.22699999999999998,1,4,2,5,1,0,2,0,19.0
09232016,Louisville,W 3 - 0,3.0,12,3,26,0.34600000000000003,1,1,1,7,0,0,0,0,13.0
09252016,@ Miami (FL),W 3 - 0,3.0,9,1,25,0.32,0,1,2,3,0,0,0,0,10.0
09302016,Duke,W 3 - 1,4.0,18,3,56,0.268,2,1,2,29,0,1,6,1,23.0
10022016,Wake Forest,W 3 - 1,4.0,10,12,44,-0.045,0,1,1,10,0,0,6,0,14.0
10072016,@ Syracuse,W 3 - 0,3.0,12,3,35,0.257,0,1,2,10,0,0,1,1,13.5
10092016,@ Boston College,W 3 - 0,3.0,14,1,31,0.419,0,2,1,11,0,0,2,1,17.0
10142016,North Carolina,L 2 - 3,5.0,10,7,57,0.053,1,1,0,11,4,0,3,1,12.5
10162016,NC State,W 3 - 0,3.0,6,7,33,-0.03,0,3,3,10,0,1,5,0,12.5
10212016,@ Pittsburgh,W 3 - 0,3.0,8,4,16,0.25,0,0,2,4,1,0,2,0,9.0
10232016,@ Virginia Tech,W 3 - 0,3.0,6,3,27,0.111,0,1,0,4,0,0,0,0,7.0
10282016,Miami (FL),L 2 - 3,5.0,12,5,42,0.16699999999999998,0,0,2,9,1,1,3,1,14.5
10302016,Florida St.,L 1 - 3,4.0,12,2,31,0.32299999999999995,0,0,0,3,0,1,2,0,14.0
11042016,@ Wake Forest,W 3 - 0,3.0,9,4,28,0.179,0,0,1,5,1,0,2,0,10.0
11062016,@ Duke,L 1 - 3,4.0,8,8,52,0.0,1,0,0,8,1,0,0,1,8.0
11092016,@ Louisville,L 1 - 3,4.0,12,8,42,0.095,0,0,0,0,0,0,3,1,13.5
11132016,Virginia,L 2 - 3,5.0,14,4,38,0.263,0,0,0,1,0,0,4,1,16.0
11182016,@ Clemson,W 3 - 0,3.0,16,3,26,0.5,0,0,0,1,0,0,0,0,16.0
11202016,@ Georgia Tech,L 0 - 3,3.0,11,2,31,0.29,0,0,0,5,0,0,1,0,11.5
11232016,Boston College,W 3 - 0,3.0,11,6,35,0.14300000000000002,0,0,0,2,0,0,2,0,12.0
11252016,Syracuse,W 3 - 1,4.0,13,10,46,0.065,1,0,0,2,0,1,1,0,14.5
