Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,Rhode Island,W 3 - 2,5,11,7,42,0.095,24,0,2,7,0,0,3,1,12.5
08262016,Lipscomb,L 1 - 3,4,8,2,29,0.207,22,0,0,7,0,0,1,1,8.5
08272016,CSUN,W 3 - 2,5,12,3,37,0.243,30,0,0,14,0,0,5,1,14.5
09022016,"SMU @ Tucson, Ariz.",W 3 - 1,4,12,4,30,0.267,20,1,1,11,0,0,3,0,14.5
09022016,"Alabama St. @ Tucson, Ariz.",W 3 - 0,1,5,1,8,0.5,5,0,0,3,0,0,0,0,5.0
09032016,@ Arizona,L 0 - 3,3,5,6,20,-0.05,10,0,0,3,0,0,1,0,5.5
09092016,"Arizona St. @ Long Beach, Calif.",W 3 - 0,3,8,1,15,0.467,20,0,1,6,0,0,0,0,8.0
09102016,Harvard,W 3 - 2,5,10,2,24,0.33299999999999996,28,0,1,13,0,0,1,0,10.5
09102016,@ Long Beach St.,L 2 - 3,5,10,4,35,0.171,28,1,2,11,0,2,2,0,14.0
09132016,UCLA,L 1 - 3,4,6,7,32,-0.031,18,0,1,14,0,0,3,0,7.5
09162016,@ Hawaii,L 0 - 3,3,7,2,22,0.22699999999999998,18,0,1,7,0,0,0,1,7.0
09172016,@ Hawaii,L 1 - 3,4,4,4,21,0.0,17,1,0,3,0,0,3,0,6.5
09242016,LMU (CA),L 0 - 3,3,1,1,19,0.0,12,0,0,8,0,0,1,0,1.5
09272016,BYU,L 1 - 3,4,14,2,25,0.48,19,0,0,11,0,0,2,0,15.0
09292016,@ Pacific,W 3 - 0,3,5,2,13,0.231,19,1,0,4,0,0,1,0,6.5
10012016,@ Saint Mary's (CA),L 1 - 3,4,9,2,35,0.2,19,0,0,11,0,0,2,0,10.0
10062016,Gonzaga,L 1 - 3,4,10,1,32,0.281,29,0,1,7,0,0,2,0,11.0
10082016,Portland,L 2 - 3,5,9,5,33,0.121,22,0,1,15,0,0,4,0,11.0
10132016,@ San Francisco,W 3 - 0,3,4,2,13,0.154,19,1,0,9,0,0,0,0,5.0
10152016,@ Santa Clara,L 1 - 3,4,4,1,20,0.15,14,0,2,6,3,0,2,0,5.0
10202016,@ BYU,L 0 - 3,3,4,5,16,-0.062,15,0,0,6,0,0,0,0,4.0
10222016,@ San Diego,L 1 - 3,4,4,1,11,0.273,19,0,0,12,0,0,0,0,4.0
10272016,Saint Mary's (CA),W 3 - 0,3,9,0,18,0.5,22,0,0,11,0,0,7,0,12.5
10292016,Pacific,W 3 - 2,5,9,2,30,0.233,29,0,2,8,0,0,2,0,10.0
11032016,@ Portland,L 1 - 3,4,7,3,25,0.16,21,0,1,24,0,1,2,1,9.0
11052016,@ Gonzaga,L 2 - 3,5,14,3,28,0.39299999999999996,25,0,1,18,0,0,2,2,15.0
11102016,Santa Clara,W 3 - 1,4,7,2,20,0.25,20,0,2,17,0,0,1,0,7.5
11122016,San Francisco,W 3 - 1,4,1,3,16,-0.125,25,1,1,9,0,0,3,1,3.5
11192016,@ LMU (CA),L 1 - 3,4,5,3,14,0.14300000000000002,23,1,1,10,0,1,3,0,8.5
11222016,San Diego,W 3 - 1,4,7,3,29,0.138,27,2,0,11,0,0,3,1,10.5
