Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,NJIT @ Philadelphia,L 0 - 3,3.0,2,2,9,0.0,0,0,0,0,0,0,7,0,5.5
08262016,Quinnipiac @ Philadelphia,L 1 - 3,3.0,1,3,11,-0.182,0,0,0,0,0,0,0,0,1.0
08272016,@ La Salle,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08272016,Morgan St. @ Philadelphia,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09022016,@ Duquesne,L 0 - 3,2.0,0,1,5,-0.2,0,0,0,0,0,0,0,0,0.0
09032016,"Coppin St. @ Moon Township, Pa.",W 3 - 0,3.0,8,2,14,0.429,0,0,0,0,0,1,5,0,11.5
09032016,"Buffalo @ Pittsburgh, PA",W 3 - 2,4.0,3,3,13,0.0,1,0,0,0,0,1,3,0,5.5
09092016,"Marshall @ Toledo, OH",L 0 - 3,3.0,3,1,9,0.222,0,0,0,0,0,0,6,0,6.0
09092016,@ Toledo,L 1 - 3,4.0,3,1,7,0.28600000000000003,0,0,0,0,0,2,4,1,7.0
09102016,"Purdue Fort Wayne @ Toledo, Ohio",L 1 - 3,3.0,4,3,10,0.1,0,0,0,0,0,0,3,0,5.5
09162016,Eastern Ky.,L 0 - 3,3.0,5,3,18,0.111,0,0,0,0,0,0,3,1,6.5
09172016,Iona,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09172016,Navy,L 0 - 3,2.0,3,1,10,0.2,0,0,0,1,0,0,0,1,3.0
09242016,Bryant,L 1 - 3,3.0,2,0,4,0.5,0,0,0,0,0,0,4,0,4.0
09252016,Central Conn. St.,L 2 - 3,5.0,7,4,23,0.13,0,0,0,1,0,0,7,0,10.5
10012016,@ Sacred Heart,L 0 - 3,3.0,1,2,4,-0.25,0,0,0,0,0,1,3,0,3.5
10022016,@ Fairleigh Dickinson,L 2 - 3,4.0,3,2,16,0.062,0,0,0,2,0,0,3,1,4.5
10082016,LIU,L 2 - 3,5.0,7,3,20,0.2,1,0,0,0,0,0,4,1,9.0
10092016,St. Francis Brooklyn,L 0 - 3,3.0,2,2,9,0.0,0,0,0,0,0,0,0,1,2.0
10152016,@ Robert Morris,L 0 - 3,3.0,1,1,7,0.0,0,0,0,1,0,0,1,0,1.5
10222016,@ Bryant,L 1 - 3,4.0,5,0,14,0.35700000000000004,1,2,3,2,0,3,4,0,12.0
10232016,@ Central Conn. St.,L 0 - 3,3.0,2,0,6,0.33299999999999996,0,0,1,1,0,1,2,0,4.0
10292016,Sacred Heart,L 0 - 3,3.0,1,1,9,0.0,0,0,0,1,0,0,5,0,3.5
10302016,Fairleigh Dickinson,W 3 - 2,5.0,3,1,15,0.133,0,1,1,3,0,1,2,2,6.0
11042016,Robert Morris,L 2 - 3,4.0,6,3,13,0.231,0,0,1,2,0,0,2,2,7.0
11122016,@ LIU,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11132016,@ St. Francis Brooklyn,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
