Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08262016,"UC Riverside @ Berkeley, Calif.",L 0 - 3,3,2,1,8,0.125,0,0,0,1,0,0,1,0,2.5
08262016,@ California,L 0 - 3,3,2,1,9,0.111,1,0,0,0,0,0,2,0,3.0
08272016,"UC Riverside @ Berkeley, Calif.",L 1 - 3,4,6,1,14,0.35700000000000004,0,0,0,2,0,1,3,0,8.5
09022016,"San Jose St. @ Orem, Utah",W 3 - 2,5,5,1,14,0.28600000000000003,0,0,0,0,0,0,7,0,8.5
09032016,@ Utah Valley,L 0 - 3,3,3,2,8,0.125,0,0,0,0,0,0,3,1,4.5
09032016,"North Texas @ Orem, Utah",W 3 - 0,3,4,0,5,0.8,0,0,0,0,0,0,7,0,7.5
09092016,"UC Davis @ Reno, Nev.",L 2 - 3,5,3,3,8,0.0,0,0,2,1,0,0,7,0,6.5
09102016,"Gonzaga @ Reno, Nev.",L 2 - 3,5,3,3,14,0.0,0,0,0,1,0,0,0,0,3.0
09102016,@ Nevada,L 1 - 3,4,8,2,12,0.5,0,0,4,3,1,0,3,0,9.5
09162016,@ Denver,L 0 - 3,3,6,3,10,0.3,0,0,0,0,0,0,1,1,6.5
09172016,@ Air Force,L 1 - 3,4,7,0,21,0.33299999999999996,0,0,1,0,0,2,2,0,10.0
09172016,"Georgetown @ Denver, Colo.",L 2 - 3,5,5,2,12,0.25,0,0,0,0,0,0,8,0,9.0
09222016,@ North Dakota,L 0 - 3,3,5,3,17,0.11800000000000001,0,0,0,1,0,1,0,0,6.0
09242016,Northern Ariz.,L 0 - 3,3,4,1,12,0.25,1,0,0,2,1,0,2,0,5.0
09292016,Weber St.,L 2 - 3,5,10,2,25,0.32,0,0,0,0,0,0,3,0,11.5
10012016,Idaho St.,L 1 - 3,4,5,2,18,0.16699999999999998,0,0,0,1,0,1,9,0,10.5
10062016,@ Idaho,L 2 - 3,5,7,1,22,0.273,0,0,0,1,0,0,10,2,12.0
10082016,@ Eastern Wash.,L 0 - 3,3,3,2,11,0.091,0,0,0,0,0,0,0,0,3.0
10132016,Sacramento St.,W 3 - 2,5,12,2,25,0.4,0,0,0,0,1,0,5,0,14.5
10152016,Portland St.,L 1 - 3,4,5,2,17,0.17600000000000002,0,0,0,1,0,0,3,0,6.5
10202016,Montana,W 3 - 1,4,7,2,16,0.312,0,0,0,1,0,2,5,0,11.5
10222016,Montana St.,L 0 - 3,3,4,3,11,0.091,0,0,0,0,0,2,4,1,8.0
10272016,@ Portland St.,L 0 - 3,3,5,0,18,0.278,0,0,0,1,0,0,4,0,7.0
10292016,@ Sacramento St.,L 0 - 3,3,6,0,12,0.5,0,0,0,1,0,1,2,0,8.0
11032016,@ Idaho St.,L 1 - 3,4,9,1,15,0.5329999999999999,0,0,0,0,0,0,0,0,9.0
11052016,@ Weber St.,L 0 - 3,3,3,1,9,0.222,0,0,0,0,0,0,2,0,4.0
11102016,Northern Colo.,L 0 - 3,3,2,2,9,0.0,0,0,0,1,0,0,1,2,2.5
11122016,@ Northern Ariz.,L 0 - 3,3,3,2,11,0.091,0,0,0,1,0,2,1,1,5.5
