Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,"Minnesota @ Madison, Wis.",L 0 - 3,3,27.0,26.0,109.0,0.009000000000000001,26.0,3.0,5.0,37.0,5.0,1.0,9.0,4.0,35.5
8262017,@ Wisconsin,L 0 - 3,3,27.0,20.0,99.0,0.0775,26.5,3.5,4.5,31.0,4.0,0.5,9.0,3.0,35.5
9022017,"Auburn @ Bayamon, Puerto Rico",L 1 - 3,4,34.666666666666664,22.333333333333332,117.0,0.10166666666666667,33.666666666666664,4.0,6.333333333333333,45.0,4.0,1.0,11.0,3.6666666666666665,45.166666666666664
9032017,"Florida @ Bayamon, P.R.",L 0 - 3,3,33.0,21.0,113.0,0.1035,32.0,3.5,6.75,42.0,3.75,1.0,13.0,2.75,44.0
9082017,LIU,W 3 - 0,3,35.4,19.6,112.0,0.1402,34.2,3.6,7.0,43.4,3.4,0.8,15.0,2.4,47.3
9102017,LSU,W 3 - 1,4,40.0,19.5,118.66666666666667,0.165,38.666666666666664,3.8333333333333335,7.5,48.0,3.5,0.6666666666666666,16.166666666666668,2.6666666666666665,52.583333333333336
9152017,LMU (CA),L 2 - 3,5,41.42857142857143,19.857142857142858,123.28571428571429,0.16785714285714287,39.857142857142854,3.7142857142857144,6.714285714285714,50.0,4.0,0.5714285714285714,17.0,2.4285714285714284,54.214285714285715
9162017,Coastal Carolina,W 3 - 2,5,43.5,20.25,127.75,0.174375,41.5,3.75,7.375,52.75,4.0,0.5,17.375,2.25,56.4375
9222017,@ NC State,L 2 - 3,5,45.333333333333336,20.666666666666668,130.11111111111111,0.18188888888888888,43.333333333333336,3.888888888888889,8.0,53.111111111111114,3.6666666666666665,0.7777777777777778,17.0,2.0,58.5
9242017,Louisville,W 3 - 2,5,46.3,20.6,132.5,0.1864,44.4,3.9,7.8,54.7,3.6,0.7,17.9,2.2,59.85
9292017,@ Clemson,W 3 - 1,4,48.6,19.7,132.9,0.21470000000000003,46.5,3.9,8.1,54.4,3.9,0.6,19.6,1.9,62.9
10012017,@ Georgia Tech,L 1 - 3,4,50.8,20.6,137.6,0.2192,48.5,4.4,8.0,57.8,4.8,0.7,21.4,1.8,66.6
10062017,Duke,W 3 - 1,4,51.1,19.8,136.6,0.22800000000000004,48.7,4.2,7.5,56.5,4.8,0.6,22.3,1.5,67.05
10082017,Wake Forest,W 3 - 2,5,53.4,20.0,139.9,0.24100000000000002,50.6,4.6,7.4,58.0,5.1,0.5,23.4,1.9,70.2
10132017,Virginia Tech,W 3 - 1,4,54.1,20.1,141.2,0.24290000000000003,50.7,5.0,7.3,57.7,5.4,0.6,22.6,2.0,71.0
10142017,Virginia,W 3 - 0,3,51.8,18.9,134.2,0.25420000000000004,48.3,5.2,6.8,54.2,5.3,0.7,22.2,1.7,68.8
10182017,NC State,W 3 - 1,4,52.9,18.6,132.9,0.2661,49.1,5.6,7.8,53.6,5.1,0.7,22.0,1.7,70.2
10202017,@ Pittsburgh,L 0 - 3,3,49.8,17.6,125.1,0.26139999999999997,46.3,5.3,7.4,48.3,5.4,0.8,21.4,1.9,66.6
10272017,@ Florida St.,L 0 - 3,3,47.3,17.1,121.8,0.251,43.9,5.0,6.5,47.0,5.9,0.6,21.8,2.1,63.8
10292017,@ Miami (FL),L 0 - 3,3,44.7,16.5,115.5,0.2448,41.3,5.1,6.3,42.9,6.4,0.7,19.8,1.8,60.4
11032017,Boston College,W 3 - 0,3,43.6,15.8,115.3,0.24170000000000003,39.9,4.9,5.6,45.2,5.6,0.7,18.6,1.8,58.5
11052017,Syracuse,W 3 - 0,3,42.8,15.0,113.5,0.24460000000000007,39.1,4.0,5.6,44.8,4.6,0.8,17.7,1.9,56.45
11092017,Georgia Tech,W 3 - 2,5,43.7,15.4,116.5,0.24330000000000007,39.7,3.9,5.5,46.0,4.5,0.7,17.9,1.7,57.25
11112017,Clemson,W 3 - 0,3,42.3,14.5,112.8,0.2472000000000001,38.5,3.7,5.5,45.1,4.3,0.7,17.2,1.3,55.3
11172017,@ Notre Dame,L 0 - 3,3,39.6,15.0,110.6,0.2217000000000001,36.6,3.0,5.1,44.8,4.4,0.6,16.8,1.3,51.6
11192017,@ Louisville,L 2 - 3,5,40.6,16.9,119.2,0.1958000000000001,37.5,2.7,5.3,47.8,4.6,0.6,17.6,1.4,52.7
11222017,@ Wake Forest,L 1 - 3,4,38.9,17.8,120.2,0.1762000000000001,36.3,2.6,4.6,48.2,4.9,0.9,19.3,1.9,52.05
11242017,@ Duke,L 0 - 3,3,39.4,18.6,123.5,0.16850000000000012,36.7,2.5,3.8,51.2,4.2,0.8,20.4,1.6,52.9
