Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,"North Dakota @ Oxford, MS",L 0 - 3,3,34,21,113,0.115,34,1,12,56,6,0,8,1,39.0,0.0
08252017,"Florida A&M @ Oxford, MS",W 3 - 1,4,63,26,186,0.19899999999999998,59,3,5,101,7,2,20,3,78.0,0.0
08262017,@ Ole Miss,L 0 - 3,3,35,14,121,0.174,33,1,8,58,5,3,8,2,43.0,0.0
08262017,"Louisiana Tech @ Oxford, MS",W 3 - 0,3,43,19,120,0.2,41,3,4,59,3,2,14,0,55.0,0.0
09012017,Sam Houston St.,W 3 - 0,3,40,10,116,0.259,39,0,7,55,4,1,14,0,48.0,0.0
09022017,ULM,W 3 - 0,3,40,17,111,0.207,39,10,3,55,4,2,8,3,56.0,0.0
09022017,Murray St.,L 1 - 3,4,42,17,152,0.16399999999999998,40,4,6,68,7,1,9,3,51.5,0.0
09052017,@ Middle Tenn.,W 3 - 1,4,40,23,112,0.152,38,9,8,47,11,0,10,2,54.0,0.0
09082017,SIUE,W 3 - 1,4,56,22,170,0.2,53,7,9,82,5,0,10,3,68.0,0.0
09092017,Jackson St.,W 3 - 0,3,43,13,115,0.261,36,5,9,53,2,1,8,0,53.0,0.0
09092017,Georgia St.,L 2 - 3,5,69,26,189,0.228,66,6,7,84,6,2,12,3,83.0,0.0
09142017,@ Missouri St.,L 0 - 3,3,32,18,107,0.131,32,2,7,41,5,0,8,2,38.0,0.0
09152017,"Illinois @ Springfield, Mo.",L 1 - 3,4,40,27,133,0.098,39,1,6,43,8,0,12,1,47.0,0.0
09162017,"Washington St. @ Springfield, Mo.",L 0 - 3,3,41,22,132,0.14400000000000002,40,6,8,57,4,1,6,0,51.0,0.0
09222017,Western Caro.,L 2 - 3,5,69,32,202,0.183,65,5,9,87,3,0,18,3,83.0,0.0
09232017,UNC Greensboro,W 3 - 0,3,42,21,126,0.16699999999999998,41,7,6,61,2,0,8,4,53.0,0.0
09292017,@ The Citadel,W 3 - 0,3,41,25,127,0.126,40,4,7,59,2,2,10,0,52.0,0.0
09302017,@ Furman,L 0 - 3,3,37,20,113,0.15,36,2,7,42,2,1,8,2,44.0,0.0
10062017,Samford,W 3 - 1,4,58,24,166,0.205,56,5,8,73,6,0,12,1,69.0,0.0
10072017,Mercer,W 3 - 0,3,48,9,122,0.32,43,6,7,60,4,6,2,1,61.0,0.0
10112017,ETSU,L 2 - 3,5,55,34,184,0.114,52,6,6,77,2,0,10,3,66.0,0.0
10142017,@ Wofford,L 2 - 3,5,45,33,165,0.073,44,7,12,52,5,3,16,3,63.0,0.0
10202017,@ Western Caro.,W 3 - 0,3,42,19,120,0.192,41,8,7,66,4,2,6,1,55.0,0.0
10212017,@ UNC Greensboro,L 2 - 3,5,61,25,187,0.193,59,5,13,82,4,1,26,1,80.0,0.0
10272017,Furman,L 1 - 3,4,50,29,165,0.127,49,3,6,71,5,2,8,1,59.0,0.0
10282017,The Citadel,W 3 - 2,5,70,21,183,0.268,68,3,14,77,3,3,16,2,84.0,0.0
11032017,@ Mercer,L 2 - 3,5,68,21,177,0.266,61,6,12,76,5,1,16,1,83.0,0.0
11042017,@ Samford,L 2 - 3,5,50,23,143,0.18899999999999997,48,8,7,65,9,1,12,0,65.0,0.0
11082017,@ ETSU,L 0 - 3,3,26,25,103,0.01,26,1,7,34,3,0,10,0,32.0,0.0
11102017,Wofford,L 1 - 3,4,48,25,144,0.16,48,5,11,57,5,1,8,2,58.0,0.0
11172017,"UNC Greensboro @ Cullowhee, N.C.",L 1 - 3,4,41,32,185,0.049,36,1,6,85,4,3,16,2,53.0,0.0
