Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,"New Mexico St. @ Notre Dame, Ind.",L 0 - 3,3,21,15,84,0.071,20,0,3,27,9,0,14,3,28.0,0.0
08262017,"Valparaiso @ Notre Dame, Ind.",L 0 - 3,3,29,27,124,0.016,25,7,6,63,6,0,17,0,44.5,0.0
08262017,@ Notre Dame,L 0 - 3,3,30,20,124,0.081,29,0,7,63,6,0,8,2,34.0,0.0
09012017,"Clemson @ New Haven, Conn.",W 3 - 1,4,55,19,138,0.261,51,7,13,48,6,2,14,0,71.0,0.0
09022017,"Delaware @ New Haven, Conn.",W 3 - 0,3,34,13,90,0.233,33,3,8,47,5,0,14,0,44.0,0.0
09022017,@ Yale,L 1 - 3,4,48,36,162,0.07400000000000001,46,4,6,61,6,1,22,1,64.0,0.0
09082017,Northeastern,L 1 - 3,4,48,26,146,0.151,44,4,12,58,4,0,20,2,62.0,0.0
09082017,Marist,W 3 - 2,5,64,26,165,0.23,60,7,13,69,6,0,16,4,79.0,0.0
09092017,Columbia,L 1 - 3,4,40,19,120,0.175,38,3,9,44,7,3,18,5,55.0,0.0
09152017,"Dartmouth @ Durham, NH",W 3 - 2,5,65,31,164,0.207,61,4,8,55,3,1,32,0,86.0,0.0
09162017,"Siena @ Durham, NH",W 3 - 0,3,39,14,90,0.278,37,6,11,38,3,1,12,0,52.0,0.0
09162017,@ New Hampshire,L 2 - 3,5,46,31,149,0.10099999999999999,42,12,14,60,2,3,18,1,70.0,0.0
09222017,@ VCU,L 0 - 3,3,27,21,97,0.062,23,2,10,44,8,2,8,0,35.0,0.0
09242017,@ Davidson,W 3 - 2,5,58,27,181,0.171,56,9,11,77,5,1,22,0,79.0,0.0
09292017,George Washington,W 3 - 1,4,39,22,144,0.11800000000000001,36,6,7,53,6,0,14,5,52.0,0.0
09302017,George Mason,W 3 - 0,3,37,11,100,0.26,33,12,6,41,2,1,14,2,57.0,0.0
10062017,Saint Louis,L 1 - 3,4,39,20,119,0.16,36,9,8,49,7,1,18,3,58.0,0.0
10072017,Dayton,L 0 - 3,3,27,21,105,0.057,25,2,5,41,2,1,12,1,36.0,0.0
10132017,@ Duquesne,W 3 - 2,5,49,26,192,0.12,46,8,8,82,2,1,12,6,64.0,0.0
10152017,@ La Salle,L 2 - 3,5,65,20,188,0.239,62,4,14,95,3,1,20,1,80.0,0.0
10202017,Davidson,L 1 - 3,4,50,25,135,0.185,45,5,20,56,7,2,18,0,66.0,0.0
10222017,VCU,L 0 - 3,3,30,21,112,0.08,25,4,5,40,5,0,14,3,41.0,0.0
10272017,@ Fordham,W 3 - 0,3,38,8,103,0.29100000000000004,36,5,8,53,3,1,16,2,52.0,0.0
11032017,@ Dayton,L 0 - 3,3,22,16,73,0.08199999999999999,20,3,2,18,7,0,4,1,27.0,0.0
11052017,@ Saint Louis,L 1 - 3,4,33,13,114,0.175,29,8,8,37,7,0,10,2,46.0,0.0
11102017,Fordham,W 3 - 2,5,59,24,157,0.223,55,13,7,67,9,1,20,5,83.0,0.0
11172017,@ Duquesne,W 3 - 1,4,61,25,178,0.20199999999999999,54,6,7,79,4,1,16,1,76.0,0.0
11182017,"VCU @ Pittsburgh, Pa.",L 0 - 3,3,27,20,99,0.071,26,2,4,29,3,1,8,3,34.0,0.0
