Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,"N.C. Central @ Buies Creek, N.C.",W 3 - 0,3,41,9,88,0.364,37,5,9,49,4,1,8,2,51.0,0.0
08262017,"The Citadel @ Buies Creek, N.C.",W 3 - 2,5,60,25,160,0.21899999999999997,54,7,10,68,4,2,12,2,75.0,0.0
08262017,@ Campbell,L 0 - 3,3,35,17,126,0.14300000000000002,35,2,7,65,7,1,8,2,42.0,0.0
09012017,"La Salle @ Akron, Ohio",L 0 - 3,3,25,20,90,0.055999999999999994,22,1,6,28,9,2,0,1,28.0,0.0
09022017,"Loyola Maryland @ Akron, Ohio",L 1 - 3,4,57,29,131,0.214,51,7,11,43,4,5,0,0,69.0,0.0
09022017,@ Akron,L 0 - 3,3,38,13,104,0.24,32,4,9,31,5,2,2,2,45.0,0.0
09082017,West Virginia @ Wright State,L 0 - 3,3,25,21,82,0.049,24,3,5,25,3,0,4,1,30.0,0.0
09082017,@ Wright St.,L 1 - 3,4,51,21,150,0.2,48,2,5,70,8,3,12,1,62.0,0.0
09092017,Harvard @ Wright State,L 0 - 3,3,39,16,108,0.213,36,2,7,40,5,0,10,1,46.0,0.0
09152017,@ Toledo,L 0 - 3,3,34,22,111,0.10800000000000001,32,6,4,63,3,1,8,1,45.0,0.0
09152017,"Youngstown St. @ Toledo, Ohio",L 0 - 3,3,28,26,123,0.016,25,2,4,57,5,0,4,1,32.0,0.0
09162017,"New Mexico @ Toledo, Ohio",L 1 - 3,4,45,25,159,0.126,41,4,8,67,6,3,6,3,55.0,0.0
09212017,Jacksonville St.,L 0 - 3,3,37,12,120,0.20800000000000002,35,2,5,51,3,0,8,1,43.0,0.0
09222017,@ UT Martin,L 1 - 3,4,51,22,161,0.18,45,7,6,71,6,1,4,10,61.0,0.0
09292017,@ Eastern Ky.,L 2 - 3,5,53,35,179,0.10099999999999999,52,2,8,78,8,3,22,0,69.0,0.0
09302017,@ Morehead St.,W 3 - 1,4,47,24,161,0.14300000000000002,44,5,4,69,4,1,10,0,58.0,0.0
10062017,Belmont,L 1 - 3,4,31,26,139,0.036000000000000004,29,6,1,60,10,0,12,2,43.0,0.0
10072017,Tennessee St.,L 0 - 3,3,28,24,113,0.035,24,4,7,46,4,3,10,1,40.0,0.0
10132017,Austin Peay,L 0 - 3,3,32,21,114,0.096,26,2,5,54,3,1,14,4,42.0,0.0
10142017,Murray St.,L 0 - 3,3,34,19,140,0.107,30,1,8,80,4,0,2,0,36.0,0.0
10202017,@ Eastern Ill.,L 0 - 3,3,30,10,119,0.168,29,2,4,65,6,1,4,2,35.0,0.0
10212017,@ SIUE,L 0 - 3,3,34,14,99,0.20199999999999999,33,1,8,38,6,0,2,0,36.0,0.0
10252017,@ Jacksonville St.,L 0 - 3,3,39,19,123,0.163,36,0,6,53,1,1,6,0,43.0,0.0
10272017,Southeast Mo. St.,L 0 - 3,3,33,23,124,0.081,27,4,4,61,1,0,2,0,38.0,0.0
11032017,Morehead St.,L 0 - 3,3,33,17,116,0.138,30,3,5,49,3,1,6,0,40.0,0.0
11042017,Eastern Ky.,L 0 - 3,3,36,11,125,0.2,34,3,8,57,3,2,6,2,44.0,0.0
11102017,@ Tennessee St.,W 3 - 2,5,60,18,182,0.231,51,5,9,77,8,5,6,0,73.0,0.0
11112017,@ Belmont,L 1 - 3,4,35,20,126,0.11900000000000001,33,4,4,44,6,2,6,2,44.0,0.0
