Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,UTRGV,W 3 - 0,3,11.0,0.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,13.5
8252017,Saint Louis,W 3 - 0,3,6.5,0.0,13.5,0.41800000000000004,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,9.5
8262017,Ohio St.,W 3 - 1,4,5.666666666666667,1.3333333333333333,13.333333333333334,0.2786666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,4.0,0.0,8.333333333333334
8312017,@ Boise St.,W 3 - 0,3,6.25,1.5,14.0,0.30275,0.0,0.0,0.0,0.5,0.0,0.5,3.75,0.25,8.625
9012017,"Missouri @ Boise, Idaho",W 3 - 1,4,5.8,1.4,13.6,0.2922,0.0,0.0,0.0,0.4,0.0,0.4,3.4,0.4,7.9
9022017,"Sacramento St. @ Boise, Idaho",W 3 - 0,3,5.333333333333333,1.3333333333333333,12.0,0.32683333333333336,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,3.6666666666666665,0.5,7.5
9072017,@ Hawaii,W 3 - 2,5,5.285714285714286,1.4285714285714286,12.0,0.3158571428571429,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,3.7142857142857144,0.42857142857142855,7.428571428571429
9082017,"Nevada @ Honolulu, HI",W 3 - 0,3,5.0,1.5,11.5,0.29200000000000004,0.0,0.0,0.0,0.25,0.0,0.25,3.75,0.5,7.125
9092017,"Baylor @ Honolulu, HI",L 2 - 3,5,4.777777777777778,1.6666666666666667,11.777777777777779,0.2595555555555556,0.0,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,3.6666666666666665,0.4444444444444444,6.944444444444445
9142017,@ Utah,W 3 - 2,5,4.7,1.5,11.3,0.29070000000000007,0.0,0.0,0.0,0.2,0.0,0.4,3.7,0.4,6.95
9152017,Weber St.,W 3 - 0,3,4.3,1.8,10.7,0.2643000000000001,0.0,0.0,0.0,0.2,0.0,0.2,4.0,0.4,6.5
9162017,@ Utah Valley,W 3 - 1,4,4.5,2.0,11.5,0.24900000000000005,0.0,0.0,0.0,0.2,0.0,0.2,3.9,0.5,6.65
9212017,@ Santa Clara,W 3 - 0,3,4.1,1.6,10.8,0.24900000000000005,0.0,0.0,0.0,0.0,0.0,0.2,3.7,0.5,6.15
9232017,@ San Francisco,W 3 - 0,3,3.3,1.6,10.1,0.18930000000000008,0.0,0.0,0.0,0.0,0.0,0.2,3.9,0.4,5.45
9262017,Pepperdine,W 3 - 1,4,3.1,1.5,9.5,0.19760000000000008,0.1,0.0,0.0,0.0,0.0,0.2,4.6,0.3,5.6
9302017,@ San Diego,W 3 - 1,4,3.2,1.6,10.2,0.1658000000000001,0.1,0.0,0.0,0.0,0.0,0.3,4.7,0.3,5.85
10052017,@ Saint Mary's (CA),W 3 - 2,5,3.6,1.6,10.6,0.1846000000000001,0.1,0.0,0.0,0.2,0.0,0.4,4.8,0.5,6.4
10072017,@ Pacific,W 3 - 0,3,3.5,1.4,10.5,0.2007000000000001,0.1,0.0,0.0,0.2,0.0,0.5,5.1,0.5,6.55
10122017,Portland,W 3 - 0,3,3.8,1.2,10.2,0.2462000000000001,0.1,0.0,0.0,0.2,0.0,0.4,5.2,0.5,6.8
10142017,Gonzaga,W 3 - 0,3,4.1,1.4,10.8,0.2276000000000001,0.1,0.0,0.0,0.2,0.0,0.4,5.2,0.6,7.1
10192017,@ Pepperdine,W 3 - 0,3,3.8,1.2,10.3,0.23230000000000012,0.1,0.0,0.0,0.3,0.0,0.4,5.0,0.6,6.7
10212017,@ LMU (CA),W 3 - 2,5,4.2,1.1,10.6,0.25790000000000013,0.1,0.0,0.0,0.3,0.0,0.5,4.5,0.5,6.95
10272017,San Diego,L 1 - 3,4,4.9,1.2,11.7,0.2932000000000001,0.1,0.0,0.0,0.4,0.0,0.5,4.9,0.5,7.85
11022017,Pacific,W 3 - 0,3,5.4,1.1,11.7,0.3598000000000001,0.1,0.0,0.0,0.4,0.0,0.5,4.8,0.5,8.3
11042017,Saint Mary's (CA),W 3 - 1,4,6.2,1.4,13.5,0.35570000000000007,0.0,0.0,0.0,0.4,0.0,0.5,4.8,0.5,9.1
11092017,@ Gonzaga,W 3 - 0,3,6.1,1.3,13.2,0.3625000000000001,0.0,0.0,0.0,0.4,0.0,0.4,4.4,0.4,8.7
11112017,@ Portland,W 3 - 0,3,5.5,1.1,12.2,0.3687000000000001,0.1,0.0,0.0,0.3,0.0,0.3,4.4,0.2,8.0
11162017,San Francisco,W 3 - 0,3,5.7,1.1,12.3,0.3901000000000001,0.2,0.0,0.0,0.3,0.0,0.2,3.9,0.1,7.85
11182017,Santa Clara,W 3 - 0,3,5.3,1.1,12.2,0.35460000000000014,0.2,0.0,0.0,0.4,0.0,0.2,4.0,0.1,7.5
11212017,LMU (CA),W 3 - 0,3,4.9,1.0,11.7,0.3411000000000001,0.2,0.0,0.0,0.4,0.0,0.1,4.0,0.1,7.0
12012017,"American @ Provo, Utah",W 3 - 0,3,5.0,0.9,11.4,0.3911000000000001,0.2,0.0,0.0,0.6,0.0,0.1,4.1,0.1,7.15
12022017,Oregon,W 3 - 0,3,4.5,0.9,10.4,0.3772000000000001,0.3,0.0,0.0,0.6,0.0,0.1,4.1,0.2,6.65
12082017,@ Kentucky,L 2 - 3,5,4.2,1.1,10.5,0.34750000000000014,0.3,0.0,0.0,0.6,0.0,0.1,4.2,0.2,6.4
