Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,@ Arkansas,L 1 - 3,4.0,7.0,4.0,26.0,0.115,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,9.0
8262017,"ULM @ Fayetteville, AK",W 3 - 0,3.0,5.0,3.5,19.0,0.0575,0.5,0.0,0.0,2.0,0.0,0.0,2.5,0.0,6.25
8262017,"Utah St. @ Fayetteville, AK",L 1 - 3,4.0,7.333333333333333,4.333333333333333,23.0,0.103,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,0.0,3.3333333333333335,0.0,9.0
9012017,"Valparaiso @ Brookings, S.D.",W 3 - 1,2.0,5.5,3.75,18.5,-0.022750000000000006,0.5,0.0,0.0,1.5,0.0,0.0,2.75,0.25,6.875
9012017,@ South Dakota St.,W 3 - 2,2.0,4.4,3.2,15.8,-0.05820000000000001,0.4,0.0,0.0,1.4,0.0,0.0,2.2,0.6,5.5
9022017,"Northern Ariz. @ Brookings, SD",W 3 - 1,0.0,3.6666666666666665,2.6666666666666665,13.166666666666666,-0.04850000000000001,0.3333333333333333,0.0,0.0,1.1666666666666667,0.0,0.0,1.8333333333333333,0.5,4.583333333333333
9052017,@ Fresno St.,L 0 - 3,0.0,3.142857142857143,2.2857142857142856,11.285714285714286,-0.04157142857142858,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,1.5714285714285714,0.42857142857142855,3.9285714285714284
9082017,"Arizona St. @ Flagstaff, AZ",L 0 - 3,2.0,3.0,2.0,10.375,0.026124999999999995,0.25,0.0,0.125,1.0,0.125,0.0,1.375,0.5,3.6875
9082017,"Utah St. @ Flagstaff, AZ",L 0 - 3,1.0,2.7777777777777777,2.0,9.555555555555555,-0.013777777777777785,0.3333333333333333,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,1.2222222222222223,0.4444444444444444,3.388888888888889
9092017,@ Northern Ariz.,L 1 - 3,1.0,2.5,1.9,8.7,-0.11240000000000001,0.3,0.0,0.1,0.8,0.1,0.0,1.1,0.4,3.05
