Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8262017,@ UNCW,L 0 - 3,3.0,3.0,5.0,15.0,-0.133,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0
8262017,"Davidson @ Wilmington, N.C.",L 0 - 3,3.0,3.5,4.0,15.0,-0.033,1.0,0.0,0.0,2.5,1.0,0.0,0.5,0.0,3.75
8272017,"App State @ Wilmington, N.C.",L 1 - 3,4.0,3.3333333333333335,3.6666666666666665,14.0,-0.022000000000000002,1.0,0.6666666666666666,0.3333333333333333,5.0,2.0,0.0,0.3333333333333333,0.0,4.166666666666667
9012017,@ Akron,W 3 - 1,0.0,2.5,2.75,10.5,-0.0165,0.75,0.5,0.25,3.75,1.5,0.0,0.25,0.0,3.125
9022017,"Tennessee Tech @ Akron, Ohio",W 3 - 1,0.0,2.0,2.2,8.4,-0.0132,0.6,0.4,0.2,3.0,1.2,0.0,0.2,0.0,2.5
9022017,"La Salle @ Akron, Ohio",L 2 - 3,0.0,1.6666666666666667,1.8333333333333333,7.0,-0.011000000000000001,0.5,0.3333333333333333,0.16666666666666666,2.5,1.0,0.0,0.16666666666666666,0.0,2.0833333333333335
9082017,Morgan St.,W 3 - 1,0.0,1.4285714285714286,1.5714285714285714,6.0,-0.009428571428571429,0.42857142857142855,0.2857142857142857,0.14285714285714285,2.142857142857143,0.8571428571428571,0.0,0.14285714285714285,0.0,1.7857142857142858
9082017,Presbyterian,W 3 - 1,0.0,1.25,1.375,5.25,-0.00825,0.375,0.25,0.125,1.875,0.75,0.0,0.125,0.0,1.5625
9092017,UMBC,L 1 - 3,0.0,1.1111111111111112,1.2222222222222223,4.666666666666667,-0.007333333333333334,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.6666666666666667,0.6666666666666666,0.0,0.1111111111111111,0.0,1.3888888888888888
9122017,Coppin St.,W 3 - 0,0.0,1.0,1.1,4.2,-0.0066,0.3,0.2,0.1,1.5,0.6,0.0,0.1,0.0,1.25
9152017,"Hampton @ Fairfax, Va.",W 3 - 1,0.0,0.7,0.6,2.7,0.0067,0.1,0.2,0.1,1.1,0.6,0.0,0.1,0.0,0.95
9162017,@ George Mason,L 2 - 3,0.0,0.3,0.3,1.2,0.0,0.1,0.2,0.1,1.0,0.4,0.0,0.0,0.0,0.5
9162017,"Charlotte @ Fairfax, Va.",L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9222017,@ American,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9232017,@ Navy,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9292017,@ Army West Point,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9302017,@ Colgate,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10072017,@ Lehigh,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10082017,Bucknell,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10102017,@ Lafayette,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10132017,Holy Cross,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10172017,American,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10212017,Navy,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10282017,Army West Point,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10292017,Colgate,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11032017,Lehigh,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11042017,@ Bucknell,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11072017,Lafayette,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11112017,@ Holy Cross,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
