Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,"UCLA @ Honolulu, HI",L 0 - 3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8262017,@ Hawaii,W 3 - 0,3,0.0,0.0,0.0,0.0,0.5,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0
8272017,"Marquette @ Honolulu, HI",W 3 - 0,3,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,5.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
9012017,Georgia Tech,W 3 - 0,2,0.0,0.0,0.0,0.0,0.25,0.0,1.25,4.25,0.25,0.0,0.0,0.0,0.0
9022017,Texas,L 1 - 3,4,0.0,0.0,0.0,0.0,0.4,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0
9022017,Villanova,W 3 - 0,2,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.1666666666666667,5.0,0.16666666666666666,0.0,0.0,0.0,0.0
9082017,@ Utah,L 2 - 3,5,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,1.0,5.571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0
9092017,"Missouri @ Salt Lake City, Utah",W 3 - 0,3,0.0,0.0,0.0,0.0,0.5,0.0,1.0,6.125,0.125,0.0,0.0,0.0,0.0
9092017,"Green Bay @ Salt Lake City, Utah",W 3 - 0,3,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.8888888888888888,6.333333333333333,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111
9122017,San Diego St.,W 3 - 0,3,0.0,0.0,0.0,0.0,0.7,0.1,1.0,6.4,0.1,0.0,0.0,0.0,0.1
9212017,@ San Francisco,W 3 - 1,4,0.0,0.0,0.0,0.0,0.9,0.2,1.2,7.0,0.1,0.0,0.0,0.0,0.2
9232017,@ Santa Clara,W 3 - 0,3,0.0,0.0,0.0,0.0,1.1,0.3,0.8,6.5,0.0,0.0,0.0,0.0,0.3
9262017,LMU (CA),W 3 - 0,3,0.0,0.0,0.0,0.0,1.4,0.3,0.9,6.3,0.1,0.0,0.0,0.0,0.3
9302017,BYU,L 1 - 3,4,0.0,0.0,0.0,0.0,1.5,0.4,1.1,6.7,0.1,0.0,0.0,0.0,0.4
10052017,@ Pacific,W 3 - 2,4,0.0,0.0,0.0,0.0,1.6,0.4,1.1,6.2,0.2,0.0,0.0,0.0,0.4
10072017,@ Saint Mary's (CA),W 3 - 0,3,0.0,0.0,0.0,0.0,1.7,0.4,0.9,5.9,0.2,0.0,0.0,0.0,0.4
10122017,Gonzaga,W 3 - 0,3,0.0,0.0,0.0,0.0,1.6,0.4,0.9,5.3,0.2,0.0,0.0,0.0,0.4
10142017,Portland,W 3 - 0,3,0.0,0.0,0.0,0.0,1.6,0.4,0.8,4.6,0.3,0.0,0.0,0.0,0.4
10192017,@ LMU (CA),W 3 - 0,3,0.0,0.0,0.0,0.0,1.7,0.3,0.8,4.3,0.5,0.0,0.0,0.0,0.3
10212017,@ Pepperdine,W 3 - 2,5,0.0,0.0,0.0,0.0,1.9,0.3,0.6,4.6,0.5,0.0,0.0,0.0,0.3
10272017,@ BYU,W 3 - 1,4,0.0,0.0,0.0,0.0,1.8,0.2,0.4,4.6,0.5,0.0,0.0,0.0,0.2
11022017,Saint Mary's (CA),W 3 - 0,3,0.0,0.0,0.0,0.0,1.5,0.1,0.4,4.7,0.6,0.0,0.0,0.0,0.1
11042017,Pacific,W 3 - 0,3,0.0,0.0,0.0,0.0,1.3,0.1,0.2,4.3,0.5,0.0,0.0,0.0,0.1
11092017,@ Portland,W 3 - 0,3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,4.0,0.6,0.0,0.0,0.0,0.0
11112017,@ Gonzaga,W 3 - 0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.1,0.6,0.0,0.0,0.0,0.0
11162017,Santa Clara,W 3 - 0,3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,4.0,0.6,0.0,0.0,0.0,0.0
11182017,San Francisco,W 3 - 0,3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,4.1,0.7,0.0,0.0,0.0,0.0
11212017,Pepperdine,W 3 - 1,4,0.0,0.0,0.0,0.0,1.3,0.0,0.0,4.5,0.7,0.0,0.0,0.0,0.0
12012017,"LSU @ Los Angeles, Calif.",W 3 - 1,4,0.0,0.0,0.0,0.0,1.3,0.0,0.0,4.6,0.6,0.0,0.0,0.0,0.0
12022017,@ Southern California,L 2 - 3,2,0.0,0.0,0.0,0.0,0.9,0.0,0.0,3.8,0.6,0.0,0.0,0.0,0.0
