Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,Southern U.,W 3 - 0,1.0,4.0,3.0,11.0,0.091,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
8262017,Houston,W 3 - 2,0.0,2.0,1.5,5.5,0.0455,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,2.5
8262017,McNeese,W 3 - 0,0.0,1.3333333333333333,1.0,3.6666666666666665,0.030333333333333334,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.6666666666666667
9012017,@ Belmont,L 2 - 3,4.0,3.0,1.5,7.0,0.09625,0.0,0.25,0.5,2.5,0.25,0.0,0.0,0.25,3.25
9012017,"Middle Tenn. @ Nashville, Tenn.",W 3 - 0,0.0,2.4,1.2,5.6,0.077,0.0,0.2,0.4,2.0,0.2,0.0,0.0,0.2,2.6
9022017,"Idaho St. @ Nashville, Tenn.",W 3 - 0,2.0,2.0,1.0,4.666666666666667,0.06416666666666666,0.16666666666666666,0.16666666666666666,0.5,2.5,0.16666666666666666,0.0,0.0,0.16666666666666666,2.1666666666666665
9082017,"Northern Colo. @ Albuquerque, N.M.",L 1 - 3,4.0,2.0,1.2857142857142858,5.714285714285714,0.04314285714285714,0.2857142857142857,0.42857142857142855,1.1428571428571428,3.2857142857142856,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,2.5714285714285716
9082017,@ New Mexico,L 0 - 3,3.0,2.125,2.25,7.125,-0.006374999999999999,0.25,0.375,1.25,3.5,0.25,0.0,0.25,0.375,2.625
9092017,"Portland @ Albuquerque, N.M.",L 0 - 3,3.0,1.8888888888888888,2.0,6.555555555555555,-0.005666666666666665,0.2222222222222222,0.5555555555555556,1.1111111111111112,4.333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.4444444444444444,2.5555555555555554
9142017,UC Davis,L 1 - 3,0.0,1.7,1.8,5.9,-0.005099999999999999,0.2,0.5,1.0,3.9,0.3,0.0,0.2,0.4,2.3
9152017,Houston Baptist,L 2 - 3,0.0,1.3,1.5,4.8,-0.014199999999999999,0.2,0.4,0.9,3.7,0.3,0.0,0.2,0.4,1.8
9162017,Lamar University,W 3 - 0,0.0,1.3,1.5,4.8,-0.014199999999999999,0.2,0.4,0.9,3.7,0.3,0.0,0.2,0.4,1.8
9162017,Arizona St.,L 0 - 3,0.0,1.3,1.5,4.8,-0.014199999999999999,0.2,0.4,0.9,3.7,0.3,0.0,0.2,0.4,1.8
9222017,Troy,W 3 - 1,0.0,0.5,1.2,3.1,-0.04359999999999999,0.2,0.4,0.8,2.9,0.2,0.0,0.2,0.3,1.0
9232017,South Alabama,L 1 - 3,0.0,0.5,1.2,3.1,-0.04359999999999999,0.2,0.4,0.8,2.9,0.2,0.0,0.2,0.3,1.0
9292017,@ Coastal Carolina,L 0 - 3,0.0,0.5,1.2,3.1,-0.04359999999999999,0.1,0.4,0.7,2.4,0.2,0.0,0.2,0.3,1.0
10012017,@ App State,W 3 - 0,0.0,0.3,0.9,1.9,-0.03529999999999999,0.0,0.2,0.2,1.6,0.1,0.0,0.0,0.3,0.5
10062017,@ Arkansas St.,L 0 - 3,0.0,0.0,0.0,0.2,5.551115123125783e-18,0.0,0.2,0.0,1.1,0.1,0.0,0.0,0.1,0.2
10072017,@ Little Rock,L 2 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10132017,@ Texas St.,L 0 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10202017,Georgia St.,W 3 - 1,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10212017,Ga. Southern,W 3 - 1,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10262017,@ Louisiana,L 0 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10282017,@ ULM,W 3 - 0,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11032017,Little Rock,W 3 - 1,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11042017,Arkansas St.,L 1 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11062017,Texas St.,L 2 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11102017,ULM,W 3 - 2,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11122017,Louisiana,L 1 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11162017,"App State @ Jonesboro, Ark.",L 2 - 3,0.0,0.0,0.0,0.0,5.551115123125783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
