Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,@ Notre Dame,L 1 - 3,4,6.0,4.0,44.0,0.045,1.0,0.0,0.0,18.0,2.0,0.0,2.0,0.0,7.0
8262017,"New Mexico St. @ Notre Dame, Ind.",L 1 - 3,4,5.5,3.5,35.0,0.061,0.5,0.0,0.0,17.0,1.5,0.5,1.5,0.5,6.75
8262017,"Rhode Island @ Notre Dame, Ind.",W 3 - 0,3,6.0,3.0,35.0,0.08833333333333333,0.6666666666666666,0.3333333333333333,0.0,19.0,2.0,0.6666666666666666,2.0,0.3333333333333333,8.0
9012017,"CSU Bakersfield @ Brookings, S.D.",L 1 - 3,4,6.5,3.75,34.25,0.08175,1.0,0.25,0.25,17.25,1.75,0.5,1.5,0.25,8.0
9012017,"Northern Ariz. @ Brookings, S.D.",L 0 - 3,3,6.8,3.2,34.4,0.10540000000000001,0.8,0.4,0.4,15.8,2.0,0.4,1.2,0.2,8.2
9022017,@ South Dakota St.,W 3 - 0,3,6.333333333333333,3.5,33.333333333333336,0.08183333333333333,1.1666666666666667,0.6666666666666666,0.3333333333333333,14.333333333333334,1.6666666666666667,0.3333333333333333,1.0,0.16666666666666666,7.833333333333333
9082017,"St. John's (NY) @ Ithaca, N.Y.",L 0 - 3,3,6.0,3.5714285714285716,31.857142857142858,0.07014285714285715,1.0,0.5714285714285714,0.2857142857142857,14.142857142857142,1.4285714285714286,0.2857142857142857,0.8571428571428571,0.14285714285714285,7.285714285714286
9092017,@ Cornell,W 3 - 1,4,6.0,3.375,32.25,0.075625,1.125,0.5,0.25,14.5,1.375,0.25,1.125,0.125,7.3125
9092017,"Binghamton @ Ithaca, N.Y.",W 3 - 1,4,6.666666666666667,3.4444444444444446,32.111111111111114,0.09588888888888888,1.2222222222222223,0.5555555555555556,0.2222222222222222,14.444444444444445,1.5555555555555556,0.2222222222222222,1.1111111111111112,0.1111111111111111,8.0
9132017,Eastern Ill.,W 3 - 1,4,6.8,3.4,32.0,0.1024,1.2,0.5,0.2,15.9,1.4,0.2,1.1,0.1,8.05
9152017,@ Western Ill.,W 3 - 0,3,6.8,3.7,30.3,0.09419999999999999,1.2,0.8,0.2,15.5,1.3,0.2,1.0,0.1,8.3
9152017,"McNeese @ Macomb, Ill.",W 3 - 1,4,7.7,3.7,32.9,0.10769999999999999,1.3,0.9,0.2,15.9,1.2,0.1,1.0,0.0,9.2
9222017,UNI,L 1 - 3,4,7.8,3.8,34.1,0.10400000000000001,1.4,0.8,0.2,14.8,0.9,0.0,0.9,0.1,9.05
9232017,Drake,L 0 - 3,3,7.7,3.5,33.4,0.11379999999999998,1.2,0.8,0.1,15.7,0.8,0.0,0.9,0.2,8.95
9252017,@ Southern Ill.,L 1 - 3,4,8.1,3.6,33.8,0.11939999999999999,1.4,0.7,0.0,16.5,0.9,0.0,1.2,0.2,9.4
10012017,@ Loyola Chicago,W 3 - 1,4,8.9,3.5,34.3,0.1472,1.1,0.7,0.1,17.2,1.0,0.0,1.4,0.2,10.3
10062017,@ Bradley,W 3 - 0,3,9.3,3.2,33.7,0.18839999999999998,1.1,0.7,0.1,17.7,1.1,0.0,1.5,0.2,10.75
10072017,@ Illinois St.,L 2 - 3,5,9.5,3.4,34.3,0.1868,0.9,0.7,0.2,17.5,1.0,0.0,1.3,0.3,10.85
10132017,Indiana St.,L 0 - 3,3,8.5,3.4,33.6,0.1527,1.0,0.7,0.2,17.1,0.7,0.0,1.3,0.3,9.85
10142017,Evansville,W 3 - 0,3,8.8,3.3,33.9,0.16309999999999997,1.1,0.8,0.2,15.9,0.7,0.0,1.2,0.3,10.2
10172017,Purdue Fort Wayne,W 3 - 0,3,9.0,3.1,34.9,0.17489999999999997,1.0,0.6,0.2,15.3,0.6,0.0,1.1,0.3,10.15
10202017,@ Drake,W 3 - 0,3,8.3,3.1,32.9,0.16619999999999996,0.9,0.5,0.2,14.7,0.6,0.0,1.2,0.4,9.4
10212017,@ UNI,L 2 - 3,5,8.8,3.0,33.3,0.17719999999999997,0.8,0.5,0.2,15.5,0.6,0.0,1.2,0.3,9.9
