Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,Duquesne,W 3 - 0,3,6,2,11,0.364,0,0,0,0,0,1,2,0,8.0
08252017,UIC,L 2 - 3,5,7,2,16,0.312,1,0,0,1,0,1,4,0,10.0
08262017,Xavier,L 0 - 3,3,5,3,18,0.111,0,0,0,2,0,0,2,2,6.0
09012017,Notre Dame,L 0 - 3,2,1,2,7,-0.14300000000000002,0,0,1,0,0,0,3,1,2.5
09022017,Southeastern La.,W 3 - 0,3,10,2,12,0.667,0,0,0,1,0,0,2,0,11.0
09082017,"Sacramento St. @ Highland Heights, Ky",L 2 - 3,5,10,2,18,0.444,0,0,0,0,0,1,2,0,12.0
09092017,@ Northern Ky.,W 3 - 2,5,14,7,30,0.233,0,0,0,3,0,0,4,0,16.0
09092017,"Seattle U @ Highland Heights, Ky",L 2 - 3,5,12,3,29,0.31,0,0,0,0,0,0,5,0,14.5
09152017,@ VCU,L 0 - 3,3,3,1,10,0.2,0,0,0,0,0,0,0,0,3.0
09162017,"Seton Hall @ Richmond, Va.",W 3 - 2,5,5,4,20,0.05,0,0,0,3,0,0,8,1,9.0
09162017,Northwestern,L 0 - 3,3,2,3,12,-0.083,0,0,0,0,0,1,1,1,3.5
09212017,@ Miami (OH),L 1 - 3,4,7,4,24,0.125,0,0,2,3,0,1,5,1,10.5
09232017,Northern Ill.,W 3 - 2,5,8,4,20,0.2,0,0,0,1,0,0,8,0,12.0
09292017,@ Kent St.,W 3 - 1,4,7,4,18,0.16699999999999998,0,0,0,3,0,1,10,1,13.0
09302017,@ Ohio,W 3 - 1,4,7,1,21,0.28600000000000003,0,0,0,0,0,0,4,0,9.0
10062017,Buffalo,W 3 - 1,4,7,3,15,0.267,0,0,0,3,0,0,2,0,8.0
10072017,Akron,W 3 - 0,3,4,3,18,0.055999999999999994,0,0,0,0,0,0,5,1,6.5
10132017,Eastern Mich.,W 3 - 1,4,7,3,13,0.308,0,0,0,4,0,1,7,1,11.5
10142017,Central Mich.,W 3 - 0,3,3,2,8,0.125,0,0,0,0,0,1,9,1,8.5
10202017,@ Ball St.,L 1 - 3,4,6,2,17,0.235,0,0,0,0,0,0,4,0,8.0
10212017,@ Toledo,W 3 - 1,4,6,1,23,0.217,0,0,0,0,0,1,8,1,11.0
10262017,Miami (OH),W 3 - 1,4,5,0,9,0.556,0,0,0,0,0,0,3,0,6.5
10282017,@ Western Mich.,W 3 - 1,4,8,0,17,0.47100000000000003,0,0,0,1,1,0,4,0,10.0
11032017,Ohio,L 2 - 3,5,8,2,19,0.316,0,0,0,3,0,0,0,0,8.0
11042017,Kent St.,W 3 - 2,5,3,5,15,-0.133,0,0,0,2,0,1,8,0,8.0
11102017,@ Akron,W 3 - 0,3,8,1,15,0.467,0,0,0,1,1,2,0,0,10.0
11112017,@ Buffalo,W 3 - 1,4,3,5,14,-0.14300000000000002,0,0,0,1,0,2,2,0,6.0
11182017,"Western Mich. @ Oxford, Ohio",L 1 - 3,4,6,1,19,0.263,0,0,0,3,0,1,1,0,7.5
11302017,@ Green Bay,L 2 - 3,5,6,3,17,0.17600000000000002,0,0,0,1,0,0,12,1,12.0
