Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,Presbyterian,W 3 - 0,1.0,2,0,5,0.4,0,0,0,1,0,0,0,0,2.0
08252017,George Mason,W 3 - 0,2.0,1,0,3,0.33299999999999996,0,0,0,0,0,0,2,0,2.0
08262017,LIU,W 3 - 0,2.0,1,1,6,0.0,0,0,0,2,0,0,3,0,2.5
08262017,UNC Asheville,W 3 - 0,2.0,2,0,4,0.5,1,0,0,0,0,0,1,0,2.5
09012017,@ Ohio,W 3 - 0,1.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
09012017,"High Point @ Athens, Ohio",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09022017,"Oklahoma @ Athens, Ohio",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082017,@ Davidson,W 3 - 1,1.0,0,1,1,-1.0,0,0,0,0,0,0,0,0,0.0
09092017,"FGCU @ Davidson, N.C.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09092017,"Wofford @ Davidson, N.C.",L 2 - 3,2.0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0
09132017,@ Kennesaw St.,L 0 - 3,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09142017,Texas Tech,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09152017,Georgia Tech,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09222017,Alabama,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09242017,Auburn,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09292017,Texas A&M,L 0 - 3,2.0,2,1,4,0.25,0,0,0,0,0,0,0,0,2.0
10012017,@ Ole Miss,L 2 - 3,3.0,4,1,9,0.33299999999999996,0,0,0,0,0,0,0,0,4.0
10062017,@ South Carolina,W 3 - 2,5.0,4,2,10,0.2,0,0,0,1,0,0,4,0,6.0
10082017,@ Florida,L 0 - 3,3.0,2,1,7,0.14300000000000002,0,0,0,0,0,0,0,0,2.0
10112017,Tennessee,L 2 - 3,5.0,4,1,13,0.231,0,0,0,0,0,0,3,0,5.5
10152017,@ Mississippi St.,W 3 - 0,3.0,4,1,6,0.5,0,0,0,0,0,0,2,0,5.0
10202017,@ Missouri,W 3 - 0,3.0,8,1,9,0.778,0,0,0,1,0,0,3,0,9.5
10252017,Arkansas,W 3 - 1,4.0,5,2,11,0.273,0,0,0,0,0,0,1,0,5.5
10292017,Missouri,L 1 - 3,4.0,4,3,12,0.083,0,0,0,0,0,0,2,0,5.0
11032017,Mississippi St.,W 3 - 0,3.0,7,1,11,0.545,0,0,0,1,0,0,3,0,8.5
11052017,@ Alabama,W 3 - 0,3.0,3,0,10,0.3,0,0,0,0,0,0,4,0,5.0
11102017,Ole Miss,W 3 - 0,3.0,7,2,13,0.385,0,0,0,1,0,0,3,0,8.5
11172017,@ Kentucky,L 0 - 3,3.0,5,2,11,0.273,0,0,0,0,0,0,0,0,5.0
11192017,@ Tennessee,W 3 - 0,3.0,4,4,13,0.0,0,0,0,1,0,0,5,0,6.5
11222017,@ LSU,W 3 - 0,3.0,3,3,13,0.0,0,0,0,0,0,1,1,0,4.5
11242017,Kentucky,L 0 - 3,3.0,8,3,19,0.263,0,0,0,0,0,0,2,0,9.0
11282017,Alabama A&M,W 3 - 0,1.0,2,1,3,0.33299999999999996,0,0,0,0,0,0,1,0,2.5
11292017,UCF,W 3 - 0,3.0,2,2,11,0.0,0,0,0,0,0,0,1,0,2.5
12032017,@ Ole Miss,L 0 - 3,3.0,4,0,12,0.33299999999999996,0,0,0,0,0,0,1,0,4.5
