Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,@ Syracuse,W 3 - 1,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
08262017,"Niagara @ Syracuse, N.Y.",W 3 - 1,3.0,2,0,3,0.667,0,2,0,3,1,0,0,0,4.0
08262017,"Siena @ Syracuse, N.Y.",W 3 - 0,3.0,0,0,0,0.0,0,4,1,2,0,0,0,0,4.0
09012017,"Radford @ Tucson, Ariz.",L 2 - 3,2.0,0,1,1,-1.0,0,0,1,0,0,0,0,0,0.0
09012017,@ Arizona,L 0 - 3,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09022017,"Eastern Ky. @ Tucson, Ariz.",W 3 - 2,1.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0.5
09082017,Fordham,L 1 - 3,3.0,2,4,10,-0.2,0,0,0,2,1,0,1,0,2.5
09092017,Gonzaga,L 0 - 3,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0
09092017,Idaho,L 0 - 3,2.0,3,3,10,0.0,0,0,0,3,1,0,0,0,3.0
09152017,"South Dakota St. @ Peoria, Ill.",W 3 - 0,3.0,10,4,25,0.24,0,2,2,7,0,0,1,0,12.5
09162017,@ Bradley,L 1 - 3,2.0,0,1,4,-0.25,0,0,0,4,0,0,1,0,0.5
09162017,"UConn @ Peoria, Ill.",L 0 - 3,2.0,2,4,8,-0.25,0,0,0,2,1,0,0,0,2.0
09212017,@ Kansas City,L 2 - 3,2.0,3,3,9,0.0,0,0,1,7,0,0,0,0,3.0
09232017,@ Chicago St.,L 1 - 3,4.0,7,4,17,0.17600000000000002,0,0,1,14,2,0,1,0,7.5
09282017,Utah Valley,L 1 - 3,4.0,8,3,28,0.179,0,3,1,15,1,0,0,1,11.0
09302017,Seattle U,L 1 - 3,2.0,3,4,11,-0.091,0,0,0,1,0,0,0,0,3.0
10062017,@ CSU Bakersfield,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10122017,@ UTRGV,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10142017,@ New Mexico St.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10192017,Chicago St.,W 3 - 1,4.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0.0
10212017,Kansas City,W 3 - 0,3.0,0,0,0,0.0,0,1,1,5,0,0,0,0,1.0
10262017,@ Seattle U,W 3 - 2,5.0,0,0,0,0.0,0,0,1,4,0,0,0,0,0.0
10282017,@ Utah Valley,L 0 - 3,2.0,0,1,2,-0.5,0,1,0,2,0,0,0,0,1.0
11032017,CSU Bakersfield,L 1 - 3,4.0,0,0,0,0.0,0,0,1,8,0,0,0,0,0.0
11092017,New Mexico St.,L 2 - 3,4.0,0,0,0,0.0,0,0,1,3,0,0,0,0,0.0
11112017,UTRGV,L 0 - 3,1.0,1,0,3,0.33299999999999996,0,0,0,2,0,0,0,0,1.0
