Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,Southern California,L 1 - 3,4,13,7,35,0.171,2,1,1,2,0,0,0,0,14.0
08252017,Albany (NY),W 3 - 0,3,11,5,33,0.182,1,2,0,7,0,0,0,0,13.0
08262017,Michigan,L 0 - 3,3,6,8,28,-0.071,0,0,2,3,4,0,1,0,6.5
09012017,@ Oregon,L 2 - 3,5,12,8,48,0.083,1,2,2,8,3,0,2,0,15.0
09012017,"Northern Ill. @ Eugene, Ore.",W 3 - 1,4,15,7,47,0.17,2,1,1,11,0,0,3,0,17.5
09022017,"UTRGV @ Eugene, Oregon",W 3 - 1,4,16,7,40,0.225,1,1,2,12,0,0,3,0,18.5
09072017,Long Beach St.,W 3 - 0,3,12,3,24,0.375,1,0,3,9,1,1,1,0,13.5
09082017,@ San Diego St.,W 3 - 0,3,12,5,29,0.24100000000000002,0,1,0,7,1,0,2,0,14.0
09132017,@ UCLA,L 0 - 3,3,6,3,20,0.15,0,1,1,4,1,0,0,0,7.0
09152017,@ North Carolina,W 3 - 2,5,16,12,50,0.08,1,0,1,6,0,0,2,0,17.0
09162017,@ Duke,W 3 - 1,4,12,9,35,0.086,1,0,2,7,0,0,0,0,12.0
09232017,Pepperdine,L 1 - 3,4,5,7,31,-0.065,0,2,0,7,2,0,0,1,7.0
09262017,@ San Diego,L 0 - 3,3,8,3,21,0.23800000000000002,1,0,0,4,1,1,0,0,9.0
09282017,Saint Mary's (CA),W 3 - 2,5,10,5,30,0.16699999999999998,1,0,1,7,2,0,2,0,11.0
09302017,Pacific,W 3 - 0,3,8,4,17,0.235,1,1,1,7,0,0,3,0,10.5
10052017,@ Portland,W 3 - 0,3,8,3,24,0.20800000000000002,1,0,1,14,0,0,2,0,9.0
10072017,@ Gonzaga,L 0 - 3,3,6,6,26,0.0,0,0,1,5,1,0,0,0,6.0
10122017,Santa Clara,W 3 - 2,5,8,5,35,0.086,1,2,2,14,1,0,2,1,11.0
10142017,San Francisco,W 3 - 0,3,16,1,23,0.652,1,0,0,6,3,0,0,0,16.0
10192017,San Diego,L 0 - 3,3,7,2,22,0.22699999999999998,1,1,0,7,0,0,3,0,9.5
10212017,BYU,L 2 - 3,5,6,7,32,-0.031,0,0,0,6,0,0,3,0,7.5
10262017,@ Pacific,L 0 - 3,3,5,2,15,0.2,1,0,1,7,1,0,0,0,5.0
10282017,@ Saint Mary's (CA),L 1 - 3,4,9,6,29,0.10300000000000001,2,0,0,7,1,0,2,0,10.0
11022017,Gonzaga,W 3 - 0,3,11,1,17,0.588,0,1,1,9,0,0,1,0,12.5
11042017,Portland,W 3 - 2,5,15,7,32,0.25,0,0,1,17,0,1,2,2,17.0
11092017,@ San Francisco,W 3 - 0,3,9,1,22,0.364,0,0,1,7,0,0,1,0,9.5
11112017,@ Santa Clara,L 2 - 3,5,8,6,31,0.065,6,1,1,7,0,0,2,0,10.0
11182017,@ Pepperdine,W 3 - 1,4,19,5,41,0.341,0,0,2,14,1,0,1,1,19.5
11212017,@ BYU,L 0 - 3,3,5,8,22,-0.136,0,0,0,7,2,1,1,0,6.5
