Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,@ Bucknell,L 2 - 3,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08262017,"Iona @ Lewisburg, Pa.",W 3 - 1,4.0,3,4,14,-0.071,1,0,0,0,0,1,1,0,4.5
08262017,"NJIT @ Lewisburg, Pa.",W 3 - 0,1.0,0,1,3,-0.33299999999999996,0,0,0,1,0,0,0,0,0.0
08292017,Lafayette,W 3 - 0,2.0,4,1,8,0.375,0,0,0,2,0,0,0,0,4.0
09012017,"Tennessee Tech @ Akron, Ohio",W 3 - 0,3.0,0,0,0,0.0,0,2,2,3,0,0,0,0,2.0
09022017,@ Akron,W 3 - 1,4.0,13,4,32,0.281,0,0,0,1,0,4,1,0,17.5
09022017,"Loyola Maryland @ Akron, Ohio",W 3 - 2,3.0,9,1,16,0.5,0,0,0,0,0,0,1,0,9.5
09042017,@ Youngstown St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082017,Navy,L 0 - 3,2.0,7,1,13,0.462,0,0,0,1,0,0,2,0,8.0
09092017,Siena,W 3 - 0,1.0,2,3,8,-0.125,0,0,0,0,0,0,1,0,2.5
09092017,Robert Morris,L 2 - 3,2.0,0,1,2,-0.5,0,0,2,1,0,0,0,0,0.0
09102017,Penn,W 3 - 2,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09152017,"Cornell @ Hamilton, N.Y.",L 2 - 3,4.0,13,3,24,0.41700000000000004,0,0,0,2,0,0,0,0,13.0
09152017,"Stony Brook @ Hamilton, N.Y.",L 1 - 3,3.0,3,3,8,0.0,0,0,0,0,0,0,0,0,3.0
09162017,"Colgate @ Hamilton, N.Y.",L 0 - 3,3.0,1,4,9,-0.33299999999999996,0,0,0,0,0,0,0,0,1.0
09222017,George Washington,L 2 - 3,4.0,4,4,20,0.0,0,0,1,0,1,0,1,0,4.5
09242017,George Mason,L 2 - 3,5.0,7,2,20,0.25,0,0,2,0,0,0,4,1,9.0
09292017,@ Saint Louis,L 0 - 3,3.0,5,1,11,0.364,1,0,2,0,0,0,1,0,5.5
10012017,@ Dayton,L 0 - 3,1.0,1,0,3,0.33299999999999996,0,0,0,0,0,0,0,0,1.0
10062017,@ Davidson,W 3 - 2,5.0,24,8,69,0.23199999999999998,0,1,0,6,0,3,1,0,28.5
10082017,@ VCU,L 0 - 3,3.0,6,1,17,0.294,0,0,0,0,0,0,2,0,7.0
10132017,Fordham,L 0 - 3,3.0,9,7,24,0.083,0,0,0,2,1,0,0,0,9.0
10152017,Rhode Island,W 3 - 2,5.0,16,10,49,0.122,0,0,0,0,0,0,1,0,16.5
10212017,@ Duquesne,L 0 - 3,3.0,5,6,18,-0.055999999999999994,0,0,0,1,0,1,0,0,6.0
10242017,UMES,W 3 - 2,5.0,16,5,45,0.244,0,0,0,2,0,0,1,0,16.5
10272017,@ George Mason,W 3 - 1,4.0,19,4,36,0.41700000000000004,0,0,0,3,0,0,2,0,20.0
10282017,@ George Washington,L 1 - 3,4.0,13,6,30,0.233,0,0,0,1,0,0,1,2,13.5
11032017,VCU,L 0 - 3,3.0,14,6,35,0.22899999999999998,0,0,0,1,0,1,2,0,16.0
11052017,Davidson,W 3 - 2,5.0,21,12,63,0.14300000000000002,1,0,0,4,0,0,1,0,21.5
11102017,Duquesne,L 1 - 3,4.0,9,6,35,0.086,1,0,0,1,0,0,2,0,10.0
