Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,"Middle Tenn. @ Clarksville, TN",W 3 - 0,3,0,0,0,0.0,3,1,0,5,0,0,0,0,1.0
08252017,"Marshall @ Clarksville, TN",W 3 - 2,5,0,0,0,0.0,4,1,1,20,0,0,0,0,1.0
08262017,@ Austin Peay,L 2 - 3,5,0,0,0,0.0,6,0,1,16,4,0,0,0,0.0
08262017,"UNI @ Clarksville, TN",L 2 - 3,5,0,0,0,0.0,6,1,1,14,0,0,0,0,1.0
09012017,"BYU @ Boise, Idaho",L 1 - 3,4,0,0,0,0.0,1,0,1,13,0,0,0,0,0.0
09012017,"Sacramento St. @ Boise, Idaho",W 3 - 1,4,0,0,0,0.0,4,0,2,16,0,0,0,0,0.0
09022017,@ Boise St.,L 0 - 3,3,0,0,0,0.0,1,0,1,4,0,0,0,0,0.0
09082017,"Green Bay @ Salt Lake City, Utah",W 3 - 1,4,0,0,0,0.0,1,0,0,14,1,0,0,0,0.0
09092017,"San Diego @ Salt Lake City, Utah",L 0 - 3,3,0,0,0,0.0,3,0,0,4,1,0,0,0,0.0
09092017,@ Utah,L 0 - 3,3,0,0,0,0.0,0,0,1,11,1,0,0,0,0.0
09152017,@ Nevada,W 3 - 2,5,0,0,0,0.0,2,0,0,20,0,0,0,0,0.0
09152017,"Pepperdine @ Reno, Nev.",W 3 - 0,3,0,0,0,0.0,4,1,0,12,0,0,0,0,1.0
09162017,"Sacramento St. @ Reno, Nev.",W 3 - 2,5,0,0,0,0.0,3,1,0,25,3,0,0,0,1.0
09202017,Kentucky,L 1 - 3,4,1,0,1,1.0,2,0,0,12,0,0,0,0,1.0
09242017,@ Texas A&M,W 3 - 1,4,0,0,0,0.0,3,0,2,11,1,0,0,0,0.0
09292017,@ Auburn,W 3 - 2,5,0,0,0,0.0,2,0,1,21,0,0,0,0,0.0
10012017,@ Alabama,W 3 - 0,3,0,0,0,0.0,1,0,0,12,0,0,0,0,0.0
10082017,Ole Miss,W 3 - 0,3,0,0,0,0.0,4,0,0,14,0,0,0,0,0.0
10132017,Mississippi St.,W 3 - 0,3,0,0,0,0.0,2,0,1,9,0,0,0,0,0.0
10152017,@ Tennessee,L 1 - 3,4,0,0,0,0.0,3,0,0,14,1,0,0,0,0.0
10202017,Georgia,L 0 - 3,3,0,0,0,0.0,1,0,0,5,0,0,0,0,0.0
10252017,@ Ole Miss,W 3 - 1,4,0,0,0,0.0,1,1,0,18,1,0,0,0,1.0
10292017,@ Georgia,W 3 - 1,4,0,0,0,0.0,2,1,2,9,3,0,0,0,1.0
11032017,Texas A&M,W 3 - 0,3,0,0,0,0.0,2,1,1,18,0,0,0,0,1.0
11052017,LSU,W 3 - 0,3,0,0,0,0.0,4,0,0,11,0,0,0,0,0.0
11082017,@ South Carolina,W 3 - 2,5,0,0,0,0.0,2,0,1,15,1,0,0,0,0.0
11122017,@ Florida,L 1 - 3,4,0,0,0,0.0,1,0,1,10,0,0,0,0,0.0
11172017,@ Mississippi St.,W 3 - 1,4,0,0,0,0.0,0,0,0,20,1,0,0,0,0.0
11192017,Arkansas,W 3 - 1,4,0,0,0,0.0,1,0,0,8,0,0,0,0,0.0
11222017,Alabama,W 3 - 0,3,0,0,0,0.0,1,1,0,21,0,0,0,0,1.0
11252017,Florida,L 1 - 3,4,0,0,0,0.0,3,1,1,16,1,0,0,0,1.0
12012017,"Kansas @ Wichita, KS",W 3 - 2,5,0,0,0,0.0,2,1,0,18,0,0,0,0,1.0
12022017,@ Wichita St.,W 3 - 1,4,0,0,0,0.0,4,0,1,15,1,0,0,0,0.0
12082017,@ Penn St.,L 0 - 3,3,0,0,0,0.0,1,0,1,10,1,0,0,0,0.0
