Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08252017,Louisville,W 3 - 0,3.0,9,2,15,0.467,0,0,0,2,0,1,1,0,10.5
08262017,North Carolina,W 3 - 0,3.0,10,1,14,0.643,0,0,0,0,0,0,2,1,11.0
09012017,"Arkansas @ Manhattan, Kan.",W 3 - 0,3.0,6,2,12,0.33299999999999996,0,0,0,0,0,1,4,0,9.0
09012017,"Syracuse @ Manhattan, Kan.",W 3 - 0,3.0,7,1,10,0.6,0,0,0,1,0,0,1,0,7.5
09022017,@ Kansas St.,W 3 - 0,3.0,7,1,18,0.33299999999999996,0,0,0,0,0,0,6,1,10.0
09072017,Lipscomb,W 3 - 0,3.0,10,2,17,0.47100000000000003,0,0,0,0,0,0,11,0,15.5
09092017,Texas A&M,W 3 - 0,3.0,8,0,15,0.5329999999999999,0,0,0,0,0,0,6,0,11.0
09142017,Marquette,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09162017,Southern Miss.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09222017,Michigan St.,L 2 - 3,5.0,9,3,23,0.261,0,0,0,1,0,0,5,1,11.5
09242017,Michigan,W 3 - 0,3.0,8,1,14,0.5,0,0,0,0,0,0,4,0,10.0
09292017,@ Iowa,W 3 - 0,3.0,4,0,7,0.5710000000000001,1,0,0,0,0,0,5,0,6.5
09302017,@ Nebraska,L 2 - 3,5.0,11,3,26,0.308,0,0,0,0,0,0,4,0,13.0
10042017,Minnesota,L 2 - 3,5.0,9,3,20,0.3,0,0,0,0,0,0,5,0,11.5
10072017,@ Michigan St.,L 1 - 3,4.0,17,1,23,0.696,0,0,0,0,0,0,3,1,18.5
10112017,Nebraska,W 3 - 1,4.0,10,3,22,0.318,0,0,0,0,0,0,4,0,12.0
10132017,Indiana,W 3 - 0,3.0,9,1,12,0.667,0,0,0,0,0,0,0,0,9.0
10182017,@ Maryland,W 3 - 0,3.0,8,2,11,0.545,0,0,0,1,0,0,2,0,9.0
10212017,@ Minnesota,L 1 - 3,4.0,11,3,25,0.32,0,0,0,0,0,1,5,1,14.5
10252017,@ Penn St.,L 1 - 3,4.0,10,4,20,0.3,0,0,0,0,0,0,5,0,12.5
10282017,Northwestern,W 3 - 0,3.0,5,1,10,0.4,0,0,0,1,0,0,6,2,8.0
11032017,Ohio St.,L 2 - 3,5.0,19,1,29,0.621,1,0,0,1,0,1,5,0,22.5
11042017,Maryland,W 3 - 1,4.0,6,4,13,0.154,0,0,0,0,0,0,2,0,7.0
11102017,@ Indiana,W 3 - 0,3.0,9,2,15,0.467,0,0,0,0,0,0,0,0,9.0
11112017,@ Purdue,L 0 - 3,3.0,5,0,13,0.385,0,0,0,0,0,0,1,0,5.5
11172017,@ Illinois,W 3 - 1,4.0,14,4,28,0.35700000000000004,0,0,0,0,0,0,3,0,15.5
11192017,@ Northwestern,W 3 - 0,3.0,4,5,17,-0.059000000000000004,0,0,0,1,0,0,2,0,5.0
11242017,Penn St.,L 1 - 3,4.0,6,4,17,0.11800000000000001,0,0,0,0,0,0,3,0,7.5
11252017,Rutgers,W 3 - 0,3.0,5,2,8,0.375,0,0,0,1,0,0,1,0,5.5
12012017,"Marquette @ Ames, Iowa",W 3 - 0,3.0,6,0,13,0.462,0,0,0,1,0,0,1,0,6.5
12022017,@ Iowa St.,W 3 - 0,3.0,8,4,20,0.2,0,0,0,0,0,1,1,1,9.5
12082017,@ Stanford,L 1 - 3,4.0,9,3,20,0.3,0,0,0,0,0,0,1,1,9.5
