Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252017,@ Western Ill.,L 2 - 3,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0
8252017,"Chicago St. @ Macomb, Ill.",L 0 - 3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
8262017,"Evansville @ Macomb, Ill.",L 0 - 3,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
8302017,Fordham,L 0 - 3,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.75,0.75,0.0,0.0,0.0,0.5
9012017,"Brown @ Worcester, Mass.",L 0 - 3,3.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,1.8,0.8,0.0,0.0,0.0,0.4
9022017,"Fairleigh Dickinson @ Worcester, Mass.",L 1 - 3,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333
9022017,@ Holy Cross,L 0 - 3,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.7142857142857142,1.2857142857142858,0.0,0.0,0.0,0.2857142857142857
9082017,@ Bryant,L 0 - 3,2.0,0.0,0.0,0.0,0.0,0.125,0.25,0.25,1.5,1.125,0.0,0.0,0.0,0.25
9092017,"Brown @ Smithfield, R.I.",L 0 - 3,3.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.7777777777777777,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333
9092017,"Stony Brook @ Smithfield, R.I.",L 0 - 3,2.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,1.6,1.3,0.0,0.1,0.0,0.35
9132017,NJIT,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,1.4545454545454546,1.1818181818181819,0.0,0.09090909090909091,0.0,0.3181818181818182
9162017,Quinnipiac,L 0 - 3,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.25,1.4166666666666667,1.1666666666666667,0.0,0.08333333333333333,0.0,0.2916666666666667
9172017,Fairfield,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,1.3076923076923077,1.0769230769230769,0.0,0.07692307692307693,0.0,0.2692307692307692
9192017,@ St. Francis Brooklyn,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.21428571428571427,1.2142857142857142,1.0,0.0,0.07142857142857142,0.0,0.25
9232017,@ Iona,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.2,1.1333333333333333,0.9333333333333333,0.0,0.06666666666666667,0.0,0.23333333333333334
9302017,@ Marist,L 0 - 3,3.0,0.0,0.0,0.0,0.0,0.0625,0.1875,0.1875,1.1875,0.875,0.0,0.0625,0.0,0.21875
10012017,@ Siena,L 2 - 3,5.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.29411764705882354,0.17647058823529413,1.4705882352941178,0.8823529411764706,0.0,0.058823529411764705,0.0,0.3235294117647059
10072017,Niagara,L 0 - 3,3.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,1.5555555555555556,0.8333333333333334,0.0,0.05555555555555555,0.0,0.3055555555555556
10082017,Canisius,L 1 - 3,4.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.2631578947368421,0.3684210526315789,1.9473684210526316,0.8947368421052632,0.0,0.05263157894736842,0.0,0.2894736842105263
10142017,Saint Peter's,W 3 - 0,3.0,0.0,0.05,0.05,-0.05,0.2,0.25,0.4,2.1,0.85,0.0,0.05,0.0,0.275
10152017,Rider,L 0 - 3,3.0,0.0,0.047619047619047616,0.047619047619047616,-0.047619047619047616,0.23809523809523808,0.2857142857142857,0.38095238095238093,2.1904761904761907,0.8095238095238095,0.0,0.047619047619047616,0.0,0.30952380952380953
10182017,@ Fairleigh Dickinson,L 0 - 3,2.0,0.0,0.09090909090909091,0.09090909090909091,-0.09090909090909091,0.2727272727272727,0.2727272727272727,0.36363636363636365,2.1818181818181817,0.7727272727272727,0.0,0.045454545454545456,0.0,0.29545454545454547
10212017,@ Fairfield,L 0 - 3,3.0,0.0,0.08695652173913043,0.08695652173913043,-0.08695652173913043,0.2608695652173913,0.2608695652173913,0.43478260869565216,2.260869565217391,0.7391304347826086,0.0,0.043478260869565216,0.0,0.2826086956521739
10222017,@ Quinnipiac,L 1 - 3,3.0,0.0,0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.25,0.25,0.4166666666666667,2.2083333333333335,0.7916666666666666,0.0,0.041666666666666664,0.0,0.2708333333333333
10282017,@ Canisius,L 0 - 3,3.0,0.0,0.08,0.08,-0.08,0.24,0.24,0.4,2.16,0.76,0.0,0.04,0.0,0.26
10292017,@ Niagara,L 0 - 3,0.0,0.0,0.07692307692307693,0.07692307692307693,-0.07692307692307693,0.23076923076923078,0.23076923076923078,0.38461538461538464,2.076923076923077,0.7307692307692307,0.0,0.038461538461538464,0.0,0.25
11012017,@ Saint Peter's,W 3 - 1,4.0,0.0,0.07407407407407407,0.07407407407407407,-0.07407407407407407,0.2222222222222222,0.2962962962962963,0.4074074074074074,2.3333333333333335,0.7037037037037037,0.0,0.037037037037037035,0.0,0.3148148148148148
