Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
9012017,"Campbell @ Fairfax, Va.",L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9012017,"Central Mich. @ Fairfax, Va.",W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9022017,@ George Mason,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9082017,Siena,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9092017,Navy,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9102017,@ La Salle,L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9152017,@ Robert Morris,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9152017,"Rutgers @ Moon Township, Pa.",L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9162017,"Middle Tenn. @ Moon Township, Pa.",W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9222017,@ Princeton,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9292017,@ Yale,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9302017,@ Brown,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10062017,Harvard,L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10072017,Dartmouth,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10132017,@ Columbia,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142017,@ Cornell,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10202017,Princeton,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10272017,Brown,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10282017,Yale,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11032017,Cornell,W 3 - 1,4.0,0.3,0.1,0.65,0.0154,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.0,0.5
11042017,Columbia,W 3 - 2,5.0,0.47619047619047616,0.2857142857142857,1.380952380952381,0.014666666666666666,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.42857142857142855,0.0,0.7380952380952381
11102017,@ Dartmouth,L 0 - 3,3.0,0.7272727272727273,0.3181818181818182,1.9545454545454546,0.030227272727272728,0.0,0.0,0.0,0.045454545454545456,0.0,0.13636363636363635,0.45454545454545453,0.0,1.0909090909090908
11112017,@ Harvard,L 1 - 3,4.0,0.9565217391304348,0.43478260869565216,2.4782608695652173,0.03821739130434783,0.0,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.43478260869565216,0.0,1.3043478260869565
